szavazokor,szavazat,jelolt
M01/T001/001,91,M01/E01/1
M01/T001/001,79,M01/E01/2
M01/T001/001,345,M01/E01/3
M01/T001/001,63,M01/E01/4
M01/T001/010,114,M01/E01/1
M01/T001/010,113,M01/E01/2
M01/T001/010,356,M01/E01/3
M01/T001/010,35,M01/E01/4
M01/T001/011,104,M01/E01/1
M01/T001/011,149,M01/E01/2
M01/T001/011,288,M01/E01/3
M01/T001/011,43,M01/E01/4
M01/T001/012,80,M01/E01/1
M01/T001/012,93,M01/E01/2
M01/T001/012,310,M01/E01/3
M01/T001/012,44,M01/E01/4
M01/T001/013,98,M01/E01/1
M01/T001/013,134,M01/E01/2
M01/T001/013,331,M01/E01/3
M01/T001/013,42,M01/E01/4
M01/T001/014,84,M01/E01/1
M01/T001/014,120,M01/E01/2
M01/T001/014,282,M01/E01/3
M01/T001/014,40,M01/E01/4
M01/T001/015,96,M01/E01/1
M01/T001/015,82,M01/E01/2
M01/T001/015,288,M01/E01/3
M01/T001/015,41,M01/E01/4
M01/T001/016,102,M01/E01/1
M01/T001/016,139,M01/E01/2
M01/T001/016,346,M01/E01/3
M01/T001/016,49,M01/E01/4
M01/T001/017,95,M01/E01/1
M01/T001/017,104,M01/E01/2
M01/T001/017,305,M01/E01/3
M01/T001/017,33,M01/E01/4
M01/T001/018,103,M01/E01/1
M01/T001/018,151,M01/E01/2
M01/T001/018,380,M01/E01/3
M01/T001/018,52,M01/E01/4
M01/T001/019,70,M01/E01/1
M01/T001/019,76,M01/E01/2
M01/T001/019,324,M01/E01/3
M01/T001/019,50,M01/E01/4
M01/T001/002,85,M01/E01/1
M01/T001/002,100,M01/E01/2
M01/T001/002,335,M01/E01/3
M01/T001/002,46,M01/E01/4
M01/T001/020,89,M01/E01/1
M01/T001/020,140,M01/E01/2
M01/T001/020,311,M01/E01/3
M01/T001/020,42,M01/E01/4
M01/T001/021,84,M01/E01/1
M01/T001/021,101,M01/E01/2
M01/T001/021,315,M01/E01/3
M01/T001/021,27,M01/E01/4
