szavazokor,szavazat,part
M01/T001/001,76,M01/1
M01/T001/001,62,M01/2
M01/T001/001,86,M01/3
M01/T001/001,27,M01/4
M01/T001/001,332,M01/5
M01/T001/010,101,M01/1
M01/T001/010,35,M01/2
M01/T001/010,111,M01/3
M01/T001/010,33,M01/4
M01/T001/010,348,M01/5
M01/T001/011,142,M01/1
M01/T001/011,41,M01/2
M01/T001/011,82,M01/3
M01/T001/011,27,M01/4
M01/T001/011,295,M01/5
M01/T001/012,88,M01/1
M01/T001/012,42,M01/2
M01/T001/012,76,M01/3
M01/T001/012,24,M01/4
M01/T001/012,296,M01/5
M01/T001/013,121,M01/1
M01/T001/013,44,M01/2
M01/T001/013,89,M01/3
M01/T001/013,33,M01/4
M01/T001/013,320,M01/5
M01/T001/014,106,M01/1
M01/T001/014,34,M01/2
M01/T001/014,75,M01/3
M01/T001/014,42,M01/4
M01/T001/014,277,M01/5
M01/T001/015,84,M01/1
M01/T001/015,29,M01/2
M01/T001/015,87,M01/3
M01/T001/015,18,M01/4
M01/T001/015,290,M01/5
M01/T001/016,128,M01/1
M01/T001/016,55,M01/2
M01/T001/016,93,M01/3
M01/T001/016,34,M01/4
M01/T001/016,330,M01/5
M01/T001/017,103,M01/1
M01/T001/017,29,M01/2
M01/T001/017,83,M01/3
M01/T001/017,27,M01/4
M01/T001/017,295,M01/5
M01/T001/018,141,M01/1
M01/T001/018,51,M01/2
M01/T001/018,92,M01/3
M01/T001/018,25,M01/4
M01/T001/018,378,M01/5
M01/T001/019,75,M01/1
M01/T001/019,43,M01/2
M01/T001/019,60,M01/3
M01/T001/019,17,M01/4
M01/T001/019,324,M01/5
M01/T001/002,105,M01/1
M01/T001/002,39,M01/2
M01/T001/002,60,M01/3
M01/T001/002,25,M01/4
M01/T001/002,337,M01/5
M01/T001/020,124,M01/1
M01/T001/020,34,M01/2
M01/T001/020,82,M01/3
M01/T001/020,37,M01/4
M01/T001/020,309,M01/5
M01/T001/021,100,M01/1
M01/T001/021,25,M01/2
M01/T001/021,72,M01/3
M01/T001/021,19,M01/4
M01/T001/021,312,M01/5
M01/T001/022,113,M01/1
M01/T001/022,44,M01/2
M01/T001/022,110,M01/3
M01/T001/022,39,M01/4
M01/T001/022,386,M01/5
M01/T001/023,141,M01/1
M01/T001/023,34,M01/2
M01/T001/023,80,M01/3
M01/T001/023,40,M01/4
M01/T001/023,305,M01/5
M01/T001/024,112,M01/1
M01/T001/024,39,M01/2
M01/T001/024,78,M01/3
M01/T001/024,24,M01/4
M01/T001/024,315,M01/5
M01/T001/025,116,M01/1
M01/T001/025,36,M01/2
M01/T001/025,76,M01/3
M01/T001/025,25,M01/4
M01/T001/025,243,M01/5
M01/T001/026,98,M01/1
M01/T001/026,24,M01/2
M01/T001/026,57,M01/3
M01/T001/026,24,M01/4
M01/T001/026,293,M01/5
M01/T001/027,105,M01/1
M01/T001/027,30,M01/2
M01/T001/027,67,M01/3
M01/T001/027,32,M01/4
M01/T001/027,240,M01/5
M01/T001/028,136,M01/1
M01/T001/028,33,M01/2
M01/T001/028,83,M01/3
M01/T001/028,25,M01/4
M01/T001/028,293,M01/5
M01/T001/003,137,M01/1
M01/T001/003,45,M01/2
M01/T001/003,103,M01/3
M01/T001/003,49,M01/4
M01/T001/003,343,M01/5
M01/T001/004,113,M01/1
M01/T001/004,59,M01/2
M01/T001/004,71,M01/3
M01/T001/004,34,M01/4
M01/T001/004,358,M01/5
M01/T001/005,117,M01/1
M01/T001/005,118,M01/2
M01/T001/005,136,M01/3
M01/T001/005,38,M01/4
M01/T001/005,547,M01/5
M01/T001/006,115,M01/1
M01/T001/006,31,M01/2
M01/T001/006,83,M01/3
M01/T001/006,21,M01/4
M01/T001/006,325,M01/5
M01/T001/007,107,M01/1
M01/T001/007,29,M01/2
M01/T001/007,104,M01/3
M01/T001/007,31,M01/4
M01/T001/007,323,M01/5
M01/T001/008,113,M01/1
M01/T001/008,45,M01/2
M01/T001/008,73,M01/3
M01/T001/008,36,M01/4
