id,szervezet
M01/1,mszp
M01/2,jobbik
M01/3,lmp
M01/4,mdf
M01/5,fidesz
M02/1,jobbik
M02/2,fidesz
M02/3,lmp
M02/4,mdf
M02/5,mszp
M03/1,civil
M03/2,jobbik
M03/3,lmp
M03/4,mszp
M03/5,fidesz
M03/6,mdf
M04/1,lmp
M04/2,mszp
M04/3,civil
M04/4,fidesz
M04/5,jobbik
M04/6,mdf
M05/1,lmp
M05/2,öf
M05/3,mdf
M05/4,mszdp
M05/5,fidesz
M05/6,mszp
M05/7,mp
M05/8,jobbik
M05/9,miép
M06/1,mdf
M06/2,lmp
M06/3,civil
M06/4,miép
M06/5,fidesz
M06/6,mszp
M06/7,jobbik
M07/1,civil
M07/2,mdf
M07/3,jobbik
M07/4,lmp
M07/5,fidesz
M07/6,mszp
M08/1,civil
M08/2,lmp
M08/3,mszp
M08/4,fidesz
M08/5,mdf
M08/6,jobbik
M09/1,fidesz
M09/2,mszdp
M09/3,lmp
M09/4,mszp
M09/5,mdf
M09/6,civil
M09/7,jobbik
M10/1,lmp
M10/2,mdf
M10/3,fidesz
M10/4,mszp
M10/5,jobbik
M11/1,jobbik
M11/2,mszp
M11/3,mdf
M11/4,lmp
M11/5,fidesz
M11/6,mp
M12/1,lmp
M12/2,jobbik
M12/3,mszp
M12/4,mdf
M12/5,fidesz
M13/1,jobbik
M13/2,mszp
M13/3,mp
M13/4,fidesz
M13/5,lmp
M14/1,lmp
M14/2,fidesz
M14/3,mszp
M14/4,mdf
M14/5,civil
M14/6,jobbik
M15/1,mszp
M15/2,fidesz
M15/3,jobbik
M15/4,lmp
M16/1,mszp
M16/2,mp
M16/3,lmp
M16/4,fidesz
M16/5,civil
M16/6,mszdp
M16/7,jobbik
M16/8,mdf
M17/1,mszp
M17/2,lmp
M17/3,mdf
M17/4,fidesz
M17/5,jobbik
M18/1,civil
M18/2,lmp
M18/3,mszp
M18/4,fidesz
M18/5,jobbik
M19/1,jobbik
M19/2,mszp
M19/3,mdf
M19/4,fidesz
M19/5,lmp
M20/1,mdf
M20/2,fidesz
M20/3,mszdp
M20/4,mszp
M20/5,lmp
M20/6,jobbik
