,id,year,election_type,name,party,county,city,oevk,interval,local_district,muni_list,round,votes,win,ksh_code,nuts3,party_id,org_parliamentary,org_independent,org_other,left,right,grand_coalition,other,parsed,sex,husband_dr,husband_generation_prefix,husband_family_name1,husband_family_name2,husband_given_name1,husband_given_name2,husband_sex,husband_nationality,own_dr,own_generation_prefix,own_family_name1,own_family_name2,own_given_name1,own_given_name2,own_sex,own_nationality,maiden_dr,maiden_generation_prefix,maiden_family_name1,maiden_family_name2,maiden_given_name1,maiden_given_name2,maiden_sex,maiden_nationality,nametype,maidfilledtype,oni,hni,oni_full,hni_full,oni_nlp,hni_nlp
47,510938,2014,parliamentary,Asztalos Károlyné,a haza nem eladó mozgalom párt,,,national list,0,,,1,,0.0,,,,,,,0,0,0,1,True,female,False,,Asztalos,,Károly,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,100361,,100361.0,,12.16584475493925
48,507412,2014,parliamentary,Asztalos Károlyné,A HAZA NEM ELADÓ,CSONGRÁD,szeged,CSONGRÁD+02,0,,,1,435.0,0.0,33367.0,HU333,,,,,0,0,0,1,True,female,False,,Asztalos,,Károly,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,100361,,100361.0,,12.16584475493925
591,510948,2014,parliamentary,Csontos Jánosné,a haza nem eladó mozgalom párt,,,national list,0,,,1,,0.0,,,,,,,0,0,0,1,True,female,False,,Csontos,,János,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,103436,,103436.0,,10.83132879092622
1325,511089,2014,parliamentary,Nagy Károly Tiborné,szociáldemokraták,,,national list,0,,,1,,0.0,,,,,,,0,0,0,1,True,female,False,,Nagy,,Károly,Tibor,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,107946,,107946.0,,13.842849582188125
1326,508635,2014,parliamentary,Nagy Károly Tiborné,SZOCIÁLDEMOKRATÁK,HAJDÚ-BIHAR,hajdúböszörmény,HAJDÚ-BIHAR+06,0,,,1,88.0,0.0,3045.0,HU321,,,,,0,0,0,1,True,female,False,,Nagy,,Károly,Tibor,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,107946,,107946.0,,13.842849582188125
2787,508270,2014,parliamentary,Varga Péter Miklósné,AQP,BUDAPEST,budapest xxii,BUDAPEST+18,0,,,1,119.0,0.0,10214.0,HU101,,,,,0,0,0,1,True,female,False,,Varga,,Péter,Miklós,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,116960,,116960.0,,13.795695571529635
3067,507373,2014,parliamentary,Papp Jánosné,KTI,BÁCS-KISKUN,kecskemét,BÁCS-KISKUN+02,0,,,1,138.0,0.0,26684.0,HU331,,,,,0,0,0,1,True,female,False,,Papp,,János,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,11865,,11865.0,,8.583875768626891
3068,511196,2014,parliamentary,Papp Jánosné,kti,,,national list,0,,,1,,0.0,,,,,,,0,0,0,1,True,female,False,,Papp,,János,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,11865,,11865.0,,8.583875768626891
3195,507851,2014,parliamentary,Dr. Palócz Mihályné,AQP,SOMOGY,marcali,SOMOGY+03,0,,,1,19.0,0.0,18500.0,HU232,,,,,0,0,0,1,True,female,True,,Palócz,,Mihály,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,119356,,119356.0,,14.704956000783053
3307,506168,2010,parliamentary,Hegedűs Lórántné,Jobbik,BUDAPEST,budapest v,BUDAPEST+07,0,,,1,1363.0,0.0,13392.0,HU101,jobbik,1.0,0.0,0.0,0,1,0,0,True,female,False,,Hegedűs,,Lóránt,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,120296,,120296.0,,13.50392665172456
4434,508397,2014,parliamentary,Makai Istvánné,KTI,BUDAPEST,budapest viii,BUDAPEST+06,0,,,1,122.0,0.0,25405.0,HU101,,,,,0,0,0,1,True,female,False,,Makai,,István,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,12705,,12705.0,,10.756386280423381
4435,511186,2014,parliamentary,Makai Istvánné,kti,,,national list,0,,,1,,0.0,,,,,,,0,0,0,1,True,female,False,,Makai,,István,,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,12705,,12705.0,,10.756386280423381
5744,511065,2014,parliamentary,Pisák Pál Lajosné,szociáldemokraták,,,national list,0,,,1,,0.0,,,,,,,0,0,0,1,True,female,False,,Pisák,,Pál,Lajos,male,Hungarian,False,,,,,,female,Hungarian,False,,,,,,,,110000,110000,41,1353776,,1353776.0,,20.813367227359137
