szavazokor,jelolt,szavazat
M01/T001/001,M01/E01/2,3
M01/T001/001,M01/E01/3,123
M01/T001/001,M01/E01/4,395
M01/T001/001,M01/E01/5,68
M01/T001/001,M01/E01/6,244
M01/T001/002,M01/E01/2,3
M01/T001/002,M01/E01/3,98
M01/T001/002,M01/E01/4,349
M01/T001/002,M01/E01/5,44
M01/T001/002,M01/E01/6,252
M01/T001/003,M01/E01/2,7
M01/T001/003,M01/E01/3,77
M01/T001/003,M01/E01/4,354
M01/T001/003,M01/E01/5,58
M01/T001/003,M01/E01/6,187
M01/T001/004,M01/E01/2,8
M01/T001/004,M01/E01/3,89
M01/T001/004,M01/E01/4,364
M01/T001/004,M01/E01/5,43
M01/T001/004,M01/E01/6,206
M01/T001/005,M01/E01/2,2
M01/T001/005,M01/E01/3,108
M01/T001/005,M01/E01/4,327
M01/T001/005,M01/E01/5,49
M01/T001/005,M01/E01/6,230
M01/T001/006,M01/E01/2,3
M01/T001/006,M01/E01/3,134
M01/T001/006,M01/E01/4,389
M01/T001/006,M01/E01/5,43
M01/T001/006,M01/E01/6,237
M01/T001/007,M01/E01/2,6
M01/T001/007,M01/E01/3,77
M01/T001/007,M01/E01/4,338
M01/T001/007,M01/E01/5,43
M01/T001/007,M01/E01/6,202
M01/T001/008,M01/E01/2,6
M01/T001/008,M01/E01/3,106
M01/T001/008,M01/E01/4,291
M01/T001/008,M01/E01/5,42
M01/T001/008,M01/E01/6,249
M01/T001/009,M01/E01/2,5
M01/T001/009,M01/E01/3,101
M01/T001/009,M01/E01/4,403
M01/T001/009,M01/E01/5,68
M01/T001/009,M01/E01/6,230
M01/T001/010,M01/E01/2,3
M01/T001/010,M01/E01/3,86
M01/T001/010,M01/E01/4,329
M01/T001/010,M01/E01/5,67
M01/T001/010,M01/E01/6,273
M01/T001/011,M01/E01/2,4
M01/T001/011,M01/E01/3,131
M01/T001/011,M01/E01/4,350
M01/T001/011,M01/E01/5,48
M01/T001/011,M01/E01/6,248
M01/T001/012,M01/E01/2,7
M01/T001/012,M01/E01/3,119
M01/T001/012,M01/E01/4,360
M01/T001/012,M01/E01/5,56
M01/T001/012,M01/E01/6,236
M01/T001/013,M01/E01/2,4
M01/T001/013,M01/E01/3,115
M01/T001/013,M01/E01/4,422
M01/T001/013,M01/E01/5,59
M01/T001/013,M01/E01/6,220
M01/T001/014,M01/E01/2,7
M01/T001/014,M01/E01/3,112
M01/T001/014,M01/E01/4,314
M01/T001/014,M01/E01/5,50
M01/T001/014,M01/E01/6,252
M01/T001/015,M01/E01/2,3
M01/T001/015,M01/E01/3,97
M01/T001/015,M01/E01/4,339
M01/T001/015,M01/E01/5,51
M01/T001/015,M01/E01/6,252
M01/T001/016,M01/E01/2,3
M01/T001/016,M01/E01/3,119
M01/T001/016,M01/E01/4,350
M01/T001/016,M01/E01/5,53
M01/T001/016,M01/E01/6,211
M01/T001/017,M01/E01/2,2
M01/T001/017,M01/E01/3,121
M01/T001/017,M01/E01/4,329
M01/T001/017,M01/E01/5,54
M01/T001/017,M01/E01/6,269
M01/T001/018,M01/E01/2,0
M01/T001/018,M01/E01/3,97
M01/T001/018,M01/E01/4,364
M01/T001/018,M01/E01/5,52
M01/T001/018,M01/E01/6,265
M01/T001/019,M01/E01/2,2
M01/T001/019,M01/E01/3,106
M01/T001/019,M01/E01/4,330
M01/T001/019,M01/E01/5,62
M01/T001/019,M01/E01/6,204
M01/T001/020,M01/E01/2,4
M01/T001/020,M01/E01/3,92
M01/T001/020,M01/E01/4,313
M01/T001/020,M01/E01/5,31
M01/T001/020,M01/E01/6,287
M01/T002/001,M01/E04/2,5
M01/T002/001,M01/E04/3,393
M01/T002/001,M01/E04/5,277
M01/T002/001,M01/E04/6,59
M01/T002/001,M01/E04/8,71
M01/T002/002,M01/E04/2,5
M01/T002/002,M01/E04/3,339
M01/T002/002,M01/E04/5,261
M01/T002/002,M01/E04/6,40
M01/T002/002,M01/E04/8,67
M01/T002/003,M01/E04/2,5
M01/T002/003,M01/E04/3,210
M01/T002/003,M01/E04/5,203
M01/T002/003,M01/E04/6,38
M01/T002/003,M01/E04/8,42
M01/T002/004,M01/E04/2,3
M01/T002/004,M01/E04/3,357
M01/T002/004,M01/E04/5,273
M01/T002/004,M01/E04/6,48
M01/T002/004,M01/E04/8,68
M01/T002/005,M01/E04/2,5
M01/T002/005,M01/E04/3,266
M01/T002/005,M01/E04/5,392
M01/T002/005,M01/E04/6,35
M01/T002/005,M01/E04/8,71
M01/T002/006,M01/E04/2,4
M01/T002/006,M01/E04/3,337
M01/T002/006,M01/E04/5,275
M01/T002/006,M01/E04/6,46
M01/T002/006,M01/E04/8,39
M01/T002/007,M01/E04/2,5
M01/T002/007,M01/E04/3,288
M01/T002/007,M01/E04/5,327
M01/T002/007,M01/E04/6,35
M01/T002/007,M01/E04/8,58
M01/T002/008,M01/E04/2,4
M01/T002/008,M01/E04/3,364
M01/T002/008,M01/E04/5,295
M01/T002/008,M01/E04/6,26
M01/T002/008,M01/E04/8,39
M01/T002/009,M01/E04/2,4
M01/T002/009,M01/E04/3,288
M01/T002/009,M01/E04/5,292
M01/T002/009,M01/E04/6,33
M01/T002/009,M01/E04/8,64
M01/T002/010,M01/E04/2,23
M01/T002/010,M01/E04/3,1057
M01/T002/010,M01/E04/5,891
M01/T002/010,M01/E04/6,152
M01/T002/010,M01/E04/8,234
M01/T002/011,M01/E04/2,4
M01/T002/011,M01/E04/3,218
M01/T002/011,M01/E04/5,215
M01/T002/011,M01/E04/6,20
M01/T002/011,M01/E04/8,50
M01/T002/012,M01/E04/2,3
M01/T002/012,M01/E04/3,388
M01/T002/012,M01/E04/5,400
M01/T002/012,M01/E04/6,24
M01/T002/012,M01/E04/8,76
M01/T002/013,M01/E04/2,3
M01/T002/013,M01/E04/3,263
M01/T002/013,M01/E04/5,213
M01/T002/013,M01/E04/6,26
M01/T002/013,M01/E04/8,49
M01/T002/014,M01/E04/2,5
M01/T002/014,M01/E04/3,268
M01/T002/014,M01/E04/5,281
M01/T002/014,M01/E04/6,23
M01/T002/014,M01/E04/8,55
M01/T002/015,M01/E04/2,6
M01/T002/015,M01/E04/3,352
M01/T002/015,M01/E04/5,259
M01/T002/015,M01/E04/6,8
M01/T002/015,M01/E04/8,59
M01/T002/016,M01/E04/2,4
M01/T002/016,M01/E04/3,360
M01/T002/016,M01/E04/5,304
M01/T002/016,M01/E04/6,30
M01/T002/016,M01/E04/8,47
M01/T002/017,M01/E04/2,4
M01/T002/017,M01/E04/3,265
M01/T002/017,M01/E04/5,321
M01/T002/017,M01/E04/6,46
M01/T002/017,M01/E04/8,61
M01/T002/018,M01/E04/2,2
M01/T002/018,M01/E04/3,291
M01/T002/018,M01/E04/5,306
M01/T002/018,M01/E04/6,30
M01/T002/018,M01/E04/8,49
M01/T002/019,M01/E04/2,4
M01/T002/019,M01/E04/3,291
M01/T002/019,M01/E04/5,306
M01/T002/019,M01/E04/6,19
M01/T002/019,M01/E04/8,51
M01/T002/020,M01/E04/2,6
M01/T002/020,M01/E04/3,295
M01/T002/020,M01/E04/5,301
M01/T002/020,M01/E04/6,21
M01/T002/020,M01/E04/8,51
M01/T002/021,M01/E04/2,2
M01/T002/021,M01/E04/3,239
M01/T002/021,M01/E04/5,213
M01/T002/021,M01/E04/6,20
M01/T002/021,M01/E04/8,40
M01/T002/022,M01/E04/2,3
M01/T002/022,M01/E04/3,346
M01/T002/022,M01/E04/5,297
M01/T002/022,M01/E04/6,30
M01/T002/022,M01/E04/8,36
M01/T002/023,M01/E04/2,2
M01/T002/023,M01/E04/3,292
M01/T002/023,M01/E04/5,361
M01/T002/023,M01/E04/6,24
M01/T002/023,M01/E04/8,62
M01/T002/024,M01/E04/2,5
M01/T002/024,M01/E04/3,339
M01/T002/024,M01/E04/5,320
M01/T002/024,M01/E04/6,50
M01/T002/024,M01/E04/8,50
M01/T002/025,M01/E04/2,5
M01/T002/025,M01/E04/3,368
M01/T002/025,M01/E04/5,234
M01/T002/025,M01/E04/6,33
M01/T002/025,M01/E04/8,57
M01/T002/026,M01/E04/2,6
M01/T002/026,M01/E04/3,348
M01/T002/026,M01/E04/5,282
M01/T002/026,M01/E04/6,17
M01/T002/026,M01/E04/8,56
M01/T002/027,M01/E04/2,3
M01/T002/027,M01/E04/3,314
M01/T002/027,M01/E04/5,249
M01/T002/027,M01/E04/6,14
M01/T002/027,M01/E04/8,45
M01/T002/028,M01/E04/2,2
M01/T002/028,M01/E04/3,273
M01/T002/028,M01/E04/5,240
M01/T002/028,M01/E04/6,46
M01/T002/028,M01/E04/8,38
M01/T002/029,M01/E04/2,5
M01/T002/029,M01/E04/3,268
M01/T002/029,M01/E04/5,232
M01/T002/029,M01/E04/6,24
M01/T002/029,M01/E04/8,34
M01/T002/030,M01/E04/2,2
M01/T002/030,M01/E04/3,184
M01/T002/030,M01/E04/5,222
M01/T002/030,M01/E04/6,16
M01/T002/030,M01/E04/8,51
M01/T002/031,M01/E04/2,4
