nev,id,listan_is_indul,ferfi,dr,nemzetiseg,ismert
Abházi Ernő,M07/E02/9,0,1,0,Hungarian,0
Ács Péter,M10/E03/2,0,1,0,Hungarian,0
Ács Sándor Józsefné,M07/E05/10,0,0,0,Hungarian,0
Adamik Renátó Imre,M01/E16/10,0,1,0,Hungarian,0
Adorján Béla,M16/E04/6,1,1,0,Hungarian,0
Ágh Péter,M18/E02/1,1,1,0,Hungarian,0
Agócs Ildikó,M14/E08/3,0,0,0,Hungarian,0
Ágoston Tibor,M09/E03/13,1,1,0,Hungarian,0
Alex Ágnes Kornélia,M01/E15/12,1,0,0,Hungarian,0
Alex Tamás,M01/E16/17,1,1,0,Hungarian,0
Alföldi-Lakatos Gábor,M09/E03/9,0,1,0,Hungarian,0
Ali János,M14/E08/12,0,1,0,Hungarian,0
Ander Balázs,M15/E02/10,1,1,0,Hungarian,0
Andorkó László,M09/E06/17,0,1,0,Hungarian,0
Andrássy Dénes Károly,M05/E03/2,1,1,0,Hungarian,0
Angyal Károly Tibor,M02/E04/4,1,1,0,Hungarian,0
Anyalai Béla,M14/E02/8,0,1,0,Hungarian,0
Apáti Tibor,M14/E09/20,1,1,0,Hungarian,0
Apró Tamás,M14/E08/24,1,1,0,Hungarian,0
Árgyelán János,M07/E05/1,1,1,0,Hungarian,0
Árok Kornél,M15/E01/19,1,1,0,Hungarian,0
Árvay-Nagy Anna,M14/E03/12,0,0,0,Hungarian,0
Ásós Tibor,M04/E02/3,0,1,0,Hungarian,0
Asztalos Károlyné,M06/E02/4,1,0,0,Hungarian,0
Atyánszky György Ernő,M03/E06/13,1,1,0,Hungarian,0
Avakov Nyikolaj Viktorovics,M16/E06/23,0,1,0,,0
B Nagy László,M06/E02/20,1,1,0,Hungarian,0
Badány Lajos,M05/E01/7,1,1,0,Hungarian,0
Bagdi Károly,M01/E18/5,1,1,0,Hungarian,0
Bagdi Sándor Gábor,M16/E02/9,1,1,0,Hungarian,0
Bagó Anita,M04/E03/21,1,0,0,Hungarian,0
