szavazokor,szavazat,part
M01/T001/001,0,1
M01/T001/001,1,2
M01/T001/001,6,3
M01/T001/001,1,4
M01/T001/001,0,5
M01/T001/001,409,6
M01/T001/001,3,7
M01/T001/001,91,8
M01/T001/001,0,9
M01/T001/001,0,10
M01/T001/001,4,11
M01/T001/001,0,12
M01/T001/001,0,13
M01/T001/001,1,14
M01/T001/001,4,15
M01/T001/001,0,16
M01/T001/001,247,17
M01/T001/001,57,18
M01/T001/001,824,id
M01/T001/002,2,1
M01/T001/002,0,2
M01/T001/002,4,3
M01/T001/002,0,4
M01/T001/002,0,5
M01/T001/002,351,6
M01/T001/002,2,7
M01/T001/002,76,8
M01/T001/002,2,9
M01/T001/002,1,10
M01/T001/002,1,11
M01/T001/002,2,12
M01/T001/002,1,13
M01/T001/002,2,14
M01/T001/002,0,15
M01/T001/002,3,16
M01/T001/002,259,17
M01/T001/002,41,18
M01/T001/002,747,id
M01/T001/003,0,1
M01/T001/003,2,2
M01/T001/003,4,3
M01/T001/003,1,4
M01/T001/003,0,5
M01/T001/003,350,6
M01/T001/003,3,7
M01/T001/003,62,8
M01/T001/003,0,9
M01/T001/003,0,10
M01/T001/003,2,11
M01/T001/003,7,12
M01/T001/003,1,13
M01/T001/003,4,14
M01/T001/003,5,15
M01/T001/003,0,16
M01/T001/003,190,17
M01/T001/003,51,18
M01/T001/003,682,id
M01/T001/004,0,1
M01/T001/004,2,2
M01/T001/004,4,3
M01/T001/004,2,4
M01/T001/004,0,5
M01/T001/004,372,6
M01/T001/004,3,7
M01/T001/004,66,8
M01/T001/004,0,9
M01/T001/004,0,10
M01/T001/004,6,11
M01/T001/004,4,12
M01/T001/004,3,13
M01/T001/004,2,14
M01/T001/004,5,15
M01/T001/004,0,16
M01/T001/004,211,17
M01/T001/004,36,18
M01/T001/004,716,id
M01/T001/005,0,1
M01/T001/005,3,2
M01/T001/005,0,3
M01/T001/005,0,4
M01/T001/005,0,5
M01/T001/005,331,6
M01/T001/005,3,7
M01/T001/005,92,8
M01/T001/005,2,9
M01/T001/005,0,10
M01/T001/005,2,11
M01/T001/005,0,12
M01/T001/005,1,13
M01/T001/005,1,14
M01/T001/005,3,15
M01/T001/005,4,16
M01/T001/005,234,17
M01/T001/005,46,18
M01/T001/005,722,id
M01/T001/006,0,1
M01/T001/006,1,2
M01/T001/006,4,3
M01/T001/006,0,4
M01/T001/006,0,5
M01/T001/006,386,6
M01/T001/006,2,7
M01/T001/006,118,8
M01/T001/006,1,9
M01/T001/006,0,10
M01/T001/006,0,11
M01/T001/006,0,12
M01/T001/006,5,13
M01/T001/006,1,14
M01/T001/006,2,15
M01/T001/006,0,16
M01/T001/006,238,17
M01/T001/006,48,18
M01/T001/006,806,id
M01/T001/007,1,1
M01/T001/007,1,2
M01/T001/007,6,3
M01/T001/007,0,4
M01/T001/007,0,5
M01/T001/007,340,6
M01/T001/007,0,7
M01/T001/007,60,8
M01/T001/007,1,9
M01/T001/007,0,10
M01/T001/007,1,11
M01/T001/007,5,12
M01/T001/007,4,13
M01/T001/007,5,14
M01/T001/007,2,15
M01/T001/007,2,16
M01/T001/007,200,17
M01/T001/007,38,18
M01/T001/007,666,id
M01/T001/008,0,1
M01/T001/008,0,2
M01/T001/008,0,3
M01/T001/008,1,4
M01/T001/008,1,5
M01/T001/008,293,6
M01/T001/008,2,7
M01/T001/008,92,8
M01/T001/008,1,9
M01/T001/008,0,10
M01/T001/008,4,11
M01/T001/008,3,12
M01/T001/008,2,13
M01/T001/008,2,14
M01/T001/008,1,15
M01/T001/008,0,16
M01/T001/008,249,17
M01/T001/008,44,18
M01/T001/008,695,id
M01/T001/009,1,1
M01/T001/009,1,2
M01/T001/009,3,3
M01/T001/009,1,4
M01/T001/009,0,5
M01/T001/009,404,6
M01/T001/009,1,7
M01/T001/009,84,8
M01/T001/009,0,9
M01/T001/009,0,10
M01/T001/009,2,11
M01/T001/009,3,12
M01/T001/009,1,13
M01/T001/009,1,14
M01/T001/009,4,15
M01/T001/009,2,16
M01/T001/009,234,17
M01/T001/009,67,18
M01/T001/009,809,id
M01/T001/010,0,1
M01/T001/010,0,2
M01/T001/010,2,3
M01/T001/010,2,4
M01/T001/010,0,5
M01/T001/010,339,6
M01/T001/010,3,7
M01/T001/010,58,8
M01/T001/010,0,9
M01/T001/010,0,10
M01/T001/010,1,11
M01/T001/010,1,12
M01/T001/010,3,13
M01/T001/010,2,14
M01/T001/010,2,15
M01/T001/010,0,16
M01/T001/010,288,17
M01/T001/010,61,18
M01/T001/010,762,id
M01/T001/011,1,1
M01/T001/011,2,2
M01/T001/011,2,3
M01/T001/011,0,4
M01/T001/011,0,5
M01/T001/011,353,6
M01/T001/011,5,7
M01/T001/011,108,8
M01/T001/011,0,9
M01/T001/011,0,10
M01/T001/011,4,11
M01/T001/011,1,12
M01/T001/011,4,13
M01/T001/011,2,14
M01/T001/011,2,15
M01/T001/011,0,16
M01/T001/011,259,17
M01/T001/011,41,18
M01/T001/011,784,id
M01/T001/012,0,1
M01/T001/012,2,2
M01/T001/012,3,3
M01/T001/012,2,4
M01/T001/012,1,5
M01/T001/012,361,6
M01/T001/012,1,7
M01/T001/012,92,8
M01/T001/012,0,9
M01/T001/012,0,10
M01/T001/012,3,11
M01/T001/012,4,12
M01/T001/012,2,13
M01/T001/012,1,14
M01/T001/012,3,15
M01/T001/012,3,16
M01/T001/012,250,17
M01/T001/012,58,18
M01/T001/012,786,id
M01/T001/013,1,1
M01/T001/013,1,2
M01/T001/013,3,3
M01/T001/013,2,4
M01/T001/013,0,5
M01/T001/013,426,6
M01/T001/013,0,7
M01/T001/013,90,8
M01/T001/013,0,9
M01/T001/013,0,10
M01/T001/013,3,11
M01/T001/013,3,12
M01/T001/013,0,13
M01/T001/013,1,14
M01/T001/013,3,15
M01/T001/013,0,16
M01/T001/013,235,17
M01/T001/013,54,18
M01/T001/013,822,id
M01/T001/014,0,1
M01/T001/014,1,2
M01/T001/014,2,3
M01/T001/014,0,4
M01/T001/014,0,5
M01/T001/014,312,6
M01/T001/014,6,7
M01/T001/014,97,8
M01/T001/014,3,9
M01/T001/014,0,10
M01/T001/014,2,11
M01/T001/014,4,12
M01/T001/014,0,13
M01/T001/014,1,14
M01/T001/014,1,15
M01/T001/014,0,16
M01/T001/014,263,17
M01/T001/014,49,18
M01/T001/014,741,id
M01/T001/015,0,1
M01/T001/015,0,2
M01/T001/015,4,3
M01/T001/015,0,4
M01/T001/015,0,5
M01/T001/015,331,6
M01/T001/015,5,7
M01/T001/015,83,8
M01/T001/015,0,9
M01/T001/015,0,10
M01/T001/015,4,11
M01/T001/015,1,12
M01/T001/015,2,13
M01/T001/015,1,14
