megye,Month,Fidesz,Jobbik,Hungarian Socialist Party,Democratic Coalition,Politics Can Be Different,Together,Momentum Movement,Dialogue for Hungary
3,2004-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-04,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
3,2004-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2004-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-03,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3,2005-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,2005-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2005-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2005-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-12,0.22580645161290322,0.0,0.45161290322580644,0.0,0.0,0.0,0.0,0.3225806451612903
3,2006-01,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3,2006-02,0.660377358490566,0.0,0.33962264150943394,0.0,0.0,0.0,0.0,0.0
3,2006-03,0.4207650273224044,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2459016393442623
3,2006-04,0.6046511627906976,0.19767441860465115,0.19767441860465115,0.0,0.0,0.0,0.0,0.0
3,2006-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2006-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2006-07,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6
3,2006-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2006-09,0.37606837606837606,0.1282051282051282,0.49572649572649574,0.0,0.0,0.0,0.0,0.0
3,2006-10,0.803030303030303,0.0,0.19696969696969696,0.0,0.0,0.0,0.0,0.0
3,2006-11,0.0,0.2926829268292683,0.2926829268292683,0.0,0.0,0.0,0.0,0.4146341463414634
3,2006-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
