Month,megye,party,search_intensity
2011-01,1,dk,0.0891089108910891
2011-01,1,egyutt,0.0297029702970297
2011-01,1,fidesz,0.37623762376237624
2011-01,1,jobbik,0.24752475247524752
2011-01,1,lmp,0.04950495049504951
2011-01,1,momentum,0.0
2011-01,1,mszp,0.1485148514851485
2011-01,1,pm,0.0594059405940594
2011-01,2,dk,0.08888888888888889
2011-01,2,egyutt,0.0
2011-01,2,fidesz,0.4111111111111111
2011-01,2,jobbik,0.2777777777777778
2011-01,2,lmp,0.08888888888888889
2011-01,2,momentum,0.0
2011-01,2,mszp,0.08888888888888889
2011-01,2,pm,0.044444444444444446
2011-01,3,dk,0.05263157894736842
2011-01,3,egyutt,0.0
2011-01,3,fidesz,0.27631578947368424
2011-01,3,jobbik,0.2236842105263158
2011-01,3,lmp,0.05263157894736842
2011-01,3,momentum,0.0
2011-01,3,mszp,0.17105263157894737
2011-01,3,pm,0.2236842105263158
2011-01,4,dk,0.25
2011-01,4,egyutt,0.0
2011-01,4,fidesz,0.125
2011-01,4,jobbik,0.25
2011-01,4,lmp,0.25
2011-01,4,momentum,0.0
2011-01,4,mszp,0.125
2011-01,4,pm,0.0
2011-01,5,dk,0.0
2011-01,5,egyutt,0.05
2011-01,5,fidesz,0.18333333333333332
2011-01,5,jobbik,0.6333333333333333
2011-01,5,lmp,0.0
2011-01,5,momentum,0.0
2011-01,5,mszp,0.08333333333333333
2011-01,5,pm,0.05
2011-01,6,dk,0.23529411764705882
2011-01,6,egyutt,0.0784313725490196
2011-01,6,fidesz,0.43137254901960786
2011-01,6,jobbik,0.11764705882352941
2011-01,6,lmp,0.0
2011-01,6,momentum,0.0
2011-01,6,mszp,0.058823529411764705
2011-01,6,pm,0.0784313725490196
2011-01,7,dk,0.0
2011-01,7,egyutt,0.04310344827586207
2011-01,7,fidesz,0.35344827586206895
2011-01,7,jobbik,0.35344827586206895
2011-01,7,lmp,0.0
2011-01,7,momentum,0.0
2011-01,7,mszp,0.05172413793103448
2011-01,7,pm,0.19827586206896552
2011-01,8,dk,0.0
2011-01,8,egyutt,0.0
2011-01,8,fidesz,0.6666666666666666
2011-01,8,jobbik,0.21428571428571427
2011-01,8,lmp,0.0
2011-01,8,momentum,0.0
2011-01,8,mszp,0.11904761904761904
2011-01,8,pm,0.0
2011-01,9,dk,0.056074766355140186
2011-01,9,egyutt,0.028037383177570093
2011-01,9,fidesz,0.5046728971962616
2011-01,9,jobbik,0.32710280373831774
2011-01,9,lmp,0.0
2011-01,9,momentum,0.0
2011-01,9,mszp,0.08411214953271028
2011-01,9,pm,0.0
2011-01,10,dk,0.175
2011-01,10,egyutt,0.0
2011-01,10,fidesz,0.0
2011-01,10,jobbik,0.65
2011-01,10,lmp,0.0
2011-01,10,momentum,0.0
2011-01,10,mszp,0.175
2011-01,10,pm,0.0
2011-01,11,dk,0.0
2011-01,11,egyutt,0.0
2011-01,11,fidesz,0.8
2011-01,11,jobbik,0.2
2011-01,11,lmp,0.0
2011-01,11,momentum,0.0
2011-01,11,mszp,0.0
2011-01,11,pm,0.0
2011-01,12,dk,0.06666666666666667
2011-01,12,egyutt,0.0
2011-01,12,fidesz,0.3333333333333333
2011-01,12,jobbik,0.3333333333333333
2011-01,12,lmp,0.2
2011-01,12,momentum,0.0
2011-01,12,mszp,0.06666666666666667
2011-01,12,pm,0.0
2011-01,13,dk,0.0
2011-01,13,egyutt,0.2
2011-01,13,fidesz,0.16363636363636364
2011-01,13,jobbik,0.4727272727272727
2011-01,13,lmp,0.0
2011-01,13,momentum,0.0
2011-01,13,mszp,0.16363636363636364
2011-01,13,pm,0.0
2011-01,14,dk,0.08333333333333333
2011-01,14,egyutt,0.0
2011-01,14,fidesz,0.48148148148148145
2011-01,14,jobbik,0.3611111111111111
2011-01,14,lmp,0.037037037037037035
2011-01,14,momentum,0.0
2011-01,14,mszp,0.0
2011-01,14,pm,0.037037037037037035
2011-01,15,dk,0.20512820512820512
2011-01,15,egyutt,0.0
2011-01,15,fidesz,0.38461538461538464
2011-01,15,jobbik,0.20512820512820512
2011-01,15,lmp,0.0
2011-01,15,momentum,0.0
2011-01,15,mszp,0.20512820512820512
2011-01,15,pm,0.0
2011-01,16,dk,0.07142857142857142
2011-01,16,egyutt,0.10714285714285714
2011-01,16,fidesz,0.44642857142857145
2011-01,16,jobbik,0.23214285714285715
2011-01,16,lmp,0.0
2011-01,16,momentum,0.0
2011-01,16,mszp,0.14285714285714285
2011-01,16,pm,0.0
2011-01,17,dk,0.0
2011-01,17,egyutt,0.0
2011-01,17,fidesz,0.5764705882352941
2011-01,17,jobbik,0.1411764705882353
2011-01,17,lmp,0.0
2011-01,17,momentum,0.0
2011-01,17,mszp,0.2823529411764706
2011-01,17,pm,0.0
2011-01,18,dk,0.0
2011-01,18,egyutt,0.0
2011-01,18,fidesz,0.3333333333333333
2011-01,18,jobbik,0.3333333333333333
2011-01,18,lmp,0.3333333333333333
2011-01,18,momentum,0.0
2011-01,18,mszp,0.0
2011-01,18,pm,0.0
2011-01,19,dk,0.0
2011-01,19,egyutt,0.0
2011-01,19,fidesz,0.5205479452054794
2011-01,19,jobbik,0.2054794520547945
2011-01,19,lmp,0.0547945205479452
2011-01,19,momentum,0.0
2011-01,19,mszp,0.1506849315068493
2011-01,19,pm,0.0684931506849315
2011-01,20,dk,0.0
2011-01,20,egyutt,0.0
2011-01,20,fidesz,0.2159090909090909
2011-01,20,jobbik,0.4318181818181818
2011-01,20,lmp,0.06818181818181818
2011-01,20,momentum,0.0
2011-01,20,mszp,0.06818181818181818
2011-01,20,pm,0.2159090909090909
2011-02,1,dk,0.041237113402061855
2011-02,1,egyutt,0.010309278350515464
2011-02,1,fidesz,0.422680412371134
2011-02,1,jobbik,0.27835051546391754
2011-02,1,lmp,0.09278350515463918
2011-02,1,momentum,0.0
