Category: All categories

Month,Fidesz: (Békés County),Jobbik: (Békés County),Hungarian Democratic Forum: (Békés County),Civil Movement: (Békés County)
2007-01,11,0,0,0
2007-02,61,0,0,0
2007-03,23,0,0,0
2007-04,0,23,0,0
2007-05,22,0,0,0
2007-06,0,0,0,0
2007-07,11,11,0,0
2007-08,0,19,0,0
2007-09,0,11,0,0
2007-10,59,20,0,0
2007-11,18,0,0,0
2007-12,9,0,0,0
2008-01,25,0,0,0
2008-02,17,0,0,0
2008-03,24,0,0,0
2008-04,17,0,0,0
2008-05,26,0,0,0
2008-06,9,0,0,0
2008-07,9,0,0,0
2008-08,18,0,0,0
2008-09,0,26,0,0
2008-10,8,16,0,0
2008-11,0,8,0,0
2008-12,0,0,0,0
2009-01,7,0,0,0
2009-02,0,15,0,0
2009-03,35,35,0,0
2009-04,17,25,0,0
2009-05,23,38,0,0
2009-06,24,24,0,0
2009-07,0,16,0,0
2009-08,8,16,0,0
2009-09,8,38,0,0
2009-10,8,25,0,0
2009-11,16,16,0,0
2009-12,16,31,0,0
2010-01,29,50,0,0
2010-02,22,67,0,0
2010-03,14,100,0,0
2010-04,89,82,0,0
2010-05,36,29,0,0
2010-06,39,16,0,0
2010-07,24,56,0,0
2010-08,16,16,0,0
2010-09,30,38,0,0
2010-10,7,7,0,0
2010-11,14,20,0,0
2010-12,13,6,0,0
2011-01,4,4,0,0
2011-02,11,11,0,0
2011-03,16,16,0,0
2011-04,13,8,0,0
2011-05,8,10,0,0
2011-06,4,2,0,0
2011-07,2,8,0,0
2011-08,4,4,0,0
2011-09,2,18,0,0
2011-10,8,12,0,0
2011-11,9,7,0,0
2011-12,9,9,0,0
2012-01,13,8,0,0
2012-02,5,10,0,0
2012-03,4,9,0,0
2012-04,11,6,0,0
2012-05,12,6,0,0
2012-06,4,2,0,0
2012-07,4,6,0,0
2012-08,4,6,0,0
2012-09,11,9,0,0
2012-10,4,6,0,0
2012-11,8,8,0,0
2012-12,5,9,0,0
2013-01,5,7,0,0
2013-02,6,8,0,0
2013-03,6,10,0,0
