Category: All categories

Month,Fidesz: (Pest County),Jobbik: (Pest County),Hungarian Democratic Forum: (Pest County),Civil Movement: (Pest County)
2007-01,23,5,2,0
2007-02,32,5,7,0
2007-03,26,9,4,0
2007-04,13,0,2,0
2007-05,12,6,4,0
2007-06,13,4,0,0
2007-07,4,4,0,0
2007-08,11,8,4,0
2007-09,13,4,0,0
2007-10,16,2,5,0
2007-11,8,2,0,0
2007-12,5,9,0,0
2008-01,5,2,5,0
2008-02,20,3,2,0
2008-03,16,2,2,0
2008-04,5,5,0,0
2008-05,9,2,2,0
2008-06,2,2,2,0
2008-07,3,7,3,0
2008-08,5,5,4,0
2008-09,5,8,0,0
2008-10,5,9,3,0
2008-11,8,5,2,0
2008-12,4,7,3,0
2009-01,13,8,3,1
2009-02,12,15,4,0
2009-03,19,16,4,1
2009-04,15,20,2,0
2009-05,9,27,7,0
2009-06,19,40,4,1
2009-07,15,34,4,0
2009-08,15,22,1,0
2009-09,7,23,0,0
2009-10,20,21,3,0
2009-11,21,33,1,0
2009-12,9,28,1,0
2010-01,22,37,1,0
2010-02,28,73,18,6
2010-03,42,100,23,7
2010-04,70,90,9,6
2010-05,29,24,0,0
2010-06,26,17,2,0
2010-07,18,9,0,0
2010-08,27,29,4,2
2010-09,20,17,1,1
2010-10,24,15,1,0
2010-11,12,8,1,0
2010-12,11,4,0,0
2011-01,8,5,4,0
2011-02,17,3,1,0
2011-03,6,11,0,0
2011-04,10,14,4,0
2011-05,7,5,0,0
2011-06,7,7,1,0
2011-07,6,8,2,0
2011-08,6,9,2,0
2011-09,14,13,3,0
2011-10,7,7,2,0
2011-11,8,6,2,0
2011-12,7,7,1,0
2012-01,11,10,2,0
2012-02,10,10,3,0
2012-03,6,12,0,0
2012-04,7,14,0,0
2012-05,6,12,1,0
2012-06,3,7,2,0
2012-07,5,7,0,0
2012-08,3,8,0,0
2012-09,3,10,1,0
2012-10,5,10,1,0
2012-11,6,8,2,0
2012-12,5,7,1,0
2013-01,3,9,1,0
2013-02,5,9,1,0
2013-03,13,9,2,0
