Category: All categories

Month,Fidesz: (Somogy County),Jobbik: (Somogy County),Hungarian Democratic Forum: (Somogy County),Civil Movement: (Somogy County)
2007-01,0,0,0,0
2007-02,0,0,0,0
2007-03,21,21,21,0
2007-04,0,0,0,0
2007-05,0,0,19,0
2007-06,0,0,0,0
2007-07,0,0,0,0
2007-08,0,0,0,0
2007-09,0,22,0,0
2007-10,19,0,19,0
2007-11,0,0,0,0
2007-12,0,0,0,0
2008-01,17,0,0,0
2008-02,18,0,0,0
2008-03,67,17,0,0
2008-04,0,0,0,0
2008-05,16,0,16,0
2008-06,41,0,0,0
2008-07,0,0,0,0
2008-08,18,0,0,0
2008-09,0,16,0,0
2008-10,47,16,0,0
2008-11,0,15,0,0
2008-12,15,0,15,0
2009-01,0,0,0,0
2009-02,14,28,14,0
2009-03,25,0,0,0
2009-04,14,0,14,0
2009-05,40,40,0,0
2009-06,27,55,0,0
2009-07,14,43,14,0
2009-08,0,0,0,0
2009-09,0,26,0,0
2009-10,13,26,0,0
2009-11,12,24,12,0
2009-12,0,0,0,0
2010-01,0,54,11,0
2010-02,33,45,11,0
2010-03,41,61,10,0
2010-04,67,100,11,0
2010-05,22,33,0,0
2010-06,22,22,0,0
2010-07,11,22,0,0
2010-08,28,37,0,0
2010-09,18,0,0,0
2010-10,18,9,0,0
2010-11,0,26,9,0
2010-12,9,9,0,0
2011-01,15,4,0,0
2011-02,8,8,0,0
2011-03,7,10,0,0
2011-04,0,8,0,0
2011-05,7,7,0,0
2011-06,0,4,0,0
2011-07,3,0,0,0
2011-08,3,12,0,0
2011-09,17,24,3,0
2011-10,3,7,0,0
2011-11,14,17,3,0
2011-12,6,0,0,0
2012-01,18,24,3,0
2012-02,0,10,0,0
2012-03,3,16,0,0
2012-04,6,3,0,0
2012-05,9,16,0,0
2012-06,7,7,0,0
2012-07,3,9,3,0
2012-08,8,16,3,0
2012-09,6,13,3,0
2012-10,6,18,0,0
2012-11,0,6,0,0
2012-12,0,0,0,0
2013-01,2,0,0,0
2013-02,11,5,0,0
2013-03,7,7,2,0
