Category: All categories

Month,Fidesz: (Zala County),Jobbik: (Zala County),Hungarian Democratic Forum: (Zala County),Civil Movement: (Zala County)
2007-01,0,0,0,0
2007-02,0,0,0,0
2007-03,22,0,0,0
2007-04,11,11,0,0
2007-05,0,0,0,0
2007-06,10,0,0,0
2007-07,10,10,0,0
2007-08,0,18,0,0
2007-09,9,9,0,0
2007-10,15,0,0,0
2007-11,0,0,0,0
2007-12,0,8,0,0
2008-01,0,21,0,0
2008-02,7,7,0,0
2008-03,34,7,0,0
2008-04,0,0,0,0
2008-05,0,7,0,0
2008-06,0,15,0,0
2008-07,7,0,0,0
2008-08,0,0,0,0
2008-09,0,0,0,0
2008-10,6,6,0,0
2008-11,0,12,0,0
2008-12,6,6,0,0
2009-01,5,0,0,0
2009-02,0,0,0,0
2009-03,15,10,0,0
2009-04,11,22,0,0
2009-05,21,21,0,0
2009-06,21,31,0,0
2009-07,0,16,0,0
2009-08,0,11,0,0
2009-09,10,10,0,0
2009-10,10,15,0,0
2009-11,0,10,0,0
2009-12,0,23,0,0
2010-01,13,26,0,0
2010-02,14,48,0,0
2010-03,35,100,0,0
2010-04,68,67,0,0
2010-05,18,18,0,0
2010-06,5,14,0,0
2010-07,20,20,0,0
2010-08,0,13,0,0
2010-09,4,4,0,0
2010-10,27,0,0,0
2010-11,4,8,0,0
2010-12,4,0,0,0
2011-01,1,6,0,0
2011-02,10,8,0,0
2011-03,11,6,0,0
2011-04,10,8,0,0
2011-05,6,5,0,0
2011-06,3,5,0,0
2011-07,9,3,0,0
2011-08,4,4,0,0
2011-09,8,8,0,0
2011-10,3,11,0,0
2011-11,7,5,0,0
2011-12,10,3,0,0
2012-01,13,8,0,0
2012-02,4,6,0,0
2012-03,9,6,0,0
2012-04,5,5,0,0
2012-05,5,8,0,0
2012-06,5,1,0,0
2012-07,3,6,0,0
2012-08,3,8,0,0
2012-09,3,3,0,0
2012-10,4,4,0,0
2012-11,2,6,0,0
2012-12,2,7,0,0
2013-01,2,6,0,0
2013-02,6,2,0,0
2013-03,5,8,0,0
