Category: All categories

Month,Fidesz: (Heves County),Jobbik: (Heves County),Hungarian Socialist Party: (Heves County),Hungarian Democratic Forum: (Heves County),Politics Can Be Different: (Heves County)
2007-01,0,0,0,0,0
2007-02,23,0,0,0,0
2007-03,20,0,0,0,0
2007-04,0,0,0,0,0
2007-05,21,0,0,0,0
2007-06,20,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,21,21,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,16,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,15,0,0
2008-02,16,0,0,0,0
2008-03,15,0,15,0,0
2008-04,16,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,18,0,18,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,28,0,0
2009-01,0,13,0,0,0
2009-02,0,0,0,0,0
2009-03,0,12,0,0,0
2009-04,0,29,14,0,0
2009-05,13,26,0,0,0
2009-06,0,53,0,0,0
2009-07,0,0,0,0,0
2009-08,14,14,0,0,0
2009-09,0,13,0,0,0
2009-10,25,0,0,0,0
2009-11,23,34,11,0,11
2009-12,35,12,0,0,0
2010-01,33,44,0,0,0
2010-02,22,100,22,0,0
2010-03,31,42,0,0,21
2010-04,66,33,22,0,44
2010-05,11,33,22,0,0
2010-06,71,12,0,0,0
2010-07,24,0,0,0,12
2010-08,36,36,0,0,12
2010-09,0,22,0,0,0
2010-10,11,42,0,0,0
2010-11,40,0,0,0,0
2010-12,0,0,0,0,0
2011-01,6,4,2,0,0
2011-02,9,14,0,0,0
2011-03,4,17,2,0,4
2011-04,5,19,5,0,0
2011-05,5,23,2,0,2
2011-06,5,14,0,0,0
2011-07,2,4,2,0,0
2011-08,4,2,4,0,2
2011-09,6,6,6,0,2
2011-10,2,10,2,0,0
2011-11,13,9,4,0,0
2011-12,12,13,2,0,3
2012-01,8,20,6,0,5
2012-02,15,8,0,0,0
2012-03,10,7,0,0,5
2012-04,7,19,5,0,2
2012-05,8,15,0,0,2
2012-06,9,11,0,0,0
2012-07,0,2,2,0,2
2012-08,4,7,0,0,0
2012-09,10,8,2,0,0
2012-10,7,7,0,0,0
2012-11,2,8,3,0,3
2012-12,3,13,2,0,0
2013-01,4,15,1,0,1
2013-02,5,5,0,0,0
2013-03,10,9,6,0,5
