Category: All categories

Month,Fidesz: (Pest County),Jobbik: (Pest County),Hungarian Socialist Party: (Pest County),Hungarian Democratic Forum: (Pest County),Politics Can Be Different: (Pest County)
2007-01,23,5,9,2,0
2007-02,32,5,19,7,0
2007-03,26,9,9,4,0
2007-04,13,0,7,2,0
2007-05,12,6,6,4,0
2007-06,13,4,6,0,0
2007-07,4,4,2,0,0
2007-08,11,8,8,4,0
2007-09,13,4,2,0,0
2007-10,16,2,3,5,2
2007-11,8,2,8,0,0
2007-12,5,9,5,0,0
2008-01,5,2,5,5,0
2008-02,20,3,10,2,0
2008-03,16,2,10,2,0
2008-04,5,5,2,0,0
2008-05,9,2,4,2,0
2008-06,2,2,0,2,0
2008-07,3,7,2,3,0
2008-08,5,5,0,4,0
2008-09,5,8,2,0,0
2008-10,5,9,3,3,2
2008-11,8,5,5,2,0
2008-12,4,7,3,3,1
2009-01,13,8,5,3,1
2009-02,12,15,10,4,4
2009-03,19,16,16,4,3
2009-04,15,20,11,2,6
2009-05,9,27,9,7,5
2009-06,19,40,13,4,11
2009-07,15,34,1,4,0
2009-08,15,22,4,1,0
2009-09,7,23,1,0,0
2009-10,20,21,3,3,1
2009-11,21,33,4,1,2
2009-12,9,28,9,1,1
2010-01,22,37,7,1,3
2010-02,28,73,19,18,20
2010-03,42,100,13,23,35
2010-04,70,90,22,9,53
2010-05,29,24,5,0,8
2010-06,26,17,9,2,7
2010-07,18,9,6,0,0
2010-08,27,29,11,4,6
2010-09,20,17,5,1,2
2010-10,24,15,17,1,7
2010-11,12,8,3,1,2
2010-12,11,4,3,0,3
2011-01,8,5,1,4,3
2011-02,17,3,4,1,0
2011-03,6,11,4,0,1
2011-04,10,14,1,4,1
2011-05,7,5,9,0,1
2011-06,7,7,4,1,5
2011-07,6,8,1,2,0
2011-08,6,9,3,2,1
2011-09,14,13,6,3,1
2011-10,7,7,7,2,2
2011-11,8,6,1,2,1
2011-12,7,7,1,1,3
2012-01,11,10,5,2,2
2012-02,10,10,2,3,2
2012-03,6,12,5,0,6
2012-04,7,14,4,0,1
2012-05,6,12,3,1,1
2012-06,3,7,0,2,2
2012-07,5,7,1,0,1
2012-08,3,8,1,0,0
2012-09,3,10,3,1,2
2012-10,5,10,3,1,1
2012-11,6,8,3,2,3
2012-12,5,7,3,1,2
2013-01,3,9,2,1,2
2013-02,5,9,5,1,1
2013-03,13,9,12,2,2
