Category: All categories

Month,Fidesz: (Szabolcs-Szatmár-Bereg),Jobbik: (Szabolcs-Szatmár-Bereg),Hungarian Socialist Party: (Szabolcs-Szatmár-Bereg),Hungarian Democratic Forum: (Szabolcs-Szatmár-Bereg),Politics Can Be Different: (Szabolcs-Szatmár-Bereg)
2007-01,88,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,61,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,48,0,0
2009-03,0,45,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,34,0,0,0
2010-02,0,0,36,0,0
2010-03,0,32,0,0,0
2010-04,0,100,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,53,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,6,3,1,0,0
2011-02,3,3,0,0,0
2011-03,2,3,1,0,2
2011-04,3,4,0,0,0
2011-05,4,1,0,0,1
2011-06,2,3,1,0,0
2011-07,3,4,1,0,0
2011-08,2,2,0,0,0
2011-09,2,3,2,1,0
2011-10,1,4,2,1,0
2011-11,1,1,0,1,1
2011-12,2,0,0,0,0
2012-01,6,7,1,0,1
2012-02,3,2,0,1,1
2012-03,6,7,2,0,1
2012-04,2,3,1,0,2
2012-05,3,5,2,0,1
2012-06,2,1,1,0,1
2012-07,3,2,0,1,1
2012-08,1,1,1,0,0
2012-09,5,3,1,0,1
2012-10,1,1,1,0,0
2012-11,1,1,0,0,1
2012-12,0,1,2,0,0
2013-01,1,3,1,0,0
2013-02,5,2,0,0,1
2013-03,1,1,2,0,0
