Category: All categories

Month,Hungarian Socialist Party: (Nógrád County),Together: (Nógrád County),Democratic Coalition: (Nógrád County),Dialogue for Hungary: (Nógrád County)
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,0,0,0,0
2009-07,0,0,0,0
2009-08,0,0,38,0
2009-09,0,0,0,0
2009-10,0,0,0,0
2009-11,72,0,0,0
2009-12,0,0,0,0
2010-01,0,0,0,0
2010-02,33,0,0,0
2010-03,30,0,0,0
2010-04,100,0,0,0
2010-05,0,0,0,0
2010-06,0,0,0,0
2010-07,0,0,0,0
2010-08,0,0,0,0
2010-09,0,0,0,0
2010-10,29,0,0,0
2010-11,0,0,0,0
2010-12,0,0,0,0
2011-01,7,7,7,0
2011-02,7,0,0,0
2011-03,21,0,7,0
2011-04,8,0,0,0
2011-05,7,0,0,0
2011-06,0,0,0,0
2011-07,0,0,14,0
2011-08,7,7,0,0
2011-09,6,0,26,0
2011-10,0,0,6,0
2011-11,0,12,6,0
2011-12,0,6,0,0
2012-01,0,0,0,0
2012-02,13,0,13,0
2012-03,20,0,7,0
2012-04,0,0,7,0
2012-05,0,0,7,0
2012-06,0,7,7,0
2012-07,0,0,0,0
2012-08,0,0,0,0
2012-09,7,0,7,0
2012-10,7,0,7,0
2012-11,0,0,12,0
2012-12,6,0,0,0
2013-01,5,0,0,0
2013-02,6,0,6,0
2013-03,11,0,11,0
2013-04,0,0,0,0
2013-05,6,6,0,0
2013-06,0,0,6,0
2013-07,6,0,0,0
2013-08,6,6,0,0
2013-09,6,0,6,0
2013-10,17,0,6,0
2013-11,5,0,5,0
2013-12,0,0,28,0
2014-01,10,0,10,0
2014-02,6,18,6,0
2014-03,6,0,6,0
2014-04,17,6,17,0
2014-05,6,0,6,0
2014-06,7,0,0,0
2014-07,0,0,6,0
2014-08,6,6,0,0
2014-09,0,0,7,0
2014-10,18,0,6,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,5,5,11,0
2015-02,12,0,6,0
2015-03,6,0,0,0
2015-04,0,0,0,0
2015-05,0,0,6,0
2015-06,0,0,0,0
2015-07,0,0,5,0
2015-08,5,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,9,0,0,0
2015-12,8,0,0,0
2016-01,7,4,4,0
2016-02,16,0,4,0
2016-03,8,0,0,0
2016-04,8,4,4,0
2016-05,0,0,0,0
2016-06,0,0,0,0
2016-07,0,0,9,0
2016-08,5,5,5,0
2016-09,0,0,0,0
2016-10,0,0,4,0
2016-11,0,0,0,0
2016-12,8,0,4,0
2017-01,4,0,4,0
2017-02,4,0,0,0
2017-03,11,0,0,0
2017-04,0,0,4,0
2017-05,0,0,0,0
2017-06,4,4,0,0
2017-07,0,0,0,0
2017-08,4,0,0,0
2017-09,12,0,4,0
2017-10,0,0,4,0
2017-11,3,0,3,0
2017-12,6,0,0,0
2018-01,21,0,6,0
2018-02,3,3,7,0
2018-03,3,0,6,0
