Category: All categories

Month,Hungarian Socialist Party: (Pest County),Together: (Pest County),Democratic Coalition: (Pest County),Dialogue for Hungary: (Pest County)
2009-04,43,0,6,6
2009-05,33,0,5,0
2009-06,43,0,22,11
2009-07,17,6,6,6
2009-08,11,0,11,0
2009-09,16,0,11,11
2009-10,31,0,15,10
2009-11,15,5,20,0
2009-12,42,0,10,5
2010-01,47,0,0,9
2010-02,76,0,15,15
2010-03,66,0,14,9
2010-04,100,0,15,15
2010-05,19,0,10,0
2010-06,25,0,5,10
2010-07,36,0,36,10
2010-08,49,0,15,5
2010-09,19,5,10,10
2010-10,63,0,13,4
2010-11,22,4,4,9
2010-12,17,0,4,4
2011-01,5,0,10,5
2011-02,11,6,17,0
2011-03,21,10,0,5
2011-04,17,0,11,0
2011-05,26,5,5,0
2011-06,11,0,16,5
2011-07,14,9,24,0
2011-08,12,12,12,0
2011-09,12,20,28,8
2011-10,33,12,33,4
2011-11,8,12,27,0
2011-12,10,0,20,0
2012-01,19,6,31,3
2012-02,28,4,18,0
2012-03,13,0,16,3
2012-04,10,2,20,0
2012-05,9,0,18,7
2012-06,2,0,14,0
2012-07,9,2,7,4
2012-08,6,2,17,0
2012-09,10,0,20,2
2012-10,9,20,20,4
2012-11,8,23,12,0
2012-12,11,11,11,2
2013-01,9,9,9,4
2013-02,26,19,12,5
2013-03,40,17,15,9
2013-04,11,11,16,5
2013-05,19,16,9,3
2013-06,8,13,15,4
2013-07,10,9,11,4
2013-08,19,13,11,10
2013-09,10,9,14,6
2013-10,26,11,27,1
2013-11,16,9,25,8
2013-12,8,9,19,5
2014-01,34,14,15,9
2014-02,46,10,20,9
2014-03,34,17,20,14
2014-04,42,35,36,16
2014-05,22,8,20,13
2014-06,12,7,9,7
2014-07,17,6,19,1
2014-08,14,9,14,8
2014-09,11,8,13,10
2014-10,18,8,8,10
2014-11,11,7,14,3
2014-12,7,2,14,1
2015-01,4,2,17,4
2015-02,10,4,9,3
2015-03,7,4,8,2
2015-04,6,4,8,4
2015-05,1,3,4,1
2015-06,2,6,9,3
2015-07,6,7,10,0
2015-08,9,3,7,4
2015-09,7,0,8,5
2015-10,5,2,12,4
2015-11,14,4,9,4
2015-12,7,4,11,7
2016-01,2,2,9,4
2016-02,8,6,19,2
2016-03,7,4,9,4
2016-04,9,4,8,1
2016-05,6,6,7,5
2016-06,14,0,8,4
2016-07,15,1,6,1
2016-08,4,2,5,4
2016-09,10,4,13,4
2016-10,14,10,13,4
2016-11,5,4,10,4
2016-12,8,3,10,3
2017-01,7,0,7,2
2017-02,7,3,13,2
2017-03,6,2,12,2
2017-04,11,3,10,4
2017-05,6,2,8,1
2017-06,6,6,9,4
2017-07,7,1,8,1
2017-08,3,3,10,3
2017-09,14,1,8,1
2017-10,7,1,11,2
2017-11,11,1,9,3
2017-12,19,5,16,4
2018-01,18,7,5,5
2018-02,24,7,20,6
2018-03,29,12,27,8
