Category: All categories

Month,Hungarian Socialist Party: (Somogy County),Together: (Somogy County),Democratic Coalition: (Somogy County),Dialogue for Hungary: (Somogy County)
2009-04,40,0,0,0
2009-05,40,0,40,0
2009-06,41,0,41,0
2009-07,44,0,0,0
2009-08,0,0,44,0
2009-09,39,0,0,0
2009-10,0,0,0,0
2009-11,75,0,0,0
2009-12,0,0,0,0
2010-01,31,0,0,0
2010-02,67,0,0,0
2010-03,60,0,0,0
2010-04,99,0,0,0
2010-05,100,0,0,0
2010-06,68,0,34,0
2010-07,33,0,33,0
2010-08,28,0,0,0
2010-09,27,0,27,0
2010-10,0,0,27,0
2010-11,27,0,54,0
2010-12,0,0,0,0
2011-01,11,11,11,0
2011-02,35,12,0,0
2011-03,11,0,11,0
2011-04,22,0,11,0
2011-05,0,0,22,0
2011-06,0,11,11,0
2011-07,0,30,10,0
2011-08,0,28,0,0
2011-09,21,32,42,0
2011-10,21,0,31,0
2011-11,0,0,31,0
2011-12,0,0,0,0
2012-01,9,0,18,0
2012-02,10,20,30,0
2012-03,0,10,30,0
2012-04,29,0,19,0
2012-05,19,0,37,0
2012-06,0,0,10,0
2012-07,0,0,0,0
2012-08,0,0,0,0
2012-09,0,0,19,0
2012-10,9,18,0,0
2012-11,0,9,9,0
2012-12,0,0,25,0
2013-01,22,7,0,0
2013-02,0,0,0,0
2013-03,28,7,0,0
2013-04,0,15,0,0
2013-05,8,8,8,0
2013-06,15,8,0,0
2013-07,8,8,0,0
2013-08,0,7,7,0
2013-09,16,8,8,0
2013-10,15,8,38,0
2013-11,7,7,22,0
2013-12,0,0,14,0
2014-01,6,6,12,0
2014-02,13,7,13,0
2014-03,33,13,20,0
2014-04,33,7,7,0
2014-05,6,13,19,0
2014-06,0,0,7,0
2014-07,6,0,18,0
2014-08,6,0,11,0
2014-09,25,6,19,0
2014-10,12,0,0,0
2014-11,0,6,17,0
2014-12,5,0,0,0
2015-01,5,5,0,0
2015-02,22,5,11,0
2015-03,5,0,5,0
2015-04,11,6,11,0
2015-05,6,0,0,0
2015-06,0,0,6,0
2015-07,0,0,0,0
2015-08,10,0,0,0
2015-09,0,6,6,0
2015-10,0,0,0,0
2015-11,10,0,0,0
2015-12,5,0,10,0
2016-01,4,0,4,0
2016-02,5,5,10,0
2016-03,0,0,5,0
2016-04,0,5,0,0
2016-05,9,0,5,0
2016-06,0,5,9,0
2016-07,4,0,0,0
2016-08,0,4,0,0
2016-09,11,11,11,0
2016-10,0,5,0,0
2016-11,10,0,0,0
2016-12,10,0,5,0
2017-01,13,0,0,0
2017-02,5,5,5,0
2017-03,5,0,5,0
2017-04,9,0,5,0
2017-05,10,0,14,0
2017-06,5,0,5,0
2017-07,8,8,0,0
2017-08,4,4,7,0
2017-09,0,0,0,0
2017-10,9,5,5,0
2017-11,17,4,4,0
2017-12,17,8,4,0
2018-01,12,4,8,0
2018-02,18,0,9,0
2018-03,32,0,12,0
