Category: All categories

Month,Hungarian Socialist Party: (Tolna County),Together: (Tolna County),Democratic Coalition: (Tolna County),Dialogue for Hungary: (Tolna County)
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,30,0,30,0
2009-07,0,0,0,0
2009-08,0,0,0,0
2009-09,0,0,0,0
2009-10,0,0,0,0
2009-11,0,0,26,0
2009-12,24,24,48,0
2010-01,46,0,23,0
2010-02,26,0,0,0
2010-03,24,0,0,0
2010-04,100,0,0,0
2010-05,24,0,0,0
2010-06,25,0,0,0
2010-07,0,0,0,0
2010-08,0,0,48,0
2010-09,51,0,0,0
2010-10,22,0,0,0
2010-11,0,0,21,0
2010-12,20,0,0,0
2011-01,20,10,0,0
2011-02,11,0,0,0
2011-03,10,0,0,0
2011-04,22,0,0,0
2011-05,0,0,20,0
2011-06,0,0,0,0
2011-07,0,0,0,0
2011-08,0,9,0,0
2011-09,0,0,0,0
2011-10,0,20,20,0
2011-11,29,0,19,0
2011-12,9,0,9,0
2012-01,9,0,17,0
2012-02,10,0,19,0
2012-03,10,0,10,0
2012-04,0,0,20,0
2012-05,0,0,10,0
2012-06,0,0,20,0
2012-07,0,0,39,0
2012-08,0,0,0,0
2012-09,0,0,31,0
2012-10,10,29,29,0
2012-11,51,30,20,0
2012-12,10,10,10,0
2013-01,0,8,17,0
2013-02,10,19,0,0
2013-03,9,17,0,0
2013-04,0,10,0,0
2013-05,0,0,0,0
2013-06,0,10,10,0
2013-07,0,0,9,0
2013-08,9,9,0,0
2013-09,0,0,9,0
2013-10,8,25,51,0
2013-11,0,0,0,0
2013-12,8,0,0,0
2014-01,21,0,21,0
2014-02,47,16,16,0
2014-03,7,7,0,0
2014-04,31,8,15,0
2014-05,16,8,0,0
2014-06,18,0,0,0
2014-07,9,18,26,0
2014-08,9,0,9,0
2014-09,0,0,9,0
2014-10,0,0,9,0
2014-11,0,8,0,0
2014-12,8,8,0,0
2015-01,0,0,0,0
2015-02,16,8,0,0
2015-03,0,8,8,0
2015-04,8,0,0,0
2015-05,0,0,0,0
2015-06,0,0,8,0
2015-07,7,0,14,0
2015-08,7,0,0,0
2015-09,7,7,0,0
2015-10,7,0,7,0
2015-11,7,0,14,0
2015-12,6,12,18,0
2016-01,6,6,0,0
2016-02,6,6,12,0
2016-03,12,0,0,0
2016-04,0,0,6,0
2016-05,12,0,0,0
2016-06,12,0,6,0
2016-07,0,0,7,0
2016-08,0,0,0,0
2016-09,0,15,0,0
2016-10,0,0,0,0
2016-11,0,7,7,0
2016-12,0,0,0,0
2017-01,0,0,0,0
2017-02,6,0,13,0
2017-03,0,12,6,0
2017-04,18,0,0,0
2017-05,0,6,0,0
2017-06,7,0,7,0
2017-07,0,0,0,0
2017-08,0,0,0,0
2017-09,0,0,0,0
2017-10,6,0,12,0
2017-11,0,0,12,0
2017-12,0,6,0,0
2018-01,5,0,5,0
2018-02,30,0,6,0
2018-03,32,0,5,0
