Category: All categories

Month,Hungarian Socialist Party: (Vas County),Together: (Vas County),Democratic Coalition: (Vas County),Dialogue for Hungary: (Vas County)
2009-04,0,0,0,65
2009-05,0,0,0,0
2009-06,53,0,0,0
2009-07,0,0,0,0
2009-08,55,0,55,0
2009-09,0,0,0,0
2009-10,100,0,0,0
2009-11,0,0,0,0
2009-12,0,0,0,0
2010-01,46,0,0,46
2010-02,0,0,0,57
2010-03,55,0,55,55
2010-04,56,0,0,0
2010-05,0,0,0,0
2010-06,0,0,0,0
2010-07,0,0,0,0
2010-08,0,0,0,0
2010-09,53,0,0,0
2010-10,47,0,0,47
2010-11,0,0,0,0
2010-12,0,0,0,0
2011-01,29,0,14,0
2011-02,16,0,16,0
2011-03,15,0,0,0
2011-04,31,0,0,16
2011-05,16,0,0,0
2011-06,0,17,17,0
2011-07,0,0,0,0
2011-08,0,0,30,0
2011-09,0,15,0,0
2011-10,27,0,14,14
2011-11,28,0,27,14
2011-12,0,0,14,0
2012-01,0,0,11,0
2012-02,12,0,0,0
2012-03,0,0,11,0
2012-04,0,0,21,11
2012-05,12,12,12,0
2012-06,0,0,14,0
2012-07,30,0,0,0
2012-08,14,0,14,0
2012-09,0,0,55,0
2012-10,0,13,0,0
2012-11,24,12,0,0
2012-12,12,0,0,0
2013-01,0,0,11,0
2013-02,0,0,24,0
2013-03,30,0,8,0
2013-04,8,8,0,8
2013-05,14,7,34,7
2013-06,21,0,14,7
2013-07,6,6,12,6
2013-08,0,11,11,0
2013-09,24,36,12,6
2013-10,29,12,41,12
2013-11,11,17,6,6
2013-12,20,7,14,0
2014-01,7,0,0,0
2014-02,25,8,17,8
2014-03,33,0,8,0
2014-04,31,8,15,8
2014-05,7,0,14,0
2014-06,8,8,8,15
2014-07,16,8,0,8
2014-08,17,0,25,0
2014-09,0,17,25,0
2014-10,16,0,32,0
2014-11,0,8,16,0
2014-12,16,8,16,0
2015-01,0,7,0,7
2015-02,8,0,0,0
2015-03,8,0,0,0
2015-04,17,0,0,0
2015-05,16,8,0,0
2015-06,8,0,16,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,23,0,15,0
2015-10,0,7,14,0
2015-11,7,0,7,0
2015-12,0,0,22,0
2016-01,6,0,0,0
2016-02,0,0,13,7
2016-03,13,0,13,0
2016-04,0,7,7,0
2016-05,6,0,0,0
2016-06,13,0,0,7
2016-07,14,0,7,0
2016-08,0,0,14,0
2016-09,15,0,0,0
2016-10,20,0,20,0
2016-11,0,0,0,0
2016-12,0,0,0,0
2017-01,11,0,17,0
2017-02,0,0,13,0
2017-03,0,0,17,6
2017-04,6,6,12,0
2017-05,6,6,12,6
2017-06,7,0,7,7
2017-07,6,0,0,13
2017-08,6,0,6,0
2017-09,12,6,31,6
2017-10,12,0,6,0
2017-11,11,11,32,0
2017-12,47,0,0,0
2018-01,0,0,10,0
2018-02,21,0,0,0
2018-03,39,5,5,10
