Category: All categories

Month,Hungarian Socialist Party: (Heves County),Together: (Heves County),Dialogue for Hungary: (Heves County),Democratic Coalition: (Heves County),Momentum Movement: (Heves County)
2009-03,74,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,35,0,0,0,0
2009-12,0,0,0,0,35
2010-01,100,0,0,0,0
2010-02,69,0,0,0,0
2010-03,0,0,0,0,0
2010-04,33,0,0,0,0
2010-05,34,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,31,0,0,31,0
2010-12,0,0,0,0,0
2011-01,0,7,0,7,0
2011-02,0,0,0,7,0
2011-03,7,0,0,13,0
2011-04,7,0,0,14,0
2011-05,0,0,0,0,0
2011-06,7,0,0,7,0
2011-07,0,0,0,7,0
2011-08,6,0,0,0,0
2011-09,0,0,0,12,0
2011-10,6,0,0,18,0
2011-11,23,17,0,12,6
2011-12,0,5,0,25,0
2012-01,14,10,0,19,0
2012-02,0,0,0,10,0
2012-03,0,0,0,5,0
2012-04,5,0,0,21,5
2012-05,5,0,0,21,0
2012-06,6,6,0,6,0
2012-07,6,0,0,6,0
2012-08,0,6,0,11,0
2012-09,6,0,0,12,0
2012-10,10,5,0,10,0
2012-11,5,5,0,0,0
2012-12,0,0,0,5,0
2013-01,9,0,0,18,5
2013-02,10,5,0,5,0
2013-03,18,0,0,4,4
2013-04,8,0,0,8,4
2013-05,15,15,0,0,0
2013-06,7,10,0,21,0
2013-07,0,9,0,9,0
2013-08,6,0,0,6,0
2013-09,12,6,0,21,0
2013-10,14,0,0,31,0
2013-11,8,5,0,35,0
2013-12,5,0,0,5,0
2014-01,15,10,0,7,0
2014-02,32,8,0,16,3
2014-03,16,10,0,3,0
2014-04,24,8,0,8,0
2014-05,3,5,0,5,0
2014-06,0,3,0,6,0
2014-07,0,0,0,9,3
2014-08,9,3,0,6,0
2014-09,6,6,0,0,0
2014-10,14,3,0,11,0
2014-11,11,3,0,3,0
2014-12,8,5,0,8,0
2015-01,0,2,0,5,0
2015-02,3,0,0,5,0
2015-03,16,0,0,3,0
2015-04,6,3,0,0,0
2015-05,6,0,0,8,0
2015-06,0,3,0,0,0
2015-07,4,4,0,8,0
2015-08,0,0,0,4,0
2015-09,0,4,0,0,0
2015-10,0,0,0,4,0
2015-11,4,4,0,4,0
2015-12,0,0,0,0,0
2016-01,9,0,0,3,3
2016-02,3,0,0,3,0
2016-03,0,0,0,6,0
2016-04,0,0,0,3,3
2016-05,10,3,0,3,0
2016-06,13,0,0,0,0
2016-07,0,0,0,7,0
2016-08,4,0,0,4,0
2016-09,4,0,0,4,0
2016-10,7,0,0,4,0
2016-11,0,0,0,7,0
2016-12,0,0,0,0,0
2017-01,0,0,0,3,6
2017-02,3,3,0,0,14
2017-03,0,0,0,0,22
2017-04,3,3,0,3,6
2017-05,3,0,0,3,10
2017-06,4,0,0,7,4
2017-07,3,3,0,7,7
2017-08,0,0,0,7,3
2017-09,7,0,0,0,3
2017-10,13,0,0,0,6
2017-11,9,0,0,3,3
2017-12,12,0,0,14,3
2018-01,3,3,0,5,0
2018-02,18,3,0,12,12
2018-03,5,5,0,11,11
