search_volume,month,geo,search_term
15,2009-04,M02,mdf
0,2009-04,M02,mszp
0,2009-04,M02,momentum
0,2009-05,M02,mdf
13,2009-05,M02,mszp
0,2009-05,M02,momentum
0,2009-06,M02,mdf
14,2009-06,M02,mszp
0,2009-06,M02,momentum
0,2009-07,M02,mdf
0,2009-07,M02,mszp
0,2009-07,M02,momentum
0,2009-08,M02,mdf
15,2009-08,M02,mszp
0,2009-08,M02,momentum
27,2009-09,M02,mdf
13,2009-09,M02,mszp
0,2009-09,M02,momentum
0,2009-10,M02,mdf
26,2009-10,M02,mszp
0,2009-10,M02,momentum
0,2009-11,M02,mdf
36,2009-11,M02,mszp
0,2009-11,M02,momentum
13,2009-12,M02,mdf
0,2009-12,M02,mszp
0,2009-12,M02,momentum
23,2010-01,M02,mdf
23,2010-01,M02,mszp
0,2010-01,M02,momentum
13,2010-02,M02,mdf
100,2010-02,M02,mszp
0,2010-02,M02,momentum
34,2010-03,M02,mdf
11,2010-03,M02,mszp
0,2010-03,M02,momentum
12,2010-04,M02,mdf
60,2010-04,M02,mszp
0,2010-04,M02,momentum
0,2010-05,M02,mdf
12,2010-05,M02,mszp
0,2010-05,M02,momentum
0,2010-06,M02,mdf
12,2010-06,M02,mszp
0,2010-06,M02,momentum
0,2010-07,M02,mdf
27,2010-07,M02,mszp
0,2010-07,M02,momentum
0,2010-08,M02,mdf
13,2010-08,M02,mszp
0,2010-08,M02,momentum
11,2010-09,M02,mdf
23,2010-09,M02,mszp
11,2010-09,M02,momentum
11,2010-10,M02,mdf
32,2010-10,M02,mszp
0,2010-10,M02,momentum
0,2010-11,M02,mdf
20,2010-11,M02,mszp
0,2010-11,M02,momentum
0,2010-12,M02,mdf
0,2010-12,M02,mszp
10,2010-12,M02,momentum
0,2011-01,M02,mdf
3,2011-01,M02,mszp
0,2011-01,M02,momentum
10,2011-02,M02,mdf
13,2011-02,M02,mszp
0,2011-02,M02,momentum
3,2011-03,M02,mdf
6,2011-03,M02,mszp
0,2011-03,M02,momentum
7,2011-04,M02,mdf
0,2011-04,M02,mszp
0,2011-04,M02,momentum
0,2011-05,M02,mdf
10,2011-05,M02,mszp
0,2011-05,M02,momentum
7,2011-06,M02,mdf
7,2011-06,M02,mszp
0,2011-06,M02,momentum
0,2011-07,M02,mdf
4,2011-07,M02,mszp
4,2011-07,M02,momentum
4,2011-08,M02,mdf
0,2011-08,M02,mszp
4,2011-08,M02,momentum
0,2011-09,M02,mdf
10,2011-09,M02,mszp
0,2011-09,M02,momentum
6,2011-10,M02,mdf
0,2011-10,M02,mszp
0,2011-10,M02,momentum
0,2011-11,M02,mdf
11,2011-11,M02,mszp
0,2011-11,M02,momentum
3,2011-12,M02,mdf
6,2011-12,M02,mszp
0,2011-12,M02,momentum
3,2012-01,M02,mdf
5,2012-01,M02,mszp
0,2012-01,M02,momentum
0,2012-02,M02,mdf
8,2012-02,M02,mszp
0,2012-02,M02,momentum
5,2012-03,M02,mdf
5,2012-03,M02,mszp
3,2012-03,M02,momentum
0,2012-04,M02,mdf
6,2012-04,M02,mszp
0,2012-04,M02,momentum
5,2012-05,M02,mdf
3,2012-05,M02,mszp
0,2012-05,M02,momentum
3,2012-06,M02,mdf
6,2012-06,M02,mszp
3,2012-06,M02,momentum
0,2012-07,M02,mdf
9,2012-07,M02,mszp
0,2012-07,M02,momentum
0,2012-08,M02,mdf
0,2012-08,M02,mszp
0,2012-08,M02,momentum
3,2012-09,M02,mdf
5,2012-09,M02,mszp
0,2012-09,M02,momentum
0,2012-10,M02,mdf
3,2012-10,M02,mszp
0,2012-10,M02,momentum
0,2012-11,M02,mdf
8,2012-11,M02,mszp
0,2012-11,M02,momentum
2,2012-12,M02,mdf
2,2012-12,M02,mszp
0,2012-12,M02,momentum
2,2013-01,M02,mdf
0,2013-01,M02,mszp
0,2013-01,M02,momentum
0,2013-02,M02,mdf
5,2013-02,M02,mszp
0,2013-02,M02,momentum
5,2013-03,M02,mdf
16,2013-03,M02,mszp
0,2013-03,M02,momentum
3,2013-04,M02,mdf
15,2013-04,M02,mszp
0,2013-04,M02,momentum
5,2013-05,M02,mdf
12,2013-05,M02,mszp
2,2013-05,M02,momentum
3,2013-06,M02,mdf
0,2013-06,M02,mszp
0,2013-06,M02,momentum
5,2013-07,M02,mdf
3,2013-07,M02,mszp
0,2013-07,M02,momentum
0,2013-08,M02,mdf
8,2013-08,M02,mszp
0,2013-08,M02,momentum
0,2013-09,M02,mdf
15,2013-09,M02,mszp
0,2013-09,M02,momentum
2,2013-10,M02,mdf
11,2013-10,M02,mszp
0,2013-10,M02,momentum
0,2013-11,M02,mdf
9,2013-11,M02,mszp
0,2013-11,M02,momentum
0,2013-12,M02,mdf
12,2013-12,M02,mszp
0,2013-12,M02,momentum
0,2014-01,M02,mdf
22,2014-01,M02,mszp
0,2014-01,M02,momentum
0,2014-02,M02,mdf
34,2014-02,M02,mszp
0,2014-02,M02,momentum
2,2014-03,M02,mdf
18,2014-03,M02,mszp
0,2014-03,M02,momentum
5,2014-04,M02,mdf
18,2014-04,M02,mszp
0,2014-04,M02,momentum
2,2014-05,M02,mdf
4,2014-05,M02,mszp
0,2014-05,M02,momentum
0,2014-06,M02,mdf
3,2014-06,M02,mszp
0,2014-06,M02,momentum
3,2014-07,M02,mdf
3,2014-07,M02,mszp
0,2014-07,M02,momentum
0,2014-08,M02,mdf
8,2014-08,M02,mszp
0,2014-08,M02,momentum
0,2014-09,M02,mdf
5,2014-09,M02,mszp
3,2014-09,M02,momentum
0,2014-10,M02,mdf
7,2014-10,M02,mszp
0,2014-10,M02,momentum
0,2014-11,M02,mdf
5,2014-11,M02,mszp
2,2014-11,M02,momentum
0,2014-12,M02,mdf
5,2014-12,M02,mszp
2,2014-12,M02,momentum
0,2015-01,M02,mdf
2,2015-01,M02,mszp
2,2015-01,M02,momentum
2,2015-02,M02,mdf
2,2015-02,M02,mszp
0,2015-02,M02,momentum
0,2015-03,M02,mdf
4,2015-03,M02,mszp
0,2015-03,M02,momentum
5,2015-04,M02,mdf
5,2015-04,M02,mszp
0,2015-04,M02,momentum
0,2015-05,M02,mdf
7,2015-05,M02,mszp
0,2015-05,M02,momentum
3,2015-06,M02,mdf
3,2015-06,M02,mszp
0,2015-06,M02,momentum
5,2015-07,M02,mdf
0,2015-07,M02,mszp
0,2015-07,M02,momentum
0,2015-08,M02,mdf
3,2015-08,M02,mszp
0,2015-08,M02,momentum
0,2015-09,M02,mdf
3,2015-09,M02,mszp
0,2015-09,M02,momentum
2,2015-10,M02,mdf
7,2015-10,M02,mszp
0,2015-10,M02,momentum
0,2015-11,M02,mdf
5,2015-11,M02,mszp
0,2015-11,M02,momentum
0,2015-12,M02,mdf
2,2015-12,M02,mszp
0,2015-12,M02,momentum
0,2016-01,M02,mdf
9,2016-01,M02,mszp
0,2016-01,M02,momentum
0,2016-02,M02,mdf
0,2016-02,M02,mszp
3,2016-02,M02,momentum
5,2016-03,M02,mdf
0,2016-03,M02,mszp
0,2016-03,M02,momentum
0,2016-04,M02,mdf
3,2016-04,M02,mszp
3,2016-04,M02,momentum
2,2016-05,M02,mdf
21,2016-05,M02,mszp
2,2016-05,M02,momentum
5,2016-06,M02,mdf
5,2016-06,M02,mszp
0,2016-06,M02,momentum
0,2016-07,M02,mdf
3,2016-07,M02,mszp
0,2016-07,M02,momentum
3,2016-08,M02,mdf
0,2016-08,M02,mszp
6,2016-08,M02,momentum
0,2016-09,M02,mdf
0,2016-09,M02,mszp
0,2016-09,M02,momentum
0,2016-10,M02,mdf
11,2016-10,M02,mszp
0,2016-10,M02,momentum
3,2016-11,M02,mdf
3,2016-11,M02,mszp
0,2016-11,M02,momentum
0,2016-12,M02,mdf
0,2016-12,M02,mszp
3,2016-12,M02,momentum
2,2017-01,M02,mdf
5,2017-01,M02,mszp
7,2017-01,M02,momentum
0,2017-02,M02,mdf
10,2017-02,M02,mszp
21,2017-02,M02,momentum
2,2017-03,M02,mdf
5,2017-03,M02,mszp
7,2017-03,M02,momentum
2,2017-04,M02,mdf
5,2017-04,M02,mszp
10,2017-04,M02,momentum
0,2017-05,M02,mdf
5,2017-05,M02,mszp
12,2017-05,M02,momentum
3,2017-06,M02,mdf
6,2017-06,M02,mszp
0,2017-06,M02,momentum
0,2017-07,M02,mdf
3,2017-07,M02,mszp
3,2017-07,M02,momentum
0,2017-08,M02,mdf
5,2017-08,M02,mszp
5,2017-08,M02,momentum
3,2017-09,M02,mdf
8,2017-09,M02,mszp
5,2017-09,M02,momentum
0,2017-10,M02,mdf
2,2017-10,M02,mszp
0,2017-10,M02,momentum
0,2017-11,M02,mdf
5,2017-11,M02,mszp
5,2017-11,M02,momentum
0,2017-12,M02,mdf
14,2017-12,M02,mszp
2,2017-12,M02,momentum
2,2018-01,M02,mdf
6,2018-01,M02,mszp
2,2018-01,M02,momentum
2,2018-02,M02,mdf
5,2018-02,M02,mszp
7,2018-02,M02,momentum
0,2018-03,M02,mdf
23,2018-03,M02,mszp
11,2018-03,M02,momentum
0,2009-04,M04,mszp
0,2009-04,M04,mdf
0,2009-04,M04,momentum
100,2009-05,M04,mszp
0,2009-05,M04,mdf
0,2009-05,M04,momentum
54,2009-06,M04,mszp
0,2009-06,M04,mdf
0,2009-06,M04,momentum
0,2009-07,M04,mszp
0,2009-07,M04,mdf
0,2009-07,M04,momentum
0,2009-08,M04,mszp
0,2009-08,M04,mdf
0,2009-08,M04,momentum
0,2009-09,M04,mszp
0,2009-09,M04,mdf
0,2009-09,M04,momentum
28,2009-10,M04,mszp
0,2009-10,M04,mdf
0,2009-10,M04,momentum
27,2009-11,M04,mszp
0,2009-11,M04,mdf
0,2009-11,M04,momentum
27,2009-12,M04,mszp
0,2009-12,M04,mdf
0,2009-12,M04,momentum
47,2010-01,M04,mszp
0,2010-01,M04,mdf
0,2010-01,M04,momentum
25,2010-02,M04,mszp
0,2010-02,M04,mdf
0,2010-02,M04,momentum
47,2010-03,M04,mszp
0,2010-03,M04,mdf
0,2010-03,M04,momentum
75,2010-04,M04,mszp
0,2010-04,M04,mdf
0,2010-04,M04,momentum
24,2010-05,M04,mszp
0,2010-05,M04,mdf
0,2010-05,M04,momentum
0,2010-06,M04,mszp
0,2010-06,M04,mdf
0,2010-06,M04,momentum
27,2010-07,M04,mszp
0,2010-07,M04,mdf
0,2010-07,M04,momentum
0,2010-08,M04,mszp
0,2010-08,M04,mdf
0,2010-08,M04,momentum
0,2010-09,M04,mszp
0,2010-09,M04,mdf
0,2010-09,M04,momentum
23,2010-10,M04,mszp
0,2010-10,M04,mdf
0,2010-10,M04,momentum
46,2010-11,M04,mszp
0,2010-11,M04,mdf
0,2010-11,M04,momentum
0,2010-12,M04,mszp
0,2010-12,M04,mdf
0,2010-12,M04,momentum
7,2011-01,M04,mszp
0,2011-01,M04,mdf
0,2011-01,M04,momentum
14,2011-02,M04,mszp
0,2011-02,M04,mdf
0,2011-02,M04,momentum
7,2011-03,M04,mszp
0,2011-03,M04,mdf
0,2011-03,M04,momentum
0,2011-04,M04,mszp
0,2011-04,M04,mdf
0,2011-04,M04,momentum
0,2011-05,M04,mszp
0,2011-05,M04,mdf
0,2011-05,M04,momentum
14,2011-06,M04,mszp
0,2011-06,M04,mdf
0,2011-06,M04,momentum
7,2011-07,M04,mszp
0,2011-07,M04,mdf
0,2011-07,M04,momentum
7,2011-08,M04,mszp
0,2011-08,M04,mdf
0,2011-08,M04,momentum
14,2011-09,M04,mszp
0,2011-09,M04,mdf
7,2011-09,M04,momentum
13,2011-10,M04,mszp
0,2011-10,M04,mdf
0,2011-10,M04,momentum
25,2011-11,M04,mszp
0,2011-11,M04,mdf
0,2011-11,M04,momentum
11,2011-12,M04,mszp
0,2011-12,M04,mdf
0,2011-12,M04,momentum
11,2012-01,M04,mszp
0,2012-01,M04,mdf
0,2012-01,M04,momentum
12,2012-02,M04,mszp
0,2012-02,M04,mdf
0,2012-02,M04,momentum
0,2012-03,M04,mszp
0,2012-03,M04,mdf
0,2012-03,M04,momentum
7,2012-04,M04,mszp
0,2012-04,M04,mdf
7,2012-04,M04,momentum
14,2012-05,M04,mszp
0,2012-05,M04,mdf
0,2012-05,M04,momentum
15,2012-06,M04,mszp
0,2012-06,M04,mdf
0,2012-06,M04,momentum
0,2012-07,M04,mszp
0,2012-07,M04,mdf
0,2012-07,M04,momentum
14,2012-08,M04,mszp
0,2012-08,M04,mdf
0,2012-08,M04,momentum
8,2012-09,M04,mszp
0,2012-09,M04,mdf
0,2012-09,M04,momentum
7,2012-10,M04,mszp
0,2012-10,M04,mdf
0,2012-10,M04,momentum
7,2012-11,M04,mszp
0,2012-11,M04,mdf
7,2012-11,M04,momentum
18,2012-12,M04,mszp
0,2012-12,M04,mdf
0,2012-12,M04,momentum
11,2013-01,M04,mszp
0,2013-01,M04,mdf
0,2013-01,M04,momentum
13,2013-02,M04,mszp
0,2013-02,M04,mdf
13,2013-02,M04,momentum
5,2013-03,M04,mszp
0,2013-03,M04,mdf
0,2013-03,M04,momentum
24,2013-04,M04,mszp
0,2013-04,M04,mdf
0,2013-04,M04,momentum
18,2013-05,M04,mszp
0,2013-05,M04,mdf
0,2013-05,M04,momentum
18,2013-06,M04,mszp
0,2013-06,M04,mdf
0,2013-06,M04,momentum
18,2013-07,M04,mszp
0,2013-07,M04,mdf
0,2013-07,M04,momentum
12,2013-08,M04,mszp
0,2013-08,M04,mdf
6,2013-08,M04,momentum
0,2013-09,M04,mszp
0,2013-09,M04,mdf
0,2013-09,M04,momentum
6,2013-10,M04,mszp
0,2013-10,M04,mdf
0,2013-10,M04,momentum
23,2013-11,M04,mszp
0,2013-11,M04,mdf
0,2013-11,M04,momentum
0,2013-12,M04,mszp
0,2013-12,M04,mdf
0,2013-12,M04,momentum
35,2014-01,M04,mszp
0,2014-01,M04,mdf
0,2014-01,M04,momentum
44,2014-02,M04,mszp
0,2014-02,M04,mdf
0,2014-02,M04,momentum
39,2014-03,M04,mszp
0,2014-03,M04,mdf
0,2014-03,M04,momentum
28,2014-04,M04,mszp
0,2014-04,M04,mdf
0,2014-04,M04,momentum
11,2014-05,M04,mszp
0,2014-05,M04,mdf
0,2014-05,M04,momentum
6,2014-06,M04,mszp
0,2014-06,M04,mdf
0,2014-06,M04,momentum
0,2014-07,M04,mszp
0,2014-07,M04,mdf
6,2014-07,M04,momentum
31,2014-08,M04,mszp
0,2014-08,M04,mdf
0,2014-08,M04,momentum
6,2014-09,M04,mszp
0,2014-09,M04,mdf
0,2014-09,M04,momentum
12,2014-10,M04,mszp
0,2014-10,M04,mdf
0,2014-10,M04,momentum
6,2014-11,M04,mszp
0,2014-11,M04,mdf
0,2014-11,M04,momentum
0,2014-12,M04,mszp
0,2014-12,M04,mdf
0,2014-12,M04,momentum
10,2015-01,M04,mszp
0,2015-01,M04,mdf
0,2015-01,M04,momentum
0,2015-02,M04,mszp
0,2015-02,M04,mdf
6,2015-02,M04,momentum
23,2015-03,M04,mszp
0,2015-03,M04,mdf
6,2015-03,M04,momentum
0,2015-04,M04,mszp
0,2015-04,M04,mdf
0,2015-04,M04,momentum
0,2015-05,M04,mszp
0,2015-05,M04,mdf
0,2015-05,M04,momentum
12,2015-06,M04,mszp
0,2015-06,M04,mdf
0,2015-06,M04,momentum
11,2015-07,M04,mszp
0,2015-07,M04,mdf
0,2015-07,M04,momentum
0,2015-08,M04,mszp
0,2015-08,M04,mdf
0,2015-08,M04,momentum
0,2015-09,M04,mszp
0,2015-09,M04,mdf
0,2015-09,M04,momentum
0,2015-10,M04,mszp
0,2015-10,M04,mdf
6,2015-10,M04,momentum
11,2015-11,M04,mszp
0,2015-11,M04,mdf
0,2015-11,M04,momentum
5,2015-12,M04,mszp
0,2015-12,M04,mdf
0,2015-12,M04,momentum
0,2016-01,M04,mszp
0,2016-01,M04,mdf
0,2016-01,M04,momentum
0,2016-02,M04,mszp
0,2016-02,M04,mdf
0,2016-02,M04,momentum
0,2016-03,M04,mszp
0,2016-03,M04,mdf
0,2016-03,M04,momentum
5,2016-04,M04,mszp
0,2016-04,M04,mdf
0,2016-04,M04,momentum
5,2016-05,M04,mszp
0,2016-05,M04,mdf
0,2016-05,M04,momentum
10,2016-06,M04,mszp
0,2016-06,M04,mdf
0,2016-06,M04,momentum
5,2016-07,M04,mszp
0,2016-07,M04,mdf
0,2016-07,M04,momentum
0,2016-08,M04,mszp
0,2016-08,M04,mdf
0,2016-08,M04,momentum
12,2016-09,M04,mszp
0,2016-09,M04,mdf
0,2016-09,M04,momentum
0,2016-10,M04,mszp
0,2016-10,M04,mdf
0,2016-10,M04,momentum
0,2016-11,M04,mszp
0,2016-11,M04,mdf
0,2016-11,M04,momentum
10,2016-12,M04,mszp
0,2016-12,M04,mdf
0,2016-12,M04,momentum
5,2017-01,M04,mszp
0,2017-01,M04,mdf
9,2017-01,M04,momentum
5,2017-02,M04,mszp
0,2017-02,M04,mdf
10,2017-02,M04,momentum
5,2017-03,M04,mszp
0,2017-03,M04,mdf
23,2017-03,M04,momentum
10,2017-04,M04,mszp
0,2017-04,M04,mdf
0,2017-04,M04,momentum
5,2017-05,M04,mszp
0,2017-05,M04,mdf
25,2017-05,M04,momentum
11,2017-06,M04,mszp
0,2017-06,M04,mdf
0,2017-06,M04,momentum
5,2017-07,M04,mszp
0,2017-07,M04,mdf
5,2017-07,M04,momentum
5,2017-08,M04,mszp
0,2017-08,M04,mdf
0,2017-08,M04,momentum
16,2017-09,M04,mszp
0,2017-09,M04,mdf
5,2017-09,M04,momentum
5,2017-10,M04,mszp
0,2017-10,M04,mdf
14,2017-10,M04,momentum
5,2017-11,M04,mszp
0,2017-11,M04,mdf
0,2017-11,M04,momentum
0,2017-12,M04,mszp
0,2017-12,M04,mdf
0,2017-12,M04,momentum
0,2018-01,M04,mszp
0,2018-01,M04,mdf
4,2018-01,M04,momentum
22,2018-02,M04,mszp
0,2018-02,M04,mdf
9,2018-02,M04,momentum
20,2018-03,M04,mszp
0,2018-03,M04,mdf
24,2018-03,M04,momentum
