Category: All categories

Month,Hungarian Socialist Party: (Békés County),Hungarian Democratic Forum: (Békés County),Momentum Movement: (Békés County)
2009-04,0,0,0
2009-05,100,0,0
2009-06,54,0,0
2009-07,0,0,0
2009-08,0,0,0
2009-09,0,0,0
2009-10,28,0,0
2009-11,27,0,0
2009-12,27,0,0
2010-01,47,0,0
2010-02,25,0,0
2010-03,47,0,0
2010-04,75,0,0
2010-05,24,0,0
2010-06,0,0,0
2010-07,27,0,0
2010-08,0,0,0
2010-09,0,0,0
2010-10,23,0,0
2010-11,46,0,0
2010-12,0,0,0
2011-01,7,0,0
2011-02,14,0,0
2011-03,7,0,0
2011-04,0,0,0
2011-05,0,0,0
2011-06,14,0,0
2011-07,7,0,0
2011-08,7,0,0
2011-09,14,0,7
2011-10,13,0,0
2011-11,25,0,0
2011-12,11,0,0
2012-01,11,0,0
2012-02,12,0,0
2012-03,0,0,0
2012-04,7,0,7
2012-05,14,0,0
2012-06,15,0,0
2012-07,0,0,0
2012-08,14,0,0
2012-09,8,0,0
2012-10,7,0,0
2012-11,7,0,7
2012-12,18,0,0
2013-01,11,0,0
2013-02,13,0,13
2013-03,5,0,0
2013-04,24,0,0
2013-05,18,0,0
2013-06,18,0,0
2013-07,18,0,0
2013-08,12,0,6
2013-09,0,0,0
2013-10,6,0,0
2013-11,23,0,0
2013-12,0,0,0
2014-01,35,0,0
2014-02,44,0,0
2014-03,39,0,0
2014-04,28,0,0
2014-05,11,0,0
2014-06,6,0,0
2014-07,0,0,6
2014-08,31,0,0
2014-09,6,0,0
2014-10,12,0,0
2014-11,6,0,0
2014-12,0,0,0
2015-01,10,0,0
2015-02,0,0,6
2015-03,23,0,6
2015-04,0,0,0
2015-05,0,0,0
2015-06,12,0,0
2015-07,11,0,0
2015-08,0,0,0
2015-09,0,0,0
2015-10,0,0,6
2015-11,11,0,0
2015-12,5,0,0
2016-01,0,0,0
2016-02,0,0,0
2016-03,0,0,0
2016-04,5,0,0
2016-05,5,0,0
2016-06,10,0,0
2016-07,5,0,0
2016-08,0,0,0
2016-09,12,0,0
2016-10,0,0,0
2016-11,0,0,0
2016-12,10,0,0
2017-01,5,0,9
2017-02,5,0,10
2017-03,5,0,23
2017-04,10,0,0
2017-05,5,0,25
2017-06,11,0,0
2017-07,5,0,5
2017-08,5,0,0
2017-09,16,0,5
2017-10,5,0,14
2017-11,5,0,0
2017-12,0,0,0
2018-01,0,0,4
2018-02,22,0,9
2018-03,20,0,24
