Category: All categories

Month,Hungarian Socialist Party: (Heves County),Hungarian Democratic Forum: (Heves County),Momentum Movement: (Heves County)
2009-04,0,0,0
2009-05,38,0,0
2009-06,0,0,0
2009-07,0,0,0
2009-08,0,0,0
2009-09,0,0,0
2009-10,0,0,0
2009-11,0,0,0
2009-12,0,0,0
2010-01,62,0,0
2010-02,100,0,0
2010-03,60,0,0
2010-04,32,0,0
2010-05,32,0,0
2010-06,0,0,0
2010-07,0,0,0
2010-08,0,0,0
2010-09,0,0,0
2010-10,0,0,0
2010-11,28,0,0
2010-12,0,0,0
2011-01,0,0,0
2011-02,0,0,0
2011-03,6,0,0
2011-04,0,0,0
2011-05,27,0,0
2011-06,0,0,0
2011-07,6,0,0
2011-08,6,0,0
2011-09,17,0,6
2011-10,6,0,0
2011-11,17,0,0
2011-12,9,0,0
2012-01,9,0,0
2012-02,0,0,0
2012-03,10,0,0
2012-04,0,0,5
2012-05,5,0,5
2012-06,11,0,0
2012-07,21,0,0
2012-08,0,0,0
2012-09,6,0,0
2012-10,10,0,0
2012-11,5,0,0
2012-12,5,0,0
2013-01,13,0,0
2013-02,5,0,0
2013-03,27,0,3
2013-04,4,0,0
2013-05,7,0,0
2013-06,6,0,0
2013-07,3,0,0
2013-08,3,0,0
2013-09,6,0,0
2013-10,18,0,0
2013-11,5,0,0
2013-12,3,0,0
2014-01,21,0,2
2014-02,26,0,0
2014-03,12,0,0
2014-04,17,0,0
2014-05,7,0,0
2014-06,3,0,0
2014-07,3,0,3
2014-08,20,0,0
2014-09,9,0,0
2014-10,16,0,0
2014-11,10,0,0
2014-12,2,0,0
2015-01,0,0,2
2015-02,13,0,0
2015-03,3,0,0
2015-04,8,0,0
2015-05,3,0,0
2015-06,0,0,0
2015-07,12,0,4
2015-08,0,0,0
2015-09,4,0,0
2015-10,0,0,0
2015-11,3,0,0
2015-12,10,0,0
2016-01,3,0,6
2016-02,3,0,0
2016-03,0,0,0
2016-04,0,0,6
2016-05,3,0,0
2016-06,16,0,0
2016-07,0,0,0
2016-08,0,0,4
2016-09,7,0,0
2016-10,10,0,3
2016-11,3,0,0
2016-12,6,0,0
2017-01,0,0,6
2017-02,10,0,13
2017-03,0,0,18
2017-04,3,0,0
2017-05,3,0,13
2017-06,0,0,7
2017-07,0,0,0
2017-08,3,0,0
2017-09,10,0,0
2017-10,9,0,9
2017-11,11,0,3
2017-12,5,0,3
2018-01,0,0,3
2018-02,17,0,8
2018-03,8,0,18
