Category: All categories

Month,Hungarian Socialist Party: (Zala County),Hungarian Democratic Forum: (Zala County),Momentum Movement: (Zala County)
2009-04,100,0,0
2009-05,45,0,0
2009-06,0,0,0
2009-07,0,0,0
2009-08,0,0,0
2009-09,47,0,0
2009-10,21,0,0
2009-11,21,0,0
2009-12,21,0,0
2010-01,96,0,0
2010-02,63,0,0
2010-03,95,0,0
2010-04,80,0,0
2010-05,0,0,0
2010-06,0,0,0
2010-07,0,0,0
2010-08,20,0,0
2010-09,39,0,0
2010-10,17,0,0
2010-11,17,0,0
2010-12,0,0,0
2011-01,13,0,0
2011-02,7,0,0
2011-03,7,0,0
2011-04,0,0,0
2011-05,7,0,0
2011-06,7,0,0
2011-07,0,0,0
2011-08,0,0,0
2011-09,0,0,0
2011-10,12,0,0
2011-11,12,0,0
2011-12,6,0,0
2012-01,21,0,0
2012-02,0,0,0
2012-03,0,0,0
2012-04,12,0,0
2012-05,11,0,0
2012-06,0,0,6
2012-07,0,0,6
2012-08,6,0,0
2012-09,6,0,0
2012-10,5,0,0
2012-11,5,0,0
2012-12,5,0,0
2013-01,0,0,0
2013-02,10,0,0
2013-03,22,0,0
2013-04,5,0,0
2013-05,18,0,0
2013-06,14,0,0
2013-07,9,0,0
2013-08,16,0,0
2013-09,0,0,0
2013-10,17,0,0
2013-11,17,0,0
2013-12,12,0,0
2014-01,27,0,0
2014-02,21,0,0
2014-03,33,0,0
2014-04,26,0,0
2014-05,26,0,0
2014-06,14,0,0
2014-07,9,0,0
2014-08,0,0,0
2014-09,8,0,0
2014-10,26,0,0
2014-11,13,0,4
2014-12,8,0,0
2015-01,12,0,0
2015-02,4,0,4
2015-03,8,0,0
2015-04,0,0,4
2015-05,0,0,0
2015-06,0,0,0
2015-07,0,0,0
2015-08,5,0,5
2015-09,5,0,0
2015-10,5,0,0
2015-11,10,0,0
2015-12,0,0,5
2016-01,9,0,0
2016-02,5,0,0
2016-03,0,0,0
2016-04,5,0,5
2016-05,0,0,0
2016-06,21,0,0
2016-07,5,0,0
2016-08,11,0,0
2016-09,6,0,0
2016-10,6,0,11
2016-11,11,0,0
2016-12,5,0,5
2017-01,19,0,10
2017-02,0,0,42
2017-03,19,0,38
2017-04,5,0,30
2017-05,5,0,41
2017-06,17,0,34
2017-07,5,0,5
2017-08,5,0,14
2017-09,0,0,11
2017-10,5,0,5
2017-11,9,0,5
2017-12,14,0,0
2018-01,13,0,4
2018-02,24,0,14
2018-03,30,0,26
