Category: All categories

Month,Hungarian Socialist Party: (Békés County),Fidesz: (Békés County),Jobbik: (Békés County),Politics Can Be Different: (Békés County)
2009-03,18,12,30,0
2009-04,15,29,15,0
2009-05,13,13,39,7
2009-06,14,21,28,0
2009-07,0,0,22,0
2009-08,0,7,14,0
2009-09,0,14,20,0
2009-10,0,0,15,0
2009-11,7,21,21,0
2009-12,7,7,27,7
2010-01,6,18,37,0
2010-02,7,52,92,7
2010-03,18,31,37,24
2010-04,20,87,100,27
2010-05,0,19,6,13
2010-06,7,27,14,7
2010-07,0,7,28,7
2010-08,0,7,14,0
2010-09,0,33,40,7
2010-10,0,6,0,0
2010-11,18,18,12,6
2010-12,0,0,17,0
2011-01,2,7,7,3
2011-02,2,7,13,0
2011-03,2,14,7,2
2011-04,2,9,13,0
2011-05,0,9,13,0
2011-06,7,2,4,0
2011-07,2,0,5,0
2011-08,2,2,2,0
2011-09,0,2,13,2
2011-10,3,3,10,7
2011-11,3,5,10,0
2011-12,0,3,6,3
2012-01,3,12,11,3
2012-02,3,0,8,0
2012-03,0,3,13,5
2012-04,0,4,6,2
2012-05,0,11,2,0
2012-06,4,2,2,0
2012-07,0,2,6,0
2012-08,0,4,13,0
2012-09,2,8,8,0
2012-10,0,5,7,0
2012-11,2,2,9,2
2012-12,0,2,11,0
2013-01,3,3,6,0
2013-02,5,7,3,0
2013-03,9,6,4,4
2013-04,2,11,6,0
2013-05,6,11,5,0
2013-06,0,3,0,2
2013-07,6,2,2,0
2013-08,2,5,5,0
2013-09,2,8,6,0
2013-10,8,3,6,2
2013-11,4,13,3,0
2013-12,1,4,6,0
2014-01,4,6,13,0
2014-02,10,18,15,4
2014-03,12,13,14,0
2014-04,6,15,27,9
2014-05,6,6,7,0
2014-06,0,18,0,2
2014-07,3,13,0,2
2014-08,7,8,5,2
2014-09,0,18,3,2
2014-10,5,12,11,0
2014-11,8,8,2,0
2014-12,0,6,1,0
2015-01,0,1,1,0
2015-02,0,2,9,0
2015-03,3,6,4,0
2015-04,0,2,6,2
2015-05,0,3,2,0
2015-06,3,3,0,0
2015-07,1,4,4,1
2015-08,0,3,6,0
2015-09,0,9,2,2
2015-10,1,3,3,0
2015-11,4,9,1,0
2015-12,3,1,3,1
2016-01,1,0,1,1
2016-02,0,6,1,0
2016-03,2,9,2,0
2016-04,3,6,3,0
2016-05,1,3,3,1
2016-06,1,0,1,0
2016-07,3,1,0,0
2016-08,0,1,1,0
2016-09,2,5,2,2
2016-10,0,1,4,0
2016-11,0,3,4,0
2016-12,3,3,0,0
2017-01,4,2,1,0
2017-02,3,7,5,1
2017-03,0,2,1,0
2017-04,3,4,5,0
2017-05,4,4,1,0
2017-06,4,4,0,0
2017-07,0,4,1,0
2017-08,0,0,1,3
2017-09,5,7,1,1
2017-10,2,4,2,0
2017-11,1,4,1,1
2017-12,0,4,11,4
2018-01,1,9,6,1
2018-02,8,12,2,5
2018-03,8,23,23,6
