Category: All categories

Month,Jobbik: (Pest County),Fidesz: (Pest County),Politics Can Be Different: (Pest County),Hungarian Socialist Party: (Pest County)
2009-04,18,14,7,10
2009-05,24,11,7,7
2009-06,53,19,6,10
2009-07,21,11,0,4
2009-08,15,13,0,2
2009-09,17,12,0,4
2009-10,14,16,0,7
2009-11,22,14,4,3
2009-12,22,6,2,9
2010-01,33,20,3,10
2010-02,58,28,19,17
2010-03,100,42,24,15
2010-04,88,72,38,22
2010-05,17,35,8,4
2010-06,18,25,2,6
2010-07,7,15,5,8
2010-08,15,27,7,11
2010-09,16,25,5,4
2010-10,15,23,3,14
2010-11,5,8,2,5
2010-12,4,6,1,4
2011-01,9,14,1,1
2011-02,11,8,1,3
2011-03,9,5,3,5
2011-04,11,4,1,4
2011-05,5,6,1,6
2011-06,6,6,2,2
2011-07,8,3,1,3
2011-08,6,7,1,3
2011-09,15,12,1,3
2011-10,12,10,2,7
2011-11,6,6,1,2
2011-12,7,6,4,2
2012-01,8,15,3,4
2012-02,9,9,1,6
2012-03,7,11,7,3
2012-04,13,4,2,2
2012-05,6,4,2,2
2012-06,9,5,1,1
2012-07,5,4,1,2
2012-08,7,3,<1,1
2012-09,9,3,2,2
2012-10,7,7,2,2
2012-11,10,5,3,2
2012-12,6,5,1,3
2013-01,7,5,1,2
2013-02,6,4,2,6
2013-03,8,12,1,9
2013-04,6,6,1,2
2013-05,7,5,0,4
2013-06,6,5,1,2
2013-07,6,9,1,2
2013-08,7,6,1,4
2013-09,5,6,2,2
2013-10,6,6,1,6
2013-11,4,5,1,4
2013-12,5,8,1,2
2014-01,7,11,2,8
2014-02,15,15,2,10
2014-03,24,16,4,7
2014-04,23,25,10,9
2014-05,11,10,3,5
2014-06,5,8,<1,3
2014-07,3,4,1,4
2014-08,4,7,<1,3
2014-09,6,11,2,3
2014-10,7,15,2,4
2014-11,4,6,1,2
2014-12,3,5,1,1
2015-01,4,5,<1,1
2015-02,3,7,<1,2
2015-03,3,4,1,1
2015-04,5,4,0,1
2015-05,4,3,<1,<1
2015-06,1,4,0,<1
2015-07,3,5,1,1
2015-08,3,4,1,2
2015-09,4,4,1,2
2015-10,4,5,1,1
2015-11,3,6,<1,3
2015-12,1,9,<1,1
2016-01,4,4,1,<1
2016-02,2,6,1,2
2016-03,2,4,1,1
2016-04,6,3,1,2
2016-05,3,4,1,1
2016-06,2,1,0,3
2016-07,3,3,<1,3
2016-08,2,3,0,1
2016-09,1,5,2,2
2016-10,3,5,<1,3
2016-11,3,5,1,1
2016-12,3,3,1,2
2017-01,4,5,1,2
2017-02,3,5,1,2
2017-03,2,7,<1,1
2017-04,4,8,1,2
2017-05,3,5,1,1
2017-06,2,4,<1,1
2017-07,1,1,1,2
2017-08,2,3,<1,1
2017-09,3,2,1,3
2017-10,3,5,1,2
2017-11,2,7,1,3
2017-12,7,7,1,4
2018-01,4,6,2,4
2018-02,7,9,6,5
2018-03,21,19,9,7
