Category: All categories

Month,Jobbik: (Somogy County),Fidesz: (Somogy County),Politics Can Be Different: (Somogy County),Hungarian Socialist Party: (Somogy County)
2009-04,0,28,0,14
2009-05,51,13,0,13
2009-06,78,13,26,0
2009-07,14,0,0,0
2009-08,0,0,0,0
2009-09,13,0,0,13
2009-10,12,0,0,12
2009-11,12,23,0,0
2009-12,0,0,0,12
2010-01,53,0,0,21
2010-02,32,43,32,0
2010-03,100,60,30,30
2010-04,65,43,75,43
2010-05,32,0,0,0
2010-06,22,44,0,0
2010-07,22,11,0,22
2010-08,36,0,9,0
2010-09,26,0,0,0
2010-10,18,9,9,0
2010-11,25,8,0,8
2010-12,8,8,0,8
2011-01,4,15,0,4
2011-02,11,8,0,0
2011-03,7,3,0,0
2011-04,8,4,0,0
2011-05,11,4,0,4
2011-06,0,0,0,4
2011-07,6,6,0,3
2011-08,9,0,0,0
2011-09,20,20,3,3
2011-10,3,10,3,7
2011-11,13,10,10,3
2011-12,0,3,0,0
2012-01,24,21,0,3
2012-02,16,3,0,6
2012-03,22,6,3,0
2012-04,9,6,3,3
2012-05,12,9,0,6
2012-06,7,7,0,3
2012-07,9,9,0,0
2012-08,3,5,0,3
2012-09,6,0,0,0
2012-10,9,6,0,3
2012-11,3,3,6,3
2012-12,11,0,0,3
2013-01,2,7,0,5
2013-02,5,8,0,0
2013-03,5,7,0,14
2013-04,5,7,0,5
2013-05,7,0,0,0
2013-06,2,5,0,2
2013-07,2,10,0,5
2013-08,7,2,2,5
2013-09,3,5,0,15
2013-10,7,12,0,2
2013-11,2,7,2,7
2013-12,9,13,0,2
2014-01,4,18,0,2
2014-02,9,9,0,4
2014-03,23,11,0,11
2014-04,21,28,11,13
2014-05,10,6,0,0
2014-06,0,18,0,0
2014-07,6,2,4,2
2014-08,4,9,0,7
2014-09,6,6,0,6
2014-10,13,17,2,8
2014-11,2,13,2,4
2014-12,5,10,2,3
2015-01,3,5,0,2
2015-02,7,18,2,4
2015-03,2,7,0,0
2015-04,7,6,0,0
2015-05,5,12,2,2
2015-06,4,4,0,0
2015-07,3,5,2,0
2015-08,2,3,0,0
2015-09,4,0,2,6
2015-10,3,5,0,3
2015-11,0,8,0,5
2015-12,3,10,0,0
2016-01,0,1,0,0
2016-02,2,10,2,2
2016-03,3,1,3,0
2016-04,6,3,2,2
2016-05,0,6,1,1
2016-06,6,4,1,6
2016-07,0,3,4,1
2016-08,0,1,0,0
2016-09,0,10,0,0
2016-10,3,7,0,5
2016-11,3,3,0,2
2016-12,5,3,2,2
2017-01,4,6,0,3
2017-02,8,3,0,3
2017-03,1,4,0,0
2017-04,1,4,1,1
2017-05,0,2,0,3
2017-06,0,0,3,3
2017-07,1,1,2,0
2017-08,1,3,0,2
2017-09,3,8,2,2
2017-10,2,5,2,2
2017-11,6,7,4,3
2017-12,5,5,0,3
2018-01,4,6,1,0
2018-02,4,11,1,6
2018-03,34,15,9,4
