Category: All categories

Month,Jobbik: (Tolna County),Fidesz: (Tolna County),Politics Can Be Different: (Tolna County),Hungarian Socialist Party: (Tolna County)
2009-04,0,0,0,0
2009-05,22,15,7,0
2009-06,68,8,8,8
2009-07,0,22,0,0
2009-08,0,14,0,0
2009-09,22,7,0,0
2009-10,39,26,6,0
2009-11,33,7,0,0
2009-12,12,12,0,6
2010-01,29,17,6,11
2010-02,45,13,6,6
2010-03,67,43,24,6
2010-04,100,25,37,25
2010-05,12,12,0,6
2010-06,13,25,0,6
2010-07,0,12,0,0
2010-08,12,12,0,0
2010-09,19,13,6,13
2010-10,6,22,0,6
2010-11,5,5,5,0
2010-12,5,0,5,5
2011-01,2,5,2,5
2011-02,3,13,0,3
2011-03,3,10,0,3
2011-04,5,8,3,5
2011-05,3,3,0,0
2011-06,3,8,0,0
2011-07,12,0,0,0
2011-08,2,5,2,0
2011-09,10,8,3,0
2011-10,7,0,2,0
2011-11,0,14,0,7
2011-12,7,11,0,2
2012-01,7,22,2,2
2012-02,2,2,0,2
2012-03,5,10,2,2
2012-04,7,2,2,0
2012-05,5,2,0,0
2012-06,10,5,3,0
2012-07,12,5,0,0
2012-08,2,2,0,0
2012-09,5,0,3,0
2012-10,10,5,0,2
2012-11,0,0,5,13
2012-12,0,2,0,2
2013-01,4,2,0,0
2013-02,7,10,0,2
2013-03,11,11,0,2
2013-04,2,2,0,0
2013-05,2,5,0,0
2013-06,2,12,5,0
2013-07,5,2,2,0
2013-08,7,2,0,2
2013-09,0,2,0,0
2013-10,6,2,0,2
2013-11,4,10,0,0
2013-12,6,10,0,2
2014-01,14,5,4,5
2014-02,14,12,2,12
2014-03,19,17,2,2
2014-04,29,21,11,8
2014-05,8,4,2,4
2014-06,2,9,0,4
2014-07,2,2,0,2
2014-08,2,7,0,2
2014-09,7,7,0,0
2014-10,11,17,0,0
2014-11,2,6,0,0
2014-12,2,4,0,2
2015-01,2,4,0,0
2015-02,4,0,0,4
2015-03,4,4,0,0
2015-04,12,0,0,2
2015-05,0,2,0,0
2015-06,0,8,0,0
2015-07,2,0,2,2
2015-08,3,2,0,2
2015-09,4,7,0,2
2015-10,2,3,0,2
2015-11,2,7,0,2
2015-12,0,6,0,2
2016-01,3,1,0,1
2016-02,0,1,0,1
2016-03,0,1,0,3
2016-04,0,2,0,0
2016-05,2,0,0,3
2016-06,2,2,0,3
2016-07,2,4,0,0
2016-08,4,2,0,0
2016-09,2,2,0,0
2016-10,4,5,0,0
2016-11,0,0,0,0
2016-12,2,2,2,0
2017-01,0,1,0,0
2017-02,2,8,0,2
2017-03,1,4,1,0
2017-04,0,5,0,5
2017-05,6,6,0,0
2017-06,2,5,0,2
2017-07,0,2,0,0
2017-08,2,3,0,0
2017-09,2,3,0,0
2017-10,2,6,5,2
2017-11,1,7,0,0
2017-12,4,3,0,0
2018-01,0,9,0,1
2018-02,0,4,4,7
2018-03,22,9,11,8
