Category: All categories

Month,Election: (Bács-Kiskun),Fidesz: (Bács-Kiskun)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,28,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,12
2005-02,0,0
2005-03,0,0
2005-04,12,0
2005-05,0,0
2005-06,0,12
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,9,9
2005-12,0,0
2006-01,7,0
2006-02,15,7
2006-03,19,26
2006-04,100,33
2006-05,6,0
2006-06,7,7
2006-07,0,0
2006-08,31,19
2006-09,12,18
2006-10,70,16
2006-11,0,0
2006-12,5,0
2007-01,4,4
2007-02,0,8
2007-03,4,7
2007-04,4,7
2007-05,3,0
2007-06,0,3
2007-07,3,0
2007-08,3,3
2007-09,6,0
2007-10,0,8
2007-11,3,0
2007-12,0,0
2008-01,2,5
2008-02,4,4
2008-03,4,4
2008-04,4,0
2008-05,0,4
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,3,3
2008-11,3,0
2008-12,0,6
2009-01,0,5
2009-02,0,3
2009-03,5,0
2009-04,8,5
2009-05,0,5
2009-06,28,10
2009-07,0,3
2009-08,0,0
2009-09,0,0
2009-10,7,5
2009-11,0,11
2009-12,0,2
2010-01,2,7
2010-02,11,16
2010-03,10,12
2010-04,78,19
2010-05,5,3
2010-06,0,11
2010-07,4,13
2010-08,6,4
2010-09,10,7
2010-10,50,3
2010-11,2,3
2010-12,2,2
2011-01,1,3
2011-02,1,3
2011-03,1,3
2011-04,2,2
2011-05,3,2
2011-06,1,1
2011-07,2,1
2011-08,1,4
2011-09,2,2
2011-10,2,3
2011-11,2,4
2011-12,2,2
2012-01,2,5
2012-02,1,3
2012-03,3,3
2012-04,2,3
2012-05,3,1
2012-06,4,1
2012-07,1,1
2012-08,1,2
2012-09,2,3
2012-10,2,3
2012-11,5,<1
2012-12,2,2
2013-01,0,1
2013-02,1,1
2013-03,3,4
2013-04,2,2
2013-05,1,5
2013-06,2,2
2013-07,<1,2
2013-08,<1,2
2013-09,5,2
2013-10,3,2
2013-11,1,1
2013-12,1,4
2014-01,7,4
2014-02,7,4
2014-03,16,4
2014-04,74,13
2014-05,12,4
2014-06,2,6
2014-07,2,2
2014-08,5,3
2014-09,9,1
2014-10,82,4
2014-11,5,4
2014-12,1,5
2015-01,3,3
2015-02,4,2
2015-03,1,3
2015-04,5,2
2015-05,1,1
2015-06,1,2
2015-07,3,1
2015-08,2,2
2015-09,1,3
2015-10,2,1
2015-11,3,3
2015-12,1,3
2016-01,1,1
2016-02,2,2
2016-03,2,3
2016-04,1,1
2016-05,3,1
2016-06,3,1
2016-07,1,1
2016-08,3,2
2016-09,7,1
2016-10,9,3
2016-11,4,1
2016-12,2,2
2017-01,3,1
2017-02,1,2
2017-03,3,1
2017-04,2,4
2017-05,2,1
2017-06,2,1
2017-07,2,1
2017-08,2,3
2017-09,3,1
2017-10,3,3
2017-11,1,3
2017-12,2,2
2018-01,4,3
2018-02,11,3
2018-03,12,4
