Category: All categories

Month,Election: (Csongrád),Fidesz: (Csongrád)
2004-01,0,0
2004-02,0,21
2004-03,13,0
2004-04,11,11
2004-05,20,0
2004-06,30,0
2004-07,11,0
2004-08,0,11
2004-09,0,8
2004-10,8,0
2004-11,8,0
2004-12,14,14
2005-01,11,0
2005-02,0,0
2005-03,0,5
2005-04,11,11
2005-05,5,0
2005-06,5,0
2005-07,0,0
2005-08,0,12
2005-09,0,0
2005-10,9,0
2005-11,0,8
2005-12,11,0
2006-01,6,6
2006-02,6,16
2006-03,17,20
2006-04,100,36
2006-05,16,8
2006-06,3,3
2006-07,0,0
2006-08,3,3
2006-09,22,5
2006-10,58,26
2006-11,6,12
2006-12,0,0
2007-01,3,2
2007-02,2,10
2007-03,6,4
2007-04,2,3
2007-05,0,6
2007-06,6,2
2007-07,0,3
2007-08,0,4
2007-09,1,1
2007-10,1,4
2007-11,1,0
2007-12,5,2
2008-01,3,1
2008-02,3,6
2008-03,8,10
2008-04,2,3
2008-05,6,0
2008-06,1,3
2008-07,0,2
2008-08,2,0
2008-09,0,3
2008-10,3,1
2008-11,3,4
2008-12,3,0
2009-01,2,2
2009-02,4,5
2009-03,2,6
2009-04,2,3
2009-05,11,5
2009-06,17,5
2009-07,1,1
2009-08,1,3
2009-09,3,2
2009-10,4,5
2009-11,3,3
2009-12,2,4
2010-01,2,3
2010-02,6,9
2010-03,15,13
2010-04,78,23
2010-05,5,5
2010-06,3,8
2010-07,2,2
2010-08,6,6
2010-09,7,7
2010-10,54,7
2010-11,3,5
2010-12,5,5
2011-01,4,3
2011-02,2,4
2011-03,2,2
2011-04,2,4
2011-05,1,3
2011-06,1,1
2011-07,2,1
2011-08,1,1
2011-09,2,2
2011-10,2,2
2011-11,3,2
2011-12,3,2
2012-01,2,3
2012-02,1,2
2012-03,3,2
2012-04,2,2
2012-05,3,1
2012-06,5,2
2012-07,3,2
2012-08,1,3
2012-09,1,2
2012-10,3,1
2012-11,2,1
2012-12,1,2
2013-01,1,2
2013-02,2,1
2013-03,3,3
2013-04,2,4
2013-05,2,2
2013-06,2,1
2013-07,1,1
2013-08,1,1
2013-09,3,3
2013-10,3,2
2013-11,2,2
2013-12,6,1
2014-01,4,3
2014-02,7,4
2014-03,15,4
2014-04,64,9
2014-05,9,3
2014-06,2,1
2014-07,2,1
2014-08,3,2
2014-09,8,3
2014-10,60,5
2014-11,5,2
2014-12,2,3
2015-01,3,1
2015-02,5,1
2015-03,2,1
2015-04,3,2
2015-05,3,1
2015-06,1,1
2015-07,1,1
2015-08,1,2
2015-09,1,2
2015-10,1,1
2015-11,<1,2
2015-12,2,2
2016-01,1,1
2016-02,3,<1
2016-03,3,2
2016-04,3,1
2016-05,4,1
2016-06,3,<1
2016-07,2,2
2016-08,2,3
2016-09,4,1
2016-10,10,2
2016-11,12,2
2016-12,3,2
2017-01,2,2
2017-02,2,2
2017-03,1,1
2017-04,3,2
2017-05,3,2
2017-06,3,1
2017-07,2,1
2017-08,3,1
2017-09,5,1
2017-10,2,2
2017-11,2,2
2017-12,2,2
2018-01,4,2
2018-02,20,3
2018-03,18,5
