Category: All categories

Month,Election: (Gyor-Moson-Sopron),Fidesz: (Gyor-Moson-Sopron)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,26,0
2004-09,0,0
2004-10,0,0
2004-11,26,0
2004-12,12,0
2005-01,0,0
2005-02,0,0
2005-03,9,0
2005-04,10,10
2005-05,0,0
2005-06,10,10
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,9,0
2005-11,0,8
2005-12,0,7
2006-01,0,0
2006-02,0,12
2006-03,6,23
2006-04,100,50
2006-05,14,7
2006-06,0,8
2006-07,0,0
2006-08,4,4
2006-09,13,26
2006-10,61,11
2006-11,0,7
2006-12,3,3
2007-01,3,0
2007-02,0,3
2007-03,0,11
2007-04,0,3
2007-05,3,3
2007-06,0,0
2007-07,6,3
2007-08,3,0
2007-09,5,3
2007-10,5,5
2007-11,2,0
2007-12,3,0
2008-01,2,9
2008-02,7,2
2008-03,8,11
2008-04,3,0
2008-05,9,3
2008-06,3,0
2008-07,0,3
2008-08,0,0
2008-09,5,5
2008-10,5,5
2008-11,3,3
2008-12,0,5
2009-01,0,4
2009-02,0,5
2009-03,2,10
2009-04,5,2
2009-05,4,7
2009-06,15,7
2009-07,0,2
2009-08,2,0
2009-09,2,2
2009-10,2,14
2009-11,4,4
2009-12,2,6
2010-01,4,14
2010-02,9,15
2010-03,12,19
2010-04,61,18
2010-05,4,9
2010-06,6,12
2010-07,2,4
2010-08,2,4
2010-09,21,9
2010-10,66,5
2010-11,0,5
2010-12,3,7
2011-01,3,3
2011-02,1,3
2011-03,3,3
2011-04,2,2
2011-05,3,1
2011-06,<1,6
2011-07,0,3
2011-08,0,5
2011-09,2,3
2011-10,1,3
2011-11,1,3
2011-12,5,4
2012-01,4,5
2012-02,3,1
2012-03,3,2
2012-04,2,2
2012-05,2,1
2012-06,1,<1
2012-07,<1,2
2012-08,2,1
2012-09,2,2
2012-10,5,5
2012-11,6,3
2012-12,2,1
2013-01,0,2
2013-02,2,3
2013-03,3,3
2013-04,2,3
2013-05,1,1
2013-06,2,0
2013-07,2,2
2013-08,<1,1
2013-09,2,3
2013-10,1,1
2013-11,2,5
2013-12,1,2
2014-01,6,3
2014-02,11,7
2014-03,18,5
2014-04,84,7
2014-05,13,3
2014-06,4,3
2014-07,2,2
2014-08,3,3
2014-09,9,1
2014-10,60,3
2014-11,6,3
2014-12,2,3
2015-01,2,1
2015-02,5,4
2015-03,2,1
2015-04,7,1
2015-05,2,3
2015-06,2,3
2015-07,1,2
2015-08,1,2
2015-09,1,2
2015-10,2,1
2015-11,2,2
2015-12,2,<1
2016-01,1,2
2016-02,4,2
2016-03,6,2
2016-04,3,3
2016-05,4,2
2016-06,2,1
2016-07,2,1
2016-08,2,2
2016-09,7,2
2016-10,10,2
2016-11,10,1
2016-12,2,1
2017-01,2,2
2017-02,2,3
2017-03,2,1
2017-04,3,3
2017-05,3,1
2017-06,2,1
2017-07,1,1
2017-08,3,1
2017-09,3,1
2017-10,3,2
2017-11,3,3
2017-12,2,1
2018-01,5,2
2018-02,11,5
2018-03,22,7
