Category: All categories

Month,Election: (Heves County),Fidesz: (Heves County)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,18,0
2005-01,0,30
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,18,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,11,22
2006-03,9,19
2006-04,100,10
2006-05,10,0
2006-06,0,12
2006-07,0,0
2006-08,0,10
2006-09,0,0
2006-10,43,9
2006-11,0,0
2006-12,15,0
2007-01,0,0
2007-02,0,6
2007-03,5,5
2007-04,0,0
2007-05,0,0
2007-06,6,11
2007-07,0,0
2007-08,0,0
2007-09,0,6
2007-10,0,0
2007-11,0,4
2007-12,0,0
2008-01,0,8
2008-02,4,0
2008-03,4,0
2008-04,0,4
2008-05,5,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,4,0
2008-10,0,0
2008-11,8,0
2008-12,4,0
2009-01,7,3
2009-02,0,0
2009-03,0,6
2009-04,0,0
2009-05,3,0
2009-06,32,4
2009-07,4,4
2009-08,0,4
2009-09,0,0
2009-10,0,7
2009-11,3,9
2009-12,0,3
2010-01,0,3
2010-02,3,3
2010-03,6,11
2010-04,41,18
2010-05,0,3
2010-06,0,16
2010-07,3,3
2010-08,10,6
2010-09,15,0
2010-10,46,8
2010-11,5,8
2010-12,0,0
2011-01,0,2
2011-02,1,4
2011-03,0,2
2011-04,2,1
2011-05,1,1
2011-06,1,0
2011-07,1,0
2011-08,1,0
2011-09,0,2
2011-10,2,0
2011-11,2,2
2011-12,2,1
2012-01,1,1
2012-02,1,5
2012-03,1,2
2012-04,<1,2
2012-05,3,2
2012-06,0,3
2012-07,<1,0
2012-08,1,1
2012-09,2,2
2012-10,<1,2
2012-11,2,1
2012-12,1,1
2013-01,<1,2
2013-02,1,1
2013-03,2,2
2013-04,1,2
2013-05,<1,2
2013-06,1,1
2013-07,<1,<1
2013-08,1,1
2013-09,2,2
2013-10,2,2
2013-11,1,3
2013-12,1,2
2014-01,3,3
2014-02,6,4
2014-03,10,2
2014-04,52,6
2014-05,9,2
2014-06,3,2
2014-07,1,<1
2014-08,4,1
2014-09,12,3
2014-10,59,2
2014-11,7,2
2014-12,1,2
2015-01,1,2
2015-02,4,2
2015-03,1,4
2015-04,3,2
2015-05,1,2
2015-06,1,2
2015-07,<1,1
2015-08,1,1
2015-09,1,0
2015-10,1,1
2015-11,<1,3
2015-12,1,0
2016-01,2,1
2016-02,2,2
2016-03,1,1
2016-04,1,1
2016-05,1,<1
2016-06,3,1
2016-07,2,1
2016-08,2,1
2016-09,4,1
2016-10,7,2
2016-11,5,<1
2016-12,2,1
2017-01,2,<1
2017-02,1,0
2017-03,2,1
2017-04,3,2
2017-05,1,1
2017-06,2,<1
2017-07,1,1
2017-08,1,1
2017-09,2,1
2017-10,1,1
2017-11,1,1
2017-12,1,1
2018-01,2,1
2018-02,7,2
2018-03,8,6
