Category: All categories

Month,Election: (Veszprém),Fidesz: (Veszprém)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,40,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,16,0
2004-11,16,0
2004-12,0,0
2005-01,12,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,9
2005-06,10,0
2005-07,11,0
2005-08,0,0
2005-09,0,0
2005-10,0,8
2005-11,0,8
2005-12,9,9
2006-01,13,0
2006-02,6,6
2006-03,26,5
2006-04,83,17
2006-05,4,8
2006-06,8,4
2006-07,0,0
2006-08,0,7
2006-09,17,10
2006-10,100,12
2006-11,0,3
2006-12,0,7
2007-01,0,6
2007-02,0,3
2007-03,0,6
2007-04,6,3
2007-05,3,3
2007-06,0,0
2007-07,0,6
2007-08,0,0
2007-09,2,2
2007-10,2,8
2007-11,4,4
2007-12,2,2
2008-01,9,5
2008-02,4,4
2008-03,7,11
2008-04,4,4
2008-05,4,4
2008-06,7,0
2008-07,0,4
2008-08,0,2
2008-09,2,5
2008-10,5,6
2008-11,3,0
2008-12,3,2
2009-01,1,3
2009-02,1,7
2009-03,1,6
2009-04,3,6
2009-05,5,5
2009-06,23,7
2009-07,0,1
2009-08,0,3
2009-09,0,3
2009-10,0,7
2009-11,1,7
2009-12,1,7
2010-01,4,6
2010-02,5,13
2010-03,7,12
2010-04,45,15
2010-05,4,13
2010-06,1,5
2010-07,1,13
2010-08,9,7
2010-09,16,11
2010-10,52,5
2010-11,2,1
2010-12,3,6
2011-01,2,5
2011-02,2,3
2011-03,4,5
2011-04,1,2
2011-05,2,5
2011-06,1,3
2011-07,2,2
2011-08,<1,1
2011-09,1,3
2011-10,<1,2
2011-11,<1,2
2011-12,1,1
2012-01,3,4
2012-02,<1,2
2012-03,1,<1
2012-04,1,4
2012-05,2,2
2012-06,3,3
2012-07,3,1
2012-08,2,2
2012-09,1,3
2012-10,1,1
2012-11,3,1
2012-12,1,2
2013-01,2,1
2013-02,2,2
2013-03,<1,2
2013-04,2,3
2013-05,1,1
2013-06,1,2
2013-07,1,1
2013-08,1,1
2013-09,4,2
2013-10,3,4
2013-11,2,2
2013-12,2,2
2014-01,4,2
2014-02,7,4
2014-03,15,4
2014-04,67,6
2014-05,14,3
2014-06,1,2
2014-07,3,3
2014-08,5,3
2014-09,13,5
2014-10,71,3
2014-11,4,2
2014-12,2,4
2015-01,4,1
2015-02,10,2
2015-03,5,1
2015-04,11,1
2015-05,3,3
2015-06,3,2
2015-07,1,2
2015-08,1,1
2015-09,2,2
2015-10,2,1
2015-11,1,1
2015-12,<1,1
2016-01,1,2
2016-02,4,1
2016-03,1,2
2016-04,2,2
2016-05,1,1
2016-06,3,<1
2016-07,2,1
2016-08,2,1
2016-09,3,2
2016-10,12,1
2016-11,9,2
2016-12,3,1
2017-01,2,1
2017-02,2,1
2017-03,2,1
2017-04,2,1
2017-05,2,2
2017-06,3,2
2017-07,2,1
2017-08,2,2
2017-09,3,2
2017-10,8,2
2017-11,3,1
2017-12,3,2
2018-01,5,2
2018-02,11,4
2018-03,11,3
