Category: All categories

Month,Election: (Zala County),Fidesz: (Zala County)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,45,0
2004-06,0,0
2004-07,34,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,22,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,13,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,6,0
2006-02,0,0
2006-03,26,16
2006-04,100,35
2006-05,6,0
2006-06,0,0
2006-07,0,0
2006-08,15,5
2006-09,26,10
2006-10,52,14
2006-11,0,0
2006-12,4,0
2007-01,0,0
2007-02,4,0
2007-03,6,6
2007-04,0,3
2007-05,6,0
2007-06,3,3
2007-07,3,3
2007-08,0,0
2007-09,5,0
2007-10,0,4
2007-11,2,0
2007-12,0,0
2008-01,2,2
2008-02,0,2
2008-03,8,4
2008-04,0,2
2008-05,0,2
2008-06,0,2
2008-07,0,0
2008-08,2,2
2008-09,2,0
2008-10,0,0
2008-11,2,0
2008-12,2,0
2009-01,0,1
2009-02,3,0
2009-03,1,1
2009-04,3,5
2009-05,0,4
2009-06,13,4
2009-07,0,0
2009-08,0,0
2009-09,0,2
2009-10,0,0
2009-11,1,1
2009-12,1,0
2010-01,2,2
2010-02,3,5
2010-03,4,7
2010-04,34,24
2010-05,8,6
2010-06,4,1
2010-07,4,1
2010-08,17,1
2010-09,18,1
2010-10,57,8
2010-11,5,3
2010-12,3,3
2011-01,1,1
2011-02,1,1
2011-03,2,3
2011-04,1,3
2011-05,1,2
2011-06,<1,1
2011-07,1,<1
2011-08,0,1
2011-09,0,4
2011-10,1,<1
2011-11,2,4
2011-12,1,3
2012-01,2,4
2012-02,1,1
2012-03,1,1
2012-04,1,2
2012-05,3,1
2012-06,3,1
2012-07,1,2
2012-08,1,1
2012-09,2,2
2012-10,2,3
2012-11,2,1
2012-12,2,1
2013-01,1,1
2013-02,1,1
2013-03,2,1
2013-04,1,2
2013-05,1,1
2013-06,1,1
2013-07,1,0
2013-08,1,1
2013-09,1,1
2013-10,3,3
2013-11,2,1
2013-12,1,2
2014-01,3,2
2014-02,7,4
2014-03,8,5
2014-04,57,4
2014-05,10,1
2014-06,3,2
2014-07,1,2
2014-08,4,1
2014-09,15,2
2014-10,59,3
2014-11,3,1
2014-12,1,1
2015-01,2,1
2015-02,2,4
2015-03,2,2
2015-04,4,0
2015-05,3,0
2015-06,1,1
2015-07,1,1
2015-08,2,1
2015-09,2,0
2015-10,1,<1
2015-11,1,1
2015-12,1,1
2016-01,0,<1
2016-02,2,1
2016-03,2,1
2016-04,2,1
2016-05,3,1
2016-06,2,<1
2016-07,1,<1
2016-08,1,1
2016-09,4,1
2016-10,6,0
2016-11,3,1
2016-12,2,0
2017-01,1,<1
2017-02,1,<1
2017-03,2,<1
2017-04,3,1
2017-05,2,1
2017-06,2,1
2017-07,1,<1
2017-08,2,1
2017-09,2,<1
2017-10,3,1
2017-11,1,1
2017-12,2,1
2018-01,3,2
2018-02,5,2
2018-03,13,4
