Category: All categories

Month,Election: (Nógrád County),Fidesz: (Nógrád County)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,48,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,41,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,18
2006-02,0,17
2006-03,0,0
2006-04,0,16
2006-05,0,0
2006-06,16,0
2006-07,0,0
2006-08,0,14
2006-09,14,14
2006-10,46,0
2006-11,0,0
2006-12,0,9
2007-01,8,16
2007-02,0,8
2007-03,0,0
2007-04,8,0
2007-05,7,7
2007-06,0,0
2007-07,8,0
2007-08,0,0
2007-09,0,0
2007-10,0,6
2007-11,0,0
2007-12,0,0
2008-01,6,6
2008-02,0,0
2008-03,6,0
2008-04,0,6
2008-05,0,0
2008-06,6,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,6,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,12,0
2009-05,16,5
2009-06,32,0
2009-07,0,0
2009-08,0,5
2009-09,0,0
2009-10,0,5
2009-11,0,5
2009-12,5,0
2010-01,9,0
2010-02,0,0
2010-03,9,9
2010-04,19,0
2010-05,0,0
2010-06,0,14
2010-07,5,0
2010-08,0,0
2010-09,23,9
2010-10,95,9
2010-11,4,0
2010-12,4,0
2011-01,5,0
2011-02,1,2
2011-03,0,1
2011-04,1,0
2011-05,0,2
2011-06,3,1
2011-07,4,1
2011-08,2,1
2011-09,0,2
2011-10,2,0
2011-11,1,0
2011-12,2,2
2012-01,0,3
2012-02,0,0
2012-03,2,0
2012-04,4,0
2012-05,2,2
2012-06,0,2
2012-07,0,0
2012-08,0,0
2012-09,2,0
2012-10,4,1
2012-11,1,2
2012-12,0,1
2013-01,2,0
2013-02,0,2
2013-03,2,5
2013-04,1,2
2013-05,1,3
2013-06,1,1
2013-07,0,2
2013-08,3,3
2013-09,2,3
2013-10,0,4
2013-11,3,2
2013-12,1,4
2014-01,0,4
2014-02,12,3
2014-03,12,9
2014-04,75,3
2014-05,12,6
2014-06,3,3
2014-07,2,3
2014-08,3,1
2014-09,13,4
2014-10,100,13
2014-11,8,6
2014-12,1,4
2015-01,3,2
2015-02,0,5
2015-03,3,4
2015-04,5,1
2015-05,0,1
2015-06,2,3
2015-07,1,3
2015-08,1,4
2015-09,2,3
2015-10,1,1
2015-11,0,4
2015-12,2,4
2016-01,2,1
2016-02,18,3
2016-03,4,3
2016-04,2,2
2016-05,1,1
2016-06,1,2
2016-07,0,2
2016-08,3,1
2016-09,1,5
2016-10,5,4
2016-11,4,3
2016-12,1,2
2017-01,3,1
2017-02,2,3
2017-03,2,2
2017-04,4,1
2017-05,1,3
2017-06,1,5
2017-07,0,2
2017-08,2,2
2017-09,1,2
2017-10,3,4
2017-11,<1,2
2017-12,1,2
2018-01,2,4
2018-02,4,3
2018-03,12,2
