Category: All categories

Month,Election: (Tolna County),Fidesz: (Tolna County)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,100,0
2004-07,0,0
2004-08,0,45
2004-09,0,0
2004-10,0,60
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,16
2005-06,0,0
2005-07,0,16
2005-08,0,0
2005-09,0,15
2005-10,0,13
2005-11,0,0
2005-12,10,10
2006-01,9,0
2006-02,0,19
2006-03,25,25
2006-04,91,45
2006-05,0,0
2006-06,0,0
2006-07,7,0
2006-08,0,7
2006-09,14,7
2006-10,50,19
2006-11,0,0
2006-12,0,5
2007-01,0,0
2007-02,5,0
2007-03,4,8
2007-04,4,0
2007-05,0,0
2007-06,4,8
2007-07,8,0
2007-08,11,4
2007-09,0,4
2007-10,0,0
2007-11,0,4
2007-12,0,3
2008-01,0,0
2008-02,3,6
2008-03,6,14
2008-04,0,0
2008-05,3,0
2008-06,0,3
2008-07,3,3
2008-08,0,6
2008-09,0,3
2008-10,3,5
2008-11,3,3
2008-12,3,6
2009-01,0,8
2009-02,0,6
2009-03,5,5
2009-04,0,0
2009-05,2,5
2009-06,15,7
2009-07,2,0
2009-08,0,0
2009-09,2,0
2009-10,2,2
2009-11,4,4
2009-12,4,2
2010-01,2,6
2010-02,8,6
2010-03,8,14
2010-04,39,10
2010-05,0,6
2010-06,2,6
2010-07,0,6
2010-08,10,2
2010-09,6,4
2010-10,53,7
2010-11,0,3
2010-12,5,3
2011-01,1,2
2011-02,0,3
2011-03,2,2
2011-04,2,2
2011-05,1,3
2011-06,0,0
2011-07,2,2
2011-08,2,2
2011-09,1,1
2011-10,3,1
2011-11,0,2
2011-12,1,2
2012-01,1,3
2012-02,2,1
2012-03,2,4
2012-04,0,0
2012-05,5,2
2012-06,1,1
2012-07,1,2
2012-08,0,0
2012-09,2,0
2012-10,1,2
2012-11,6,0
2012-12,2,2
2013-01,1,2
2013-02,2,4
2013-03,2,1
2013-04,2,1
2013-05,1,3
2013-06,0,4
2013-07,2,4
2013-08,0,2
2013-09,5,2
2013-10,1,2
2013-11,3,1
2013-12,1,2
2014-01,5,1
2014-02,8,6
2014-03,5,5
2014-04,62,5
2014-05,11,3
2014-06,3,2
2014-07,1,1
2014-08,7,1
2014-09,8,2
2014-10,86,4
2014-11,7,3
2014-12,1,3
2015-01,2,1
2015-02,3,1
2015-03,2,2
2015-04,3,3
2015-05,1,0
2015-06,2,2
2015-07,1,2
2015-08,1,1
2015-09,2,1
2015-10,3,1
2015-11,4,1
2015-12,1,1
2016-01,1,<1
2016-02,2,2
2016-03,3,<1
2016-04,2,1
2016-05,3,0
2016-06,2,2
2016-07,1,1
2016-08,1,1
2016-09,5,1
2016-10,10,1
2016-11,4,0
2016-12,3,1
2017-01,0,<1
2017-02,0,0
2017-03,3,1
2017-04,2,3
2017-05,4,2
2017-06,2,1
2017-07,1,0
2017-08,3,1
2017-09,2,2
2017-10,1,2
2017-11,1,1
2017-12,3,<1
2018-01,4,1
2018-02,9,4
2018-03,15,7
