Category: All categories

Month,Election: (Vas County),Fidesz: (Vas County)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,60
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,36
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,47
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,17,0
2005-12,0,0
2006-01,0,0
2006-02,0,16
2006-03,0,0
2006-04,90,45
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,13,0
2006-09,36,12
2006-10,61,0
2006-11,11,11
2006-12,0,11
2007-01,0,0
2007-02,8,0
2007-03,0,0
2007-04,16,0
2007-05,0,0
2007-06,8,8
2007-07,0,0
2007-08,0,0
2007-09,0,15
2007-10,7,7
2007-11,6,0
2007-12,0,0
2008-01,6,0
2008-02,7,0
2008-03,6,12
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,6,0
2008-10,0,0
2008-11,0,0
2008-12,0,5
2009-01,5,0
2009-02,0,0
2009-03,4,4
2009-04,5,0
2009-05,12,8
2009-06,25,4
2009-07,0,0
2009-08,0,0
2009-09,0,4
2009-10,4,8
2009-11,4,0
2009-12,0,0
2010-01,0,7
2010-02,0,0
2010-03,4,0
2010-04,48,13
2010-05,4,4
2010-06,0,5
2010-07,4,0
2010-08,8,0
2010-09,36,16
2010-10,100,4
2010-11,7,0
2010-12,0,0
2011-01,0,1
2011-02,1,2
2011-03,1,3
2011-04,2,2
2011-05,1,4
2011-06,0,0
2011-07,1,1
2011-08,1,1
2011-09,1,2
2011-10,3,1
2011-11,4,2
2011-12,2,2
2012-01,2,4
2012-02,3,2
2012-03,0,2
2012-04,1,1
2012-05,4,2
2012-06,3,1
2012-07,1,1
2012-08,1,2
2012-09,2,1
2012-10,0,3
2012-11,4,2
2012-12,0,4
2013-01,1,2
2013-02,0,4
2013-03,2,4
2013-04,2,2
2013-05,2,1
2013-06,2,2
2013-07,1,4
2013-08,1,3
2013-09,3,2
2013-10,<1,4
2013-11,1,1
2013-12,3,5
2014-01,3,1
2014-02,8,5
2014-03,4,5
2014-04,72,6
2014-05,14,3
2014-06,2,4
2014-07,1,1
2014-08,1,3
2014-09,13,1
2014-10,69,4
2014-11,5,3
2014-12,1,1
2015-01,2,2
2015-02,4,1
2015-03,4,1
2015-04,2,1
2015-05,1,2
2015-06,1,0
2015-07,2,1
2015-08,0,1
2015-09,0,0
2015-10,2,1
2015-11,1,1
2015-12,1,3
2016-01,2,2
2016-02,3,0
2016-03,4,2
2016-04,2,1
2016-05,3,<1
2016-06,2,1
2016-07,2,1
2016-08,1,1
2016-09,3,0
2016-10,11,2
2016-11,5,2
2016-12,1,0
2017-01,1,1
2017-02,1,<1
2017-03,1,1
2017-04,3,1
2017-05,3,<1
2017-06,3,1
2017-07,<1,1
2017-08,<1,0
2017-09,2,<1
2017-10,4,<1
2017-11,1,1
2017-12,1,1
2018-01,3,2
2018-02,8,3
2018-03,17,5
