id2010,oevk,arany2010baloldal,arany2014baloldal,arany2010fidesz,arany2014fidesz,arany2010jobbik,arany2014jobbik,arany2010lmp,arany2014lmp,reszveteli_arany2010,reszveteli_arany2014,osszes2014
M01/T001,M01/E01,18.995659,33.587891,54.810707,48.165825,7.0713768,6.6207557,14.064384,11.625528,75.267738,74.085968,14666
M01/T005,M01/E01,22.612431,35.734798,51.787518,45.848419,7.5101061,7.5602446,12.847398,10.856537,72.917534,73.37281,16018
M01/T008,M01/E01,23.081959,35.644909,47.862953,43.084694,11.484864,9.2657347,13.367834,12.004662,57.214584,66.848381,5148
M01/T009,M01/E01,24.067587,34.468407,46.181057,42.063942,10.890171,10.452138,13.726904,13.015512,63.834934,64.712898,10572
M01/T011,M01/E02,25.703432,36.990856,48.900791,44.451275,8.2356606,8.1674604,12.703494,10.390409,74.389961,74.370804,52048
M01/T002,M01/E03,22.021673,36.626717,52.029148,45.674721,6.3733182,6.4211636,13.873319,11.277402,77.274437,73.294189,16103
M01/T012,M01/E03,20.64271,34.610165,54.188122,47.74128,6.3596907,6.2079492,13.449977,11.440606,77.572853,76.923569,35374
M01/T002,M01/E04,22.021673,37.777969,52.029148,45.384525,6.3733182,6.0806117,13.873319,10.756891,77.274437,77.603401,34536
M01/T003,M01/E04,25.942646,37.243355,45.096565,42.884159,10.677758,9.4769831,13.354513,10.395505,71.19783,73.560066,18508
M01/T006,M01/E05,24.247284,39.479485,46.771858,39.205528,8.9860325,9.737359,15.012934,11.577631,64.857399,62.715439,16791
M01/T007,M01/E05,23.724827,38.956142,44.569595,38.107628,10.750312,11.117396,16.104082,11.818833,61.854759,62.257454,26517
M01/T008,M01/E06,23.081959,36.863228,47.862953,40.344116,11.484864,13.065247,13.367834,9.7274103,57.214584,53.982594,25166
M01/T009,M01/E06,24.067587,39.101978,46.181057,38.008904,10.890171,13.601256,13.726904,9.2878647,63.834934,60.386528,15278
M01/T013,M01/E07,32.522026,47.565472,38.567848,32.267105,9.407197,10.066431,14.308231,10.10099,67.728844,66.358482,52084
