telepules_nev,telepules_id,ksh_kod,nuts3
Budapest I.ker.,M01/T001,09566,HU110
Budapest II.ker.,M01/T002,03179,HU110
Budapest III.ker.,M01/T003,18069,HU110
Budapest IV.ker.,M01/T004,05467,HU110
Budapest V.ker.,M01/T005,13392,HU110
Budapest VI.ker.,M01/T006,16586,HU110
Budapest VII.ker.,M01/T007,29744,HU110
Budapest VIII.ker.,M01/T008,25405,HU110
Budapest IX.ker.,M01/T009,29586,HU110
Budapest X.ker.,M01/T010,10700,HU110
Budapest XI.ker.,M01/T011,14216,HU110
Budapest XII.ker.,M01/T012,24697,HU110
Budapest XIII.ker.,M01/T013,24299,HU110
Budapest XIV.ker.,M01/T014,16337,HU110
Budapest XV.ker.,M01/T015,11314,HU110
Budapest XVI.ker.,M01/T016,08208,HU110
Budapest XVII.ker.,M01/T017,02112,HU110
Budapest XVIII.ker.,M01/T018,29285,HU110
Budapest XIX.ker.,M01/T019,04011,HU110
Budapest XX.ker.,M01/T020,06026,HU110
Budapest XXI.ker.,M01/T021,13189,HU110
Budapest XXII.ker.,M01/T022,10214,HU110
Budapest XXIII.ker.,M01/T023,34139,HU110
Abaliget,M02/T001,12548,HU231
Adorjás,M02/T002,06868,HU231
Almamellék,M02/T003,13329,HU231
Almáskeresztúr,M02/T004,20376,HU231
Alsómocsolád,M02/T005,17385,HU231
Alsószentmárton,M02/T006,33279,HU231
Apátvarasd,M02/T007,27298,HU231
Aranyosgadány,M02/T008,06886,HU231
Ág,M02/T009,25812,HU231
Áta,M02/T010,28583,HU231
Babarc,M02/T011,05403,HU231
Babarcszőlős,M02/T012,09663,HU231
Bakonya,M02/T013,08299,HU231
Bakóca,M02/T014,22275,HU231
Baksa,M02/T015,03975,HU231
Baranyahídvég,M02/T016,20464,HU231
Baranyajenő,M02/T017,24749,HU231
Baranyaszentgyörgy,M02/T018,05485,HU231
Basal,M02/T019,15495,HU231
Bánfa,M02/T020,07603,HU231
Bár,M02/T021,24378,HU231
Belvárdgyula,M02/T022,19008,HU231
Beremend,M02/T023,31927,HU231
Berkesd,M02/T024,16461,HU231
Besence,M02/T025,30049,HU231
Bezedek,M02/T026,14119,HU231
Bicsérd,M02/T027,13310,HU231
Bikal,M02/T028,04899,HU231
Birján,M02/T029,05139,HU231
Bisse,M02/T030,24925,HU231
Boda,M02/T031,20899,HU231
Bodolyabér,M02/T032,33002,HU231
Bogád,M02/T033,32151,HU231
Bogádmindszent,M02/T034,21892,HU231
Bogdása,M02/T035,10694,HU231
Boldogasszonyfa,M02/T036,13116,HU231
Borjád,M02/T037,06725,HU231
Bosta,M02/T038,14368,HU231
Botykapeterd,M02/T039,13365,HU231
Bóly,M02/T040,33154,HU231
Bükkösd,M02/T041,23162,HU231
Bürüs,M02/T042,07533,HU231
Csarnóta,M02/T043,30614,HU231
Csányoszró,M02/T044,19901,HU231
Csebény,M02/T045,21591,HU231
Cserdi,M02/T046,26082,HU231
Cserkút,M02/T047,03896,HU231
Csertő,M02/T048,13851,HU231
Csonkamindszent,M02/T049,22576,HU231
Cún,M02/T050,11086,HU231
Dencsháza,M02/T051,07773,HU231
Dinnyeberki,M02/T052,11952,HU231
Diósviszló,M02/T053,32373,HU231
Drávacsehi,M02/T054,28617,HU231
Drávacsepely,M02/T055,28121,HU231
Drávafok,M02/T056,17419,HU231
Drávaiványi,M02/T057,32391,HU231
Drávakeresztúr,M02/T058,09159,HU231
Drávapalkonya,M02/T059,22734,HU231
Drávapiski,M02/T060,12380,HU231
Drávaszabolcs,M02/T061,28608,HU231
Drávaszerdahely,M02/T062,30030,HU231
Drávasztára,M02/T063,21698,HU231
Dunaszekcső,M02/T064,09186,HU231
Egerág,M02/T065,28918,HU231
Egyházasharaszti,M02/T066,16498,HU231
Egyházaskozár,M02/T067,27401,HU231
Ellend,M02/T068,06099,HU231
Endrőc,M02/T069,28273,HU231
Erdősmárok,M02/T070,25821,HU231
Erdősmecske,M02/T071,18704,HU231
Erzsébet,M02/T072,13499,HU231
Fazekasboda,M02/T073,17835,HU231
Feked,M02/T074,04543,HU231
Felsőegerszeg,M02/T075,13286,HU231
Felsőszentmárton,M02/T076,08819,HU231
Garé,M02/T077,07560,HU231
Gerde,M02/T078,12751,HU231
Geresdlak,M02/T079,02857,HU231
Gerényes,M02/T080,13347,HU231
Gilvánfa,M02/T081,18333,HU231
Gordisa,M02/T082,33084,HU231
Gödre,M02/T083,33233,HU231
Görcsöny,M02/T084,30438,HU231
Görcsönydoboka,M02/T085,09636,HU231
Gyód,M02/T086,18315,HU231
Gyöngyfa,M02/T087,28404,HU231
Gyöngyösmellék,M02/T088,22664,HU231
Harkány,M02/T089,21528,HU231
Hásságy,M02/T090,27881,HU231
Hegyhátmaróc,M02/T091,30951,HU231
Hegyszentmárton,M02/T092,21023,HU231
Helesfa,M02/T093,17190,HU231
Hetvehely,M02/T094,07126,HU231
Hidas,M02/T095,06798,HU231
Himesháza,M02/T096,27933,HU231
Hirics,M02/T097,03285,HU231
Hobol,M02/T098,33932,HU231
Homorúd,M02/T099,29966,HU231
Horváthertelend,M02/T100,23074,HU231
Hosszúhetény,M02/T101,30836,HU231
Husztót,M02/T102,31431,HU231
Ibafa,M02/T103,33066,HU231
Illocska,M02/T104,31936,HU231
Ipacsfa,M02/T105,29948,HU231
Ivánbattyán,M02/T106,03337,HU231
Ivándárda,M02/T107,03346,HU231
Kacsóta,M02/T108,04297,HU231
Katádfa,M02/T109,06965,HU231
Kákics,M02/T110,06415,HU231
Kárász,M02/T111,05999,HU231
Kásád,M02/T112,17464,HU231
Kátoly,M02/T113,19132,HU231
Kemse,M02/T114,06789,HU231
Keszü,M02/T115,03832,HU231
Kékesd,M02/T116,16805,HU231
Kémes,M02/T117,10542,HU231
Kétújfalu,M02/T118,08572,HU231
Királyegyháza,M02/T119,20552,HU231
Kisasszonyfa,M02/T120,18908,HU231
Kisbeszterce,M02/T121,05722,HU231
Kisbudmér,M02/T122,22868,HU231
Kisdér,M02/T123,11183,HU231
Kisdobsza,M02/T124,33905,HU231
Kishajmás,M02/T125,06831,HU231
Kisharsány,M02/T126,27021,HU231
Kisherend,M02/T127,16975,HU231
Kisjakabfalva,M02/T128,12849,HU231
Kiskassa,M02/T129,19910,HU231
Kislippó,M02/T130,21616,HU231
Kisnyárád,M02/T131,33215,HU231
Kisszentmárton,M02/T132,08651,HU231
Kistamási,M02/T133,12353,HU231
Kistapolca,M02/T134,03151,HU231
Kistótfalu,M02/T135,10746,HU231
Kisvaszar,M02/T136,09548,HU231
Komló,M02/T137,26408,HU231
Kovácshida,M02/T138,24226,HU231
Kovácsszénája,M02/T139,14517,HU231
Kozármisleny,M02/T140,06336,HU231
Kórós,M02/T141,08110,HU231
Köblény,M02/T142,25247,HU231
Kökény,M02/T143,03540,HU231
Kölked,M02/T144,17899,HU231
Kővágószőlős,M02/T145,15538,HU231
Kővágótöttös,M02/T146,06992,HU231
Lapáncsa,M02/T147,06479,HU231
Lánycsók,M02/T148,33330,HU231
Liget,M02/T149,17604,HU231
Lippó,M02/T150,22974,HU231
Liptód,M02/T151,10038,HU231
Lothárd,M02/T152,31389,HU231
