tazon,ev+3,0_fos_ceg,1-9_fos_ceg,10-19_fos_ceg,20-49_fos_ceg,50-249_fos_ceg,250-499_fos_ceg,500+_fos_ceg
Ipolyszög,2014,20,21,0,0,0,0,0
Ipolyszög,2015,20,22,0,0,0,0,0
Ipolyszög,2016,22,24,0,0,0,0,0
Ipolyszög,2017,24,27,0,0,0,0,0
Ipolyszög,2018,26,25,0,0,0,0,0
Somoskőújfalu,2014,39,159,0,1,0,0,0
Somoskőújfalu,2015,44,161,0,1,0,0,0
Somoskőújfalu,2016,44,170,1,1,0,0,0
Somoskőújfalu,2017,54,173,1,0,0,0,0
Somoskőújfalu,2018,48,171,1,0,0,0,0
Ráckeresztúr,2014,73,184,3,2,0,0,0
Ráckeresztúr,2015,68,187,4,1,0,0,0
Ráckeresztúr,2016,67,179,6,1,0,0,0
Ráckeresztúr,2017,70,181,5,2,0,0,0
Ráckeresztúr,2018,76,185,3,3,0,0,0
Martonyi,2014,8,18,0,0,0,0,0
Martonyi,2015,8,18,0,0,0,0,0
Martonyi,2016,8,18,0,0,0,0,0
Martonyi,2017,8,18,0,1,0,0,0
Martonyi,2018,7,19,0,1,0,0,0
Kakasd,2014,30,199,1,2,0,0,0
Kakasd,2015,40,198,2,1,0,0,0
Kakasd,2016,46,186,2,1,0,0,0
Kakasd,2017,47,189,3,1,0,0,0
Kakasd,2018,57,184,3,1,0,0,0
Narda,2014,28,59,1,1,0,0,0
Narda,2015,32,58,0,0,0,0,0
Narda,2016,30,59,0,0,0,0,0
Narda,2017,28,62,0,0,0,0,0
Narda,2018,30,62,0,0,0,0,0
Sávoly,2014,23,68,0,0,0,0,0
Sávoly,2015,27,68,0,0,0,0,0
Sávoly,2016,30,67,0,0,0,0,0
Sávoly,2017,30,67,0,0,0,0,0
Sávoly,2018,30,62,0,0,0,0,0
Gönyű,2014,90,194,2,0,0,0,0
Gönyű,2015,99,192,2,0,0,0,0
Gönyű,2016,109,195,4,1,1,0,0
Gönyű,2017,118,194,6,1,1,0,0
Gönyű,2018,114,187,5,2,1,0,0
Dunaremete,2014,6,36,1,1,0,0,0
Dunaremete,2015,7,36,1,0,0,0,0
Dunaremete,2016,7,36,1,0,0,0,0
Dunaremete,2017,10,35,1,0,0,0,0
Dunaremete,2018,11,34,1,0,0,0,0
Mánd,2014,14,43,0,0,0,0,0
Mánd,2015,17,42,0,0,0,0,0
Mánd,2016,23,42,0,0,0,0,0
Mánd,2017,26,43,0,0,0,0,0
Mánd,2018,30,37,0,0,0,0,0
Gutorfölde,2014,23,150,0,1,0,0,0
Gutorfölde,2015,26,145,1,1,0,0,0
Gutorfölde,2016,27,141,1,1,0,0,0
Gutorfölde,2017,35,140,1,1,0,0,0
Gutorfölde,2018,38,139,1,1,0,0,0
Maróc,2014,2,4,0,0,0,0,0
Maróc,2015,1,5,0,0,0,0,0
Maróc,2016,2,5,0,0,0,0,0
Maróc,2017,2,6,0,0,0,0,0
Maróc,2018,4,5,0,0,0,0,0
Csanádalberti,2014,18,68,0,0,0,0,0
Csanádalberti,2015,19,67,0,0,0,0,0
Csanádalberti,2016,21,67,0,0,0,0,0
Csanádalberti,2017,14,59,0,0,0,0,0
Csanádalberti,2018,16,49,0,0,0,0,0
Mihályfa,2014,15,67,0,1,0,0,0
Mihályfa,2015,16,67,0,1,0,0,0
Mihályfa,2016,15,65,1,1,0,0,0
Mihályfa,2017,14,65,0,1,0,0,0
Mihályfa,2018,17,64,0,1,0,0,0
Foktő,2014,52,167,1,1,0,0,0
Foktő,2015,62,165,1,1,0,0,0
Foktő,2016,63,160,0,1,1,0,0
Foktő,2017,69,155,0,1,1,0,0
Foktő,2018,79,154,0,1,1,0,0
Muhi,2014,15,40,0,0,0,0,0
Muhi,2015,16,39,0,0,0,0,0
Muhi,2016,20,40,0,0,0,0,0
Muhi,2017,20,40,0,0,0,0,0
Muhi,2018,21,34,0,0,0,0,0
Komádi,2014,140,613,6,5,2,0,0
Komádi,2015,171,608,7,5,2,0,0
Komádi,2016,184,616,5,4,2,0,0
Komádi,2017,195,597,9,3,1,0,0
Komádi,2018,214,605,5,4,1,0,0
