"","oevk_id","Fidesz_2014","MSZP_DK_P_2014","LMP_2014","Jobbik_2014","Fidesz_2018","Jobbik_2018","MSZP_P_2018","DK_2018","LMP_2018","Momentum_2018","Egyutt_2018","MKKP_2018"
"1","BÉKÉS 1",18364,12161,2678,9273,20001.5946565185,12559.8537358753,6634.6910074122,3980.81460444732,3782.50829189853,3139.48188227578,1255.79275291031,627.896376455157
"2","BÉKÉS 2",19942,7925,1576,10958,21720.3115138473,14842.109051841,4323.65152814256,2594.19091688554,2226.00189246904,1847.5815707493,739.032628299721,369.516314149861
"3","BÉKÉS 3",19315,9378,1101,7579,21037.3993024752,10265.4083321685,5116.36643923292,3069.81986353975,1555.09396168046,1290.72798819479,516.291195277914,258.145597638957
"4","BÉKÉS 4",20789,10738,1487,10403,22642.8420449991,14090.3869744754,5858.34323144414,3515.00593886648,2100.2949328055,1743.24479422856,697.297917691425,348.648958845712
"5","BÁCS-KISKUN 1",20558,7899,2134,8204,22391.2428092304,11111.9422030757,4309.46667770323,2585.68000662194,3014.14215642699,2501.7379898344,1000.69519593376,500.34759796688
"6","BÁCS-KISKUN 2",22303,9446,2295,7548,24291.8517547556,10223.4202521715,5153.46527884349,3092.07916730609,3241.54463402059,2690.48204623709,1076.19281849484,538.096409247418
"7","BÁCS-KISKUN 3",20833,8321,1457,9397,22690.765708955,12727.8060558632,4539.697711757,2723.8186270542,2057.92180033464,1708.07509427775,683.2300377111,341.61501885555
"8","BÁCS-KISKUN 4",21634,7452,1387,8666,23563.1942277893,11737.7000404502,4065.59636438086,2439.35781862852,1959.05115790264,1626.01246105919,650.404984423676,325.202492211838
"9","BÁCS-KISKUN 5",20228,7297,913,9659,22031.8153295609,13082.6730545475,3981.03283291562,2388.61969974937,1289.55566486309,1070.33120183637,428.132480734547,214.066240367273
"10","BÁCS-KISKUN 6",19286,9954,1835,6792,21005.8132512316,9199.45288192223,5430.6154335812,3258.36926014872,2591.82326946744,2151.21331365798,860.485325463191,430.242662731595
"11","BARANYA 1",18855,16706,4489,8379,20536.3791792995,11348.9716869297,9114.31197844159,5468.58718706495,6340.43305538929,5262.55943597311,2105.02377438924,1052.51188719462
"12","BARANYA 2",17413,15334,3650,9931,18965.7900105618,13451.0845951663,8365.78833218145,5019.47299930887,5155.39778395431,4278.98016068208,1711.59206427283,855.796032136416
"13","BARANYA 3",21625,8983,1890,8137,23553.3916601619,11021.1937721144,4900.86582678923,2940.51949607354,2669.50734566401,2215.69109690113,886.276438760453,443.138219380226
"14","BARANYA 4",19563,12131,1439,9081,21307.5144993178,12299.7985307326,6618.32387228989,3970.99432337394,2032.49792085212,1686.97327430726,674.789309722905,337.394654861453
"15","BORSOD-ABAÚJ-ZEMPLÉN 1",16602,14072,1624,15050,18082.4697499194,20384.5356114443,7677.2775147031,4606.36650882186,2293.79890442241,1903.8530906706,761.541236268241,380.77061813412
"16","BORSOD-ABAÚJ-ZEMPLÉN 2",14560,14798,1555,14425,15858.3760726917,19538.0017405371,8073.36218466291,4844.01731079775,2196.34069973944,1822.96278078374,729.185112313494,364.592556156747
"17","BORSOD-ABAÚJ-ZEMPLÉN 3",15473,10146,612,12148,16852.7920997773,16453.9095420482,5535.36509836396,3321.21905901838,864.41190240549,717.461878996557,286.984751598623,143.492375799311
"18","BORSOD-ABAÚJ-ZEMPLÉN 4",16696,12563,859,12500,18184.8521229162,16930.6774181431,6854.0106180511,4112.40637083066,1213.28402641555,1007.02574192491,402.810296769962,201.405148384981
"19","BORSOD-ABAÚJ-ZEMPLÉN 5",19932,9566,1045,11561,21709.4197720392,15658.8449304922,5218.93381933271,3131.36029159963,1475.99744773486,1225.07788161994,490.031152647975,245.015576323988
"20","BORSOD-ABAÚJ-ZEMPLÉN 6",19149,11133,1211,14009,20856.5963884597,18974.5487960613,6073.84384388784,3644.3063063327,1710.46211407361,1419.6835546811,567.873421872438,283.936710936219
"21","BORSOD-ABAÚJ-ZEMPLÉN 7",22124,8894,917,12829,24096.8895763895,17376.2928477886,4852.30999259305,2911.38599555583,1295.20541585921,1075.02049516314,430.008198065257,215.004099032628
"22","BUDAPEST 1",21503,15459,6482,3713,23420.5124101023,5029.08842028522,8433.9847285244,5060.39083711464,9155.42148920325,7598.99983603869,3039.59993441548,1519.79996720774
"23","BUDAPEST 10",18394,19633,4593,6815,20034.269881943,9230.60532837161,10711.1987952079,6426.71927712476,6487.32658128826,5384.48106246926,2153.7924249877,1076.89621249385
"24","BUDAPEST 11",18181,20956,3935,6529,19802.2757814291,8843.2314290445,11432.9894541016,6859.79367246098,5557.94254242746,4613.09231021479,1845.23692408592,922.618462042958
"25","BUDAPEST 12",18955,18678,3306,7488,20645.2965973812,10142.1530005644,10190.1783271479,6114.10699628871,4669.51919828848,3875.70093457944,1550.28037383178,775.140186915888
"26","BUDAPEST 13",21445,19682,3201,5850,23357.3403076149,7923.55703169096,10737.9317825744,6442.75906954462,4521.21323464048,3752.6069847516,1501.04279390064,750.52139695032
"27","BUDAPEST 14",22393,17084,3395,7427,24389.8774310292,10059.5312947639,9320.53788098265,5592.32272858959,4795.22615795202,3980.03771110018,1592.01508444007,796.007542220036
"28","BUDAPEST 15",20650,20590,3448,8493,22491.4468338656,11503.3794649831,11233.3104056095,6739.9862433657,4870.08535865054,4042.17084767995,1616.86833907198,808.43416953599
"29","BUDAPEST 16",17523,18507,2939,7407,19085.5991704517,10032.4422108949,10096.8856569507,6058.13139417042,4151.15454439499,3445.45827184784,1378.18330873914,689.091654369569
"30","BUDAPEST 17",18120,18564,3076,9076,19735.8361563992,12293.0262597653,10127.9832136831,6076.78992820985,4344.65851601191,3606.06656828988,1442.42662731595,721.213313657977
"31","BUDAPEST 18",23189,20523,3601,6784,25256.8600789593,9188.61724837462,11196.7571371697,6718.05428230181,5086.18833425191,4221.53631742909,1688.61452697163,844.307263485817
"32","BUDAPEST 2",23963,19643,4615,4291,26099.8808949114,5811.96294410016,10716.6545069154,6429.99270414922,6518.40021176689,5410.27217576652,2164.10887030661,1082.0544351533
"33","BUDAPEST 3",24610,18414,5321,3220,26804.5765898999,4361.34250291366,10046.1475380716,6027.68852284294,7515.58126258107,6237.93244794229,2495.17297917691,1247.58648958846
"34","BUDAPEST 4",24928,20750,4618,3583,27150.9339793996,4853.00937513653,11320.6017929285,6792.36107575708,6522.63752501398,5413.7891457616,2165.51565830464,1082.75782915232
"35","BUDAPEST 5",16983,17256,5348,4661,18497.4451128106,6313.11099567719,9414.37612235054,5648.62567341032,7553.71708180484,6269.58517789802,2507.83407115921,1253.9170355796
"36","BUDAPEST 6",15977,15437,3474,5560,17401.735886909,7530.76531559004,8421.98216276804,5053.18929766082,4906.80874012528,4072.65125430398,1629.06050172159,814.530250860797
"37","BUDAPEST 7",16453,27514,3821,4640,17920.1827969777,6284.66745761471,15010.8451918378,9006.50711510267,5396.9246390382,4479.44745040171,1791.77898016068,895.889490080341
"38","BUDAPEST 8",19772,21697,4961,5924,21535.1519031085,8023.78664200637,11837.2576916226,7102.35461497356,7007.10367293078,5815.89604853255,2326.35841941302,1163.17920970651
"39","BUDAPEST 9",18851,19501,3356,6975,20532.0224825763,9447.31799932384,10639.1834006698,6383.51004040187,4740.14108573991,3934.31710116413,1573.72684046565,786.863420232825
"40","CSONGRÁD 1",17346,20131,3956,7463,18892.8153404471,10108.2916457281,10982.8932382382,6589.73594294293,5587.60373515706,4637.71110018036,1855.08444007214,927.542220036072
"41","CSONGRÁD 2",23171,16952,3475,8160,25237.2549437046,11052.3462185638,9248.5224864445,5549.1134918667,4908.22117787431,4073.82357763568,1629.52943105427,814.764715527136
"42","CSONGRÁD 3",21911,10201,1794,11610,23864.8954758755,15725.2131859713,5565.37151275486,3339.22290765292,2533.91332175727,2103.14805705853,841.259222823414,420.629611411707
"43","CSONGRÁD 4",20792,9323,3312,11824,22646.1095675416,16015.0663833699,5086.36002484203,3051.81601490522,4677.99382478265,3882.7348745696,1553.09394982784,776.54697491392
"44","FEJÉR 1",19602,13407,2725,7450,21349.9922923696,10090.6837412133,7314.47268615865,4388.68361169519,3848.89286610288,3194.58107886539,1277.83243154616,638.916215773078
"45","FEJÉR 2",22177,8415,1944,9668,24154.6158079727,13094.8631422886,4590.98140180689,2754.58884108414,2745.77898411156,2278.99655681259,911.598622725037,455.799311362518
"46","FEJÉR 3",22571,9534,2677,8021,24583.7504352145,10864.0770856741,5201.47554186892,3120.88532512135,3781.0958541495,3138.30955894409,1255.32382357764,627.661911788818
"47","FEJÉR 4",14826,12128,1811,10422,16148.0964047889,14116.121604151,6616.68715877766,3970.0122952666,2557.92476349076,2123.07755369733,849.231021478931,424.615510739465
"48","FEJÉR 5",17576,5781,942,10926,19143.3254020349,14798.7665176505,3153.94693806841,1892.36816284105,1330.51635958492,1104.32857845548,441.731431382194,220.865715691097
"49","GY?R-MOSON-SOPRON 1",21560,12893,2468,6364,23482.5953384088,8619.74648712501,7034.04910439647,4220.42946263788,3485.89636460253,2893.2939826201,1157.31759304804,578.65879652402
"50","GY?R-MOSON-SOPRON 2",24593,9278,2089,7714,26786.060628826,10448.2596482845,5061.80932215857,3037.08559329514,2950.5824577207,2448.98343990818,979.593375963273,489.796687981636
"51","GY?R-MOSON-SOPRON 3",24707,7005,1268,8478,26910.2264854391,11483.0626520814,3821.7260510585,2293.0356306351,1790.97106576824,1486.50598458764,594.602393835055,297.301196917527
"52","GY?R-MOSON-SOPRON 4",24698,11601,3097,8178,26900.4239178117,11076.7263940459,6329.17115179582,3797.50269107749,4374.31970874151,3630.68535825545,1452.27414330218,726.13707165109
"53","GY?R-MOSON-SOPRON 5",22460,9823,2177,8396,24462.8521011439,11371.9974082183,5359.1456102138,3215.48736612828,3074.87697963522,2552.14789309723,1020.85915723889,510.429578619446
"54","HAJDÚ-BIHAR 1",21013,12012,2418,7805,22886.8170615021,10571.5149798885,6553.40090297141,3932.04054178285,3415.2744771511,2834.67781603542,1133.87112641417,566.935563207083
"55","HAJDÚ-BIHAR 2",19847,10501,2363,9651,21616.8399666697,13071.8374209999,5729.04286397792,3437.42571838675,3337.59040095453,2770.20003279226,1108.0800131169,554.040006558452
"56","HAJDÚ-BIHAR 3",21619,7288,1300,10441,23546.856615077,14141.8562338266,3976.12269237892,2385.67361542735,1836.16907373715,1524.02033120184,609.608132480735,304.804066240367
"57","HAJDÚ-BIHAR 4",17799,6985,1028,10873,19386.2112443571,14726.9804453976,3810.81462764363,2286.48877658618,1451.98600600138,1205.14838498114,482.059353992458,241.029676996229
"58","HAJDÚ-BIHAR 5",17657,7317,1126,11070,19231.5485106811,14993.8079215075,3991.94425633049,2395.16655379829,1590.40490540618,1320.03607148713,528.014428594852,264.007214297426
"59","HAJDÚ-BIHAR 6",18982,7174,1136,10828,20674.7043002633,14666.0300066923,3913.92757891416,2348.3565473485,1604.52928289647,1331.75930480407,532.703721921627,266.351860960813
"60","HEVES 1",21151,13781,2528,15410,23037.1230984548,20872.1391210868,7518.51630401673,4511.10978241004,3570.64262954425,2963.63338252172,1185.45335300869,592.726676504345
"61","HEVES 2",19798,11874,1360,19159,21563.4704318097,25949.9878923363,6478.1120814088,3886.86724884528,1920.91533867887,1594.35973110346,637.743892441384,318.871946220692
"62","HEVES 3",20304,10797,1114,15268,22114.592567303,20679.8066256167,5890.53193051801,3534.31915831081,1573.45565241784,1305.9681915068,522.387276602722,261.193638301361
"63","JÁSZ-NAGYKUN-SZOLNOK 1",19146,14574,2303,13157,20853.3288659172,17820.5538232407,7951.15424241636,4770.69254544982,3252.84413601282,2699.86063289064,1079.94425315626,539.972126578128
"64","JÁSZ-NAGYKUN-SZOLNOK 2",18200,8594,1027,12783,19822.9700908646,17313.9879548898,4688.63864136999,2813.18318482199,1450.57356825235,1203.97606164945,481.59042465978,240.79521232989
"65","JÁSZ-NAGYKUN-SZOLNOK 3",23201,7719,948,11511,25269.9301691291,15591.1222208196,4211.26386696939,2526.75832018163,1338.99098607909,1111.36251844565,444.545007378259,222.272503689129
