megyeid,megye,telepid,telep,szavazok,ossz_szavazo,tobblet_hiany,ervenytelen,ervenyes,ervenytelen_szazalek,egyeni_fidesz,egyeni_lmp,egyeni_mszp,egyeni_dk,egyeni_mszp_dk,egyeni_jobbik,egyeni_momentum,egyeni_egyutt,egyeni_mkkp,egyeni_mellar,egyeni_kesz,egyeni_egyeb,egyeni_fidesz_pc,egyeni_lmp_pc,egyeni_mszp_pc,egyeni_dk_pc,egyeni_jobbik_pc,egyeni_momentum_pc,egyeni_egyutt_pc,egyeni_mkkp_pc,egyeni_mellar_pc,egyeni_kesz_pc,egyeni_egyeb_pc,orsz_fidesz,orsz_lmp,orsz_mszp,orsz_dk,orsz_mszp_dk,orsz_jobbik,orsz_momentum,orsz_egyutt,orsz_mkkp,orsz_egyeb,nemzetisegi_osszes,nemzetisegi_nemet,orsz_fidesz_pc,orsz_lmp_pc,orsz_mszp_pc,orsz_dk_pc,orsz_jobbik_pc,orsz_momentum_pc,orsz_egyutt_pc,orsz_mkkp_pc,orsz_egyeb_pc,elteres_fidesz,elteres_lmp,elteres_mszp,elteres_mszp_dk,elteres_dk,elteres_jobbik,elteres_momentum,elteres_egyutt,elteres_mkkp,elteres_egyeb,elteres_nemzetisegi_osszes,elteres_nemzetisegi_nemet,listas_hianyzo,balodal_jobbik_kihivo,telep_tipus,telep_tipus_2
2,BARANYA,251,Szárász,37,24,0,0,22,0,4,1,0,9,9,6,0,0,0,0,0,2,0.181818182,0.045454545,0,0.409090909,0.272727273,0,0,0,0,0,0.090909091,4,3,3,7,10,4,0,0,0,1,0,0,0.181818182,0.136363636,0.136363636,0.318181818,0.181818182,0,0,0,0.045454545,0,-2,-3,-1,2,2,0,0,0,1,0,0,0,6,1,0-500
5,BORSOD-ABAÚJ-ZEMPLÉN,250,Rudolftelep,582,302,0,9,289,0.030201342,77,4,87,0,87,108,1,1,0,0,0,11,0.266435986,0.01384083,0.301038062,0,0.373702422,0.003460208,0.003460208,0,0,0,0.038062284,82,9,68,15,83,90,1,1,7,5,1,0,0.294964029,0.032374101,0.244604317,0.053956835,0.323741007,0.003597122,0.003597122,0.025179856,0.017985612,-5,-5,19,4,-15,18,0,0,-7,6,-1,0,-10,-7,2,500-1001
1,BUDAPEST,13,Budapest XIII. kerület,94531,70768,-132,430,66245,0.006449194,19005,3021,33412,2942,36354,4297,1746,0,1513,0,0,309,0.286889577,0.045603442,0.504370141,0.044410899,0.064865273,0.026356706,0,0.02283946,0,0,0.004664503,20634,7839,15785,6240,22025,7377,4580,1243,1987,559,35,73,0.311484814,0.118335245,0.238285732,0.09419721,0.111361029,0.069138337,0.018763964,0.029995169,0.0084385,-1629,-4818,17627,14329,-3298,-3080,-2834,-1243,-474,-250,-35,-73,107,14648,8,60001-100000
5,BORSOD-ABAÚJ-ZEMPLÉN,99,Füzérkajata,99,71,0,2,66,0.029411765,21,21,0,1,1,17,0,1,0,0,0,5,0.318181818,0.318181818,0,0.015151515,0.257575758,0,0.015151515,0,0,0,0.075757576,21,6,17,5,22,14,0,0,1,3,0,0,0.313432836,0.089552239,0.253731343,0.074626866,0.208955224,0,0,0.014925373,0.044776119,0,15,-17,-21,-4,3,0,1,-1,2,0,0,1,8,1,0-500
5,BORSOD-ABAÚJ-ZEMPLÉN,279,Serényfalva,788,474,0,8,459,0.017130621,136,10,0,35,35,250,8,0,0,0,0,20,0.296296296,0.021786492,0,0.076252723,0.544662309,0.017429194,0,0,0,0,0.043572985,145,11,41,21,62,219,2,2,9,12,0,0,0.313852814,0.023809524,0.088744589,0.045454545,0.474025974,0.004329004,0.004329004,0.019480519,0.025974026,-9,-1,-41,-27,14,31,6,-2,-9,8,0,0,3,-157,2,500-1001
5,BORSOD-ABAÚJ-ZEMPLÉN,138,Hét,412,261,0,1,259,0.003846154,90,8,0,19,19,130,4,0,0,0,0,7,0.348837209,0.031007752,0,0.073643411,0.503875969,0.015503876,0,0,0,0,0.027131783,81,4,27,12,39,124,3,0,0,5,0,0,0.31640625,0.015625,0.10546875,0.046875,0.484375,0.01171875,0,0,0.01953125,9,4,-27,-20,7,6,1,0,0,2,0,0,-2,-85,1,0-500
5,BORSOD-ABAÚJ-ZEMPLÉN,74,Dubicsány,233,175,0,0,173,0,59,6,0,8,8,96,2,1,0,0,0,1,0.341040462,0.034682081,0,0.046242775,0.554913295,0.011560694,0.005780347,0,0,0,0.005780347,55,9,0,12,12,75,3,0,12,7,0,0,0.317919075,0.052023121,0,0.069364162,0.433526012,0.01734104,0,0.069364162,0.040462428,4,-3,0,-4,-4,21,-1,1,-12,-6,0,0,0,-63,1,0-500
2,BARANYA,28,Bikal,628,449,0,5,411,0.012019231,142,46,0,63,63,145,0,0,0,0,0,15,0.345498783,0.111922141,0,0.153284672,0.352798054,0,0,0,0,0,0.03649635,118,36,49,30,79,113,6,1,9,7,0,45,0.319783198,0.097560976,0.132791328,0.081300813,0.306233062,0.016260163,0.002710027,0.024390244,0.01897019,24,10,-49,-16,33,32,-6,-1,-9,8,0,-45,3,-34,2,500-1001
5,BORSOD-ABAÚJ-ZEMPLÉN,153,Kazincbarcika,22594,14352,-15,185,16151,0.011324682,4976,635,3986,0,3986,5782,122,44,0,0,0,476,0.310592348,0.039635478,0.248798452,0,0.360901317,0.007615005,0.002746395,0,0,0,0.029711004,5177,990,3075,1115,4190,4816,425,65,282,210,1,16,0.320458063,0.061281337,0.190343547,0.06901888,0.29811204,0.026307645,0.004023522,0.017455896,0.012999071,-201,-355,911,-204,-1115,966,-303,-21,-282,266,-1,-16,151,-626,6,10001-30000
2,BARANYA,167,Martonfa,168,144,0,1,141,0.007042254,36,51,0,12,12,40,0,0,0,0,0,2,0.255319149,0.361702128,0,0.085106383,0.283687943,0,0,0,0,0,0.014184397,45,21,11,9,20,45,5,0,0,4,0,0,0.321428571,0.15,0.078571429,0.064285714,0.321428571,0.035714286,0,0,0.028571429,-9,30,-11,-8,3,-5,-5,0,0,-2,0,0,-1,-25,1,0-500
