"","oevk_id","szavazok","reszvetel","ossz_szavazo","egyeni_fidesz","egyeni_lmp","egyeni_kormanyvaltok","egyeni_jobbik","egyeni_fidesz_pc","egyeni_lmp_pc","egyeni_kormanyvaltok_pc","egyeni_jobbik_pc","szavazokorok_szama"
"1","BÉKÉS 1",45177,0.611202056416154,73915,18364,2678,12161,9273,0.410579739307353,0.0598743488273302,0.271893934312608,0.207324434905091,100
"2","BÉKÉS 2",42246,0.563032265803047,75033,19942,1576,7925,10958,0.474267503805175,0.0374809741248097,0.188475076103501,0.260606925418569,98
"3","BÉKÉS 3",41713,0.572053539592419,72918,19315,1101,9378,7579,0.484048818384583,0.027591910382678,0.235019923314037,0.189935593815001,92
"4","BÉKÉS 4",46547,0.592683610064174,78536,20789,1487,10738,10403,0.455539486370409,0.0325839249715137,0.2352966955912,0.2279559996494,115
"5","BÁCS-KISKUN 1",40547,0.569536330819041,71193,20558,2134,7899,8204,0.510364688066334,0.0529778307390581,0.196097415655023,0.203669223703483,77
"6","BÁCS-KISKUN 2",43664,0.599417934215584,72844,22303,2295,9446,7548,0.51521171660237,0.0530157776802421,0.218207858809397,0.174363002148352,80
"7","BÁCS-KISKUN 3",41441,0.595382449284524,69604,20833,1457,8321,9397,0.50468761355653,0.0352963976840524,0.201579495627317,0.227646018556651,89
"8","BÁCS-KISKUN 4",41144,0.555122306623312,74117,21634,1387,7452,8666,0.53224100179595,0.0341230595123871,0.183334563436416,0.213201466282875,91
"9","BÁCS-KISKUN 5",39915,0.545920809683376,73115,20228,913,7297,9659,0.51345314245101,0.0231749416184384,0.185221849934003,0.245177175347751,94
"10","BÁCS-KISKUN 6",39307,0.567045110287223,69319,19286,1835,9954,6792,0.493172403211783,0.0469237457167698,0.254538945430369,0.173681787960927,80
"11","BARANYA 1",51228,0.634261093502377,80768,18855,4489,16706,8379,0.371798158263167,0.0885177370693905,0.329422436061759,0.165223907084968,99
"12","BARANYA 2",48646,0.605863597867783,80292,17413,3650,15334,9931,0.360219280099297,0.0755068266446007,0.317211419114605,0.205440628878775,100
"13","BARANYA 3",43753,0.576046027858967,75954,21625,1890,8983,8137,0.512853958165347,0.044822843048902,0.213038941327136,0.192975383010008,151
