telep_nev,szavazok,reszvetel,ossz_szavazo,egyeni_fidesz,egyeni_lmp,egyeni_kormanyvaltok,egyeni_jobbik,egyeb,orszagos_fidesz,orszagos_fidesz_lmp,orszagos_fidesz_kormanyvaltok,orszagos_fidesz_jobbik,egyeni_fidesz_pc,egyeni_lmp_pc,egyeni_kormanyvaltok_pc,egyeni_jobbik_pc,orszagos_fidesz_pc,orszagos_lmp_pc,orszagos_kormanyvaltok_pc,orszagos_jobbik_pc
Óbánya,82,0.645669291,82,44,5,15,16,2,26,3,14,8,0.536585366,0.06097561,0.182926829,0.195121951,0.490566038,0.056603774,0.264150943,0.150943396
Óbarok,399,0.621495327,399,185,33,71,91,21,191,23,76,84,0.461346633,0.082294264,0.177057357,0.226932668,0.483544304,0.058227848,0.192405063,0.212658228
Óbudavár,31,0.794871795,31,17,3,6,4,1,17,6,4,3,0.548387097,0.096774194,0.193548387,0.129032258,0.548387097,0.193548387,0.129032258,0.096774194
Ócsa,4237,0.575992387,4237,2144,155,868,964,132,2133,177,840,936,0.502932207,0.036359371,0.203612479,0.226131832,0.5056899,0.041963016,0.199146515,0.221906117
Ócsárd,206,0.585227273,206,84,4,47,42,19,95,2,47,37,0.428571429,0.020408163,0.239795918,0.214285714,0.475,0.01,0.235,0.185
Óföldeák,225,0.546116505,225,127,7,39,28,21,122,9,41,25,0.572072072,0.031531532,0.175675676,0.126126126,0.559633028,0.041284404,0.188073394,0.114678899
Ófalu,167,0.605072464,167,111,2,15,31,0,72,1,16,29,0.698113208,0.012578616,0.094339623,0.194968553,0.610169492,0.008474576,0.13559322,0.245762712
Ófehértó,1132,0.564870259,1132,601,17,151,339,14,594,21,146,351,0.535650624,0.015151515,0.134581105,0.302139037,0.527531083,0.018650089,0.129662522,0.311722913
Óhíd,248,0.524312896,248,93,5,36,104,14,87,7,33,106,0.369047619,0.01984127,0.142857143,0.412698413,0.352226721,0.028340081,0.133603239,0.429149798
Ólmod,60,0.75,60,36,2,9,10,1,37,2,7,10,0.620689655,0.034482759,0.155172414,0.172413793,0.649122807,0.035087719,0.122807018,0.175438596
Ónod,944,0.504812834,944,325,7,128,324,90,308,11,133,364,0.371853547,0.008009153,0.146453089,0.370709382,0.33995585,0.01214128,0.146799117,0.401766004
Ópályi,1134,0.507609669,1134,417,3,288,375,27,454,4,266,328,0.375675676,0.002702703,0.259459459,0.337837838,0.420759963,0.003707136,0.24652456,0.303985171
Ópusztaszer,833,0.517391304,833,355,31,151,261,29,360,31,129,274,0.429262394,0.037484885,0.182587666,0.315598549,0.437424058,0.037667072,0.156743621,0.332928311
Ózd,15394,0.525787281,15394,5162,239,4433,4343,652,5218,332,4551,4525,0.348101693,0.016117068,0.298941264,0.292872075,0.34153685,0.021730593,0.297879304,0.29617751
Ózdfalu,81,0.658536585,81,36,1,29,2,4,43,1,28,2,0.5,0.013888889,0.402777778,0.027777778,0.551282051,0.012820513,0.358974359,0.025641026
Écs,1001,0.660290237,1001,638,38,112,183,33,601,43,119,202,0.635458167,0.037848606,0.111553785,0.182270916,0.602204409,0.043086172,0.119238477,0.20240481
Égerszög,40,0.769230769,40,15,0,11,9,3,15,0,12,9,0.394736842,0,0.289473684,0.236842105,0.384615385,0,0.307692308,0.230769231
Érd,34064,0.656744043,34064,14287,1833,10629,5691,1405,14330,2054,10299,5676,0.4221303,0.054158664,0.314049343,0.168148914,0.424416538,0.060834024,0.305029025,0.168108044
Érpatak,650,0.503095975,650,282,3,51,202,68,297,4,55,201,0.465346535,0.004950495,0.084158416,0.333333333,0.4752,0.0064,0.088,0.3216
Érsekcsanád,1151,0.510421286,1151,614,46,215,230,29,611,46,197,250,0.541446208,0.040564374,0.189594356,0.202821869,0.539276258,0.040600177,0.173874669,0.220653133
Érsekhalma,283,0.548449612,283,133,10,75,54,13,133,10,69,55,0.466666667,0.035087719,0.263157895,0.189473684,0.475,0.035714286,0.246428571,0.196428571
Érsekvadkert,1783,0.608532423,1783,967,38,247,426,56,943,48,271,452,0.557670127,0.021914648,0.142445213,0.24567474,0.532768362,0.027118644,0.153107345,0.255367232
Értény,281,0.547758285,281,217,3,18,37,4,212,1,20,37,0.777777778,0.010752688,0.064516129,0.132616487,0.773722628,0.003649635,0.072992701,0.135036496
Ábrahámhegy,310,0.702947846,310,155,9,72,57,8,159,11,77,52,0.514950166,0.029900332,0.239202658,0.189368771,0.517915309,0.035830619,0.250814332,0.169381107
Ács,2850,0.507207688,2850,1586,113,496,506,96,1595,111,502,520,0.56703611,0.040400429,0.177332857,0.180908116,0.5648017,0.039305949,0.17776204,0.184135977
?csény,1085,0.532646048,1085,400,120,263,270,26,434,71,260,282,0.370713624,0.111214087,0.243744208,0.250231696,0.404473439,0.066169618,0.242311277,0.262814539
Ácsteszér,287,0.510676157,287,135,5,53,79,10,134,6,55,76,0.478723404,0.017730496,0.187943262,0.280141844,0.476868327,0.021352313,0.195729537,0.270462633
Ádánd,890,0.507122507,890,446,42,163,201,29,442,44,161,206,0.506242906,0.047673099,0.185017026,0.22814983,0.501133787,0.049886621,0.182539683,0.233560091
Ág,80,0.563380282,80,44,0,14,15,5,45,1,14,13,0.564102564,0,0.179487179,0.192307692,0.576923077,0.012820513,0.179487179,0.166666667
Ágasegyháza,825,0.528846154,825,498,25,112,162,20,486,25,112,169,0.609547124,0.030599755,0.137086903,0.198286414,0.598522167,0.030788177,0.137931034,0.208128079
Ágfalva,944,0.59184953,944,503,37,189,182,25,509,40,184,168,0.537393162,0.039529915,0.201923077,0.194444444,0.549676026,0.043196544,0.198704104,0.181425486
Álmosd,754,0.547169811,754,393,15,152,178,15,373,21,147,177,0.521912351,0.019920319,0.20185923,0.236387782,0.508867667,0.028649386,0.200545703,0.241473397
Áporka,541,0.574920298,541,251,14,161,99,10,247,16,165,101,0.469158879,0.026168224,0.300934579,0.185046729,0.45825603,0.029684601,0.306122449,0.187384045
?r,679,0.601950355,679,299,6,138,222,12,307,7,129,215,0.441654357,0.008862629,0.203840473,0.327917282,0.458208955,0.010447761,0.192537313,0.320895522
?rbottyán,3438,0.625887493,3438,1595,189,803,666,148,1596,199,795,673,0.468979712,0.055571891,0.236107027,0.195824757,0.467897977,0.058340663,0.233069481,0.197302844
?rhalom,551,0.652843602,551,266,20,102,127,21,269,23,100,132,0.496268657,0.037313433,0.190298507,0.236940299,0.493577982,0.042201835,0.183486239,0.242201835
?rimagyarósd,143,0.756613757,143,92,0,13,34,6,90,3,12,29,0.634482759,0,0.089655172,0.234482759,0.642857143,0.021428571,0.085714286,0.207142857
?riszentpéter,655,0.67805383,655,353,32,138,108,19,350,39,145,99,0.543076923,0.049230769,0.212307692,0.166153846,0.536809816,0.059815951,0.222392638,0.151840491
Árokt?,451,0.528103044,451,190,2,106,126,15,186,1,107,130,0.432801822,0.004555809,0.241457859,0.287015945,0.423690205,0.002277904,0.243735763,0.296127563
Árpádhalom,266,0.601809955,266,146,6,62,39,10,147,6,59,41,0.55513308,0.022813688,0.235741445,0.148288973,0.558935361,0.022813688,0.224334601,0.155893536
Árpás,163,0.714912281,163,103,3,35,21,1,100,2,35,23,0.63190184,0.018404908,0.214723926,0.128834356,0.621118012,0.01242236,0.217391304,0.142857143
