telepules_nev,telepules_id,ksh_kod,nuts3,id2010
Budapest I.ker.,M01/T001,956,HU110,M01/T001
Budapest II.ker.,M01/T002,317,HU110,M01/T002
Budapest III.ker.,M01/T003,1806,HU110,M01/T003
Budapest IV.ker.,M01/T004,546,HU110,M01/T004
Budapest V.ker.,M01/T005,1339,HU110,M01/T005
Budapest VI.ker.,M01/T006,1658,HU110,M01/T006
Budapest VII.ker.,M01/T007,2974,HU110,M01/T007
Budapest VIII.ker.,M01/T008,2540,HU110,M01/T008
Budapest IX.ker.,M01/T009,2958,HU110,M01/T009
Budapest X.ker.,M01/T010,1070,HU110,M01/T010
Budapest XI.ker.,M01/T011,1421,HU110,M01/T011
Budapest XII.ker.,M01/T012,2469,HU110,M01/T012
Budapest XIII.ker.,M01/T013,2429,HU110,M01/T013
Budapest XIV.ker.,M01/T014,1633,HU110,M01/T014
Budapest XV.ker.,M01/T015,1131,HU110,M01/T015
Budapest XVI.ker.,M01/T016,820,HU110,M01/T016
Budapest XVII.ker.,M01/T017,211,HU110,M01/T017
Budapest XVIII.ker.,M01/T018,2928,HU110,M01/T018
Budapest XIX.ker.,M01/T019,401,HU110,M01/T019
Budapest XX.ker.,M01/T020,602,HU110,M01/T020
Budapest XXI.ker.,M01/T021,1318,HU110,M01/T021
Budapest XXII.ker.,M01/T022,1021,HU110,M01/T022
Budapest XXIII.ker.,M01/T023,3413,HU110,M01/T023
Abaliget,M02/T001,1254,HU231,M02/T001
Adorjás,M02/T002,686,HU231,M02/T002
Almamellék,M02/T003,1332,HU231,M02/T003
Almáskeresztúr,M02/T004,2037,HU231,M02/T004
Alsómocsolád,M02/T005,1738,HU231,M02/T005
Alsószentmárton,M02/T006,3327,HU231,M02/T006
Apátvarasd,M02/T007,2729,HU231,M02/T007
Aranyosgadány,M02/T008,688,HU231,M02/T008
Ág,M02/T009,2581,HU231,M02/T009
Áta,M02/T010,2858,HU231,M02/T010
Babarc,M02/T011,540,HU231,M02/T011
Babarcszőlős,M02/T012,966,HU231,M02/T012
Bakonya,M02/T013,829,HU231,M02/T013
Bakóca,M02/T014,2227,HU231,M02/T014
Baksa,M02/T015,397,HU231,M02/T015
Baranyahídvég,M02/T016,2046,HU231,M02/T016
Baranyajenő,M02/T017,2474,HU231,M02/T017
Baranyaszentgyörgy,M02/T018,548,HU231,M02/T018
Basal,M02/T019,1549,HU231,M02/T019
Bánfa,M02/T020,760,HU231,M02/T020
Bár,M02/T021,2437,HU231,M02/T021
Belvárdgyula,M02/T022,1900,HU231,M02/T022
Beremend,M02/T023,3192,HU231,M02/T023
Berkesd,M02/T024,1646,HU231,M02/T024
Besence,M02/T025,3004,HU231,M02/T025
Bezedek,M02/T026,1411,HU231,M02/T026
Bicsérd,M02/T027,1331,HU231,M02/T027
Bikal,M02/T028,489,HU231,M02/T028
Birján,M02/T029,513,HU231,M02/T029
Bisse,M02/T030,2492,HU231,M02/T030
Boda,M02/T031,2089,HU231,M02/T031
Bodolyabér,M02/T032,3300,HU231,M02/T032
Bogád,M02/T033,3215,HU231,M02/T033
Bogádmindszent,M02/T034,2189,HU231,M02/T034
Bogdása,M02/T035,1069,HU231,M02/T035
Boldogasszonyfa,M02/T036,1311,HU231,M02/T036
Borjád,M02/T037,672,HU231,M02/T037
Bosta,M02/T038,1436,HU231,M02/T038
Botykapeterd,M02/T039,1336,HU231,M02/T039
Bóly,M02/T040,3315,HU231,M02/T040
Bükkösd,M02/T041,2316,HU231,M02/T041
Bürüs,M02/T042,753,HU231,M02/T042
Csarnóta,M02/T043,3061,HU231,M02/T043
Csányoszró,M02/T044,1990,HU231,M02/T044
Csebény,M02/T045,2159,HU231,M02/T045
Cserdi,M02/T046,2608,HU231,M02/T046
Cserkút,M02/T047,389,HU231,M02/T047
Csertő,M02/T048,1385,HU231,M02/T048
Csonkamindszent,M02/T049,2257,HU231,M02/T049
Cún,M02/T050,1108,HU231,M02/T050
Dencsháza,M02/T051,777,HU231,M02/T051
Dinnyeberki,M02/T052,1195,HU231,M02/T052
Diósviszló,M02/T053,3237,HU231,M02/T053
Drávacsehi,M02/T054,2861,HU231,M02/T054
Drávacsepely,M02/T055,2812,HU231,M02/T055
Drávafok,M02/T056,1741,HU231,M02/T056
Drávaiványi,M02/T057,3239,HU231,M02/T057
Drávakeresztúr,M02/T058,915,HU231,M02/T058
Drávapalkonya,M02/T059,2273,HU231,M02/T059
Drávapiski,M02/T060,1238,HU231,M02/T060
Drávaszabolcs,M02/T061,2860,HU231,M02/T061
Drávaszerdahely,M02/T062,3003,HU231,M02/T062
Drávasztára,M02/T063,2169,HU231,M02/T063
Dunaszekcső,M02/T064,918,HU231,M02/T064
Egerág,M02/T065,2891,HU231,M02/T065
Egyházasharaszti,M02/T066,1649,HU231,M02/T066
Egyházaskozár,M02/T067,2740,HU231,M02/T067
Ellend,M02/T068,609,HU231,M02/T068
Endrőc,M02/T069,2827,HU231,M02/T069
Erdősmárok,M02/T070,2582,HU231,M02/T070
Erdősmecske,M02/T071,1870,HU231,M02/T071
Erzsébet,M02/T072,1349,HU231,M02/T072
Fazekasboda,M02/T073,1783,HU231,M02/T073
Feked,M02/T074,454,HU231,M02/T074
Felsőegerszeg,M02/T075,1328,HU231,M02/T075
Felsőszentmárton,M02/T076,881,HU231,M02/T076
Garé,M02/T077,756,HU231,M02/T077
Gerde,M02/T078,1275,HU231,M02/T078
Geresdlak,M02/T079,285,HU231,M02/T079
Gerényes,M02/T080,1334,HU231,M02/T080
Gilvánfa,M02/T081,1833,HU231,M02/T081
Gordisa,M02/T082,3308,HU231,M02/T082
Gödre,M02/T083,3323,HU231,M02/T083
Görcsöny,M02/T084,3043,HU231,M02/T084
Görcsönydoboka,M02/T085,963,HU231,M02/T085
Gyód,M02/T086,1831,HU231,M02/T086
Gyöngyfa,M02/T087,2840,HU231,M02/T087
Gyöngyösmellék,M02/T088,2266,HU231,M02/T088
Harkány,M02/T089,2152,HU231,M02/T089
Hásságy,M02/T090,2788,HU231,M02/T090
Hegyhátmaróc,M02/T091,3095,HU231,M02/T091
Hegyszentmárton,M02/T092,2102,HU231,M02/T092
Helesfa,M02/T093,1719,HU231,M02/T093
Hetvehely,M02/T094,712,HU231,M02/T094
Hidas,M02/T095,679,HU231,M02/T095
Himesháza,M02/T096,2793,HU231,M02/T096
Hirics,M02/T097,328,HU231,M02/T097
Hobol,M02/T098,3393,HU231,M02/T098
Homorúd,M02/T099,2996,HU231,M02/T099
Horváthertelend,M02/T100,2307,HU231,M02/T100
Hosszúhetény,M02/T101,3083,HU231,M02/T101
Husztót,M02/T102,3143,HU231,M02/T102
Ibafa,M02/T103,3306,HU231,M02/T103
Illocska,M02/T104,3193,HU231,M02/T104
Ipacsfa,M02/T105,2994,HU231,M02/T105
Ivánbattyán,M02/T106,333,HU231,M02/T106
Ivándárda,M02/T107,334,HU231,M02/T107
Kacsóta,M02/T108,429,HU231,M02/T108
Katádfa,M02/T109,696,HU231,M02/T109
Kákics,M02/T110,641,HU231,M02/T110
Kárász,M02/T111,599,HU231,M02/T111
Kásád,M02/T112,1746,HU231,M02/T112
Kátoly,M02/T113,1913,HU231,M02/T113
Kemse,M02/T114,678,HU231,M02/T114
Keszü,M02/T115,383,HU231,M02/T115
Kékesd,M02/T116,1680,HU231,M02/T116
Kémes,M02/T117,1054,HU231,M02/T117
Kétújfalu,M02/T118,857,HU231,M02/T118
Királyegyháza,M02/T119,2055,HU231,M02/T119
Kisasszonyfa,M02/T120,1890,HU231,M02/T120
Kisbeszterce,M02/T121,572,HU231,M02/T121
Kisbudmér,M02/T122,2286,HU231,M02/T122
Kisdér,M02/T123,1118,HU231,M02/T123
