"","oevk_id","Fidesz_2014","MSZP_DK_P_2014","LMP_2014","Jobbik_2014","Fidesz_2018","Jobbik_2018","MSZP_P_2018","DK_2018","LMP_2018","Momentum_2018","Egyutt_2018","MKKP_2018"
"1","BÉKÉS 1",18364,12161,2678,9273,20059.5900699862,11773.1109263524,6495.50168557838,3897.30101134703,5246.13620904342,1844.17117560256,1229.44745040171,614.723725200853
"2","BÉKÉS 2",19942,7925,1576,10958,21783.2904147062,13912.4069374495,4232.94555202768,2539.76733121661,3087.34528209575,1085.29267092966,723.52844728644,361.76422364322
"3","BÉKÉS 3",19315,9378,1101,7579,21098.3980724125,9622.38840837102,5009.0300803679,3005.41804822074,2156.83195151486,758.189867191343,505.459911460895,252.729955730448
"4","BÉKÉS 4",20789,10738,1487,10403,22708.4958595591,13207.7723462573,5735.44092588937,3441.26455553362,2912.99646857639,1024.00393507132,682.669290047549,341.334645023774
"5","BÁCS-KISKUN 1",20558,7899,2134,8204,22456.1671018719,10415.8958308848,4219.0582858633,2531.43497151798,4180.4535735992,1469.55238563699,979.70159042466,489.85079521233
"6","BÁCS-KISKUN 2",22303,9446,2295,7548,24362.28693808,9583.03044021434,5045.35062264397,3027.21037358638,4495.8486182803,1580.42302016724,1053.61534677816,526.80767338908
"7","BÁCS-KISKUN 3",20833,8321,1457,9397,22756.5584800709,11930.5427989791,4444.45929822364,2666.67557893418,2854.22720559233,1003.34481062469,668.896540416462,334.448270208231
"8","BÁCS-KISKUN 4",21634,7452,1387,8666,23631.5166398432,11002.456517607,3980.30413296029,2388.18247977617,2717.0989252962,955.140186915888,636.760124610592,318.380062305296
"9","BÁCS-KISKUN 5",20228,7297,913,9659,22095.6974480331,12263.1811104969,3897.51466159571,2338.50879695743,1788.54457014811,628.726020659124,419.150680439416,209.575340219708
"10","BÁCS-KISKUN 6",19286,9954,1835,6792,21066.720436166,8623.20386194168,5316.68643847111,3190.01186308267,3594.71991919144,1263.64977865224,842.433185768159,421.216592884079
"11","BARANYA 1",18855,16706,4489,8379,20595.9252216069,10638.0779091887,8923.10263623652,5353.86158174191,8793.84071784762,3091.29365469749,2060.86243646499,1030.4312182325
"12","BARANYA 2",17413,15334,3650,9931,19020.7820675599,12608.5155407749,8190.28228325457,4914.16936995274,7150.26032972684,2513.52680767339,1675.68453844893,837.842269224463
"13","BARANYA 3",21625,8983,1890,8137,23621.685649284,10330.8318351913,4798.05045979365,2878.83027587619,3702.46356799554,1301.52484013773,867.683226758485,433.841613379243
"14","BARANYA 4",19563,12131,1439,9081,21369.2964789338,11529.3454461561,6479.47791692717,3887.6867501563,2818.9656478019,990.949335956714,660.63289063781,330.316445318905
"15","BORSOD-ABAÚJ-ZEMPLÉN 1",16602,14072,1624,15050,18134.9005849439,19107.6587341317,7516.21574866038,4509.72944919623,3181.37610287024,1118.34727004427,745.56484669618,372.78242334809
"16","BORSOD-ABAÚJ-ZEMPLÉN 2",14560,14798,1555,14425,15904.3580602809,18314.1513116179,7903.99095001964,4742.39457001178,3046.20679800692,1070.83128381702,713.887522544679,356.94376127234
"17","BORSOD-ABAÚJ-ZEMPLÉN 3",15473,10146,612,12148,16901.6574359016,15423.2450699157,5419.23855783885,3251.54313470331,1198.89296487475,421.446138711264,280.964092474176,140.482046237088
"18","BORSOD-ABAÚJ-ZEMPLÉN 4",16696,12563,859,12500,18237.5798196738,15870.1484502755,6710.22018550458,4026.13211130275,1682.75989677681,591.539596655189,394.35973110346,197.17986555173
"19","BORSOD-ABAÚJ-ZEMPLÉN 5",19932,9566,1045,11561,21772.3670918626,14677.9828986908,5109.44569724881,3065.66741834928,2047.12932727796,719.626168224299,479.750778816199,239.8753894081
"20","BORSOD-ABAÚJ-ZEMPLÉN 6",19149,11133,1211,14009,20917.0709132087,17785.9927711927,5946.42054646362,3567.85232787817,2372.31924912307,833.939990162322,555.959993441548,277.979996720774
"21","BORSOD-ABAÚJ-ZEMPLÉN 7",22124,8894,917,12829,24166.7594591796,16287.8507574867,4750.51327946173,2850.30796767704,1796.38047187932,631.480570585342,420.987047056895,210.493523528447
"22","BUDAPEST 1",21503,15459,6482,3713,23488.4211105921,4714.06889566982,8257.04798596794,4954.22879158076,12698.0787554218,4463.74815543532,2975.83210362354,1487.91605181177
"23","BUDAPEST 10",18394,19633,4593,6815,20092.360038517,8652.40493509019,10486.4883309728,6291.89299858368,8997.57416285901,3162.91195277914,2108.60796851943,1054.30398425971
"24","BUDAPEST 11",18181,20956,3935,6529,19859.6932619483,8289.29593854788,11193.1365284911,6715.88191709467,7708.56832807538,2709.78848991638,1806.52565994425,903.262829972127
"25","BUDAPEST 12",18955,18678,3306,7488,20705.1584500429,9506.85372765302,9976.39836224265,5985.83901734559,6476.372780843,2276.63551401869,1517.75700934579,758.878504672897
"26","BUDAPEST 13",21445,19682,3201,5850,23425.0658380992,7427.22947472892,10512.6604864364,6307.59629186187,6270.6803603988,2204.32857845548,1469.55238563699,734.776192818495
"27","BUDAPEST 14",22393,17084,3395,7427,24460.5968436724,9429.40740321567,9125.00212124175,5475.00127274505,6650.72159436236,2337.92424987703,1558.61616658469,779.308083292343
"28","BUDAPEST 15",20650,20590,3448,8493,22556.661672033,10782.8136630552,10997.6465509464,6598.58793056782,6754.54729230086,2374.42203639941,1582.94802426627,791.474012133137
"29","BUDAPEST 16",17523,18507,2939,7407,19140.9386188395,9404.01516569523,9885.06288093076,5931.03772855846,5757.42879700471,2023.90555828824,1349.27037219216,674.635186096081
"30","BUDAPEST 17",18120,18564,3076,9076,19793.0609926023,11522.997386776,9915.50804136806,5949.30482482084,6025.80843129857,2118.24889326119,1412.16592884079,706.082964420397
"31","BUDAPEST 18",23189,20523,3601,6784,25330.0933420229,8613.0469669335,10961.860134292,6577.1160805752,7054.27053351955,2479.78357107723,1653.18904738482,826.594523692409
