oevk,partnev,szavazat2014,becsult_szavazat,arany_szavazat2010,arany_szavazat2014,arany_becsult_szavazat
M01/E01,baloldal,16129,20817,23.67741,33.851742,43.818806
M01/E01,egyeb,1242,0,0,2.6067245,0
M01/E01,fidesz,21073,10728,52.10202,44.228268,22.581936
M01/E01,jobbik,3764,8798,9.967,7.8999286,18.519377
M01/E01,lmp,5438,7164,14.253572,11.41334,15.079883
M01/E02,baloldal,19253,24490,26.902369,36.000374,45.937988
M01/E02,egyeb,1432,0,0,2.6776364,0
M01/E02,fidesz,23136,11895,51.18177,43.261032,22.312468
M01/E02,jobbik,4251,10054,8.619813,7.9487658,18.859148
M01/E02,lmp,5408,6872,13.296048,10.112191,12.890398
M01/E03,baloldal,18141,24547,22.406029,34.427071,46.719704
M01/E03,egyeb,1217,0,0,2.3095608,0
M01/E03,fidesz,24243,12804,56.454491,46.007137,24.369539
M01/E03,jobbik,3230,7077,6.7348356,6.1297302,13.469481
M01/E03,lmp,5863,8113,14.404647,11.126504,15.441275
M01/E04,baloldal,19940,25788,25.135038,36.69421,47.596901
M01/E04,egyeb,1297,0,0,2.3867798,0
M01/E04,fidesz,23611,12297,51.66983,43.449696,22.696568
M01/E04,jobbik,3854,8820,8.7842121,7.0922508,16.27907
M01/E04,lmp,5639,7275,14.410919,10.377064,13.427464
M01/E05,baloldal,16959,19368,25.140062,37.966778,43.495251
M01/E05,egyeb,1360,0,0,3.0446851,0
M01/E05,fidesz,16688,8070,47.680504,37.360077,18.12302
M01/E05,jobbik,4583,11039,10.650308,10.260141,24.790586
M01/E05,lmp,5078,6052,16.529129,11.368318,13.591143
M01/E06,baloldal,15251,16772,24.543287,36.45425,40.248615
M01/E06,egyeb,1392,0,0,3.3272779,0
M01/E06,fidesz,15960,7337,49.511517,38.148964,17.606968
M01/E06,jobbik,5366,13535,11.809567,12.826274,32.480621
M01/E06,lmp,3867,4027,14.135629,9.2432356,9.6637945
M01/E07,baloldal,24774,26730,34.304016,46.139233,49.941147
M01/E07,egyeb,1610,0,0,2.9984729,0
M01/E07,fidesz,16806,8378,40.68111,31.299587,15.653084
M01/E07,jobbik,5243,12439,9.9226484,9.7645922,23.240477
M01/E07,lmp,5261,5976,15.092226,9.7981148,11.165294
M01/E08,baloldal,21610,24293,28.787331,39.709667,44.772297
M01/E08,egyeb,1667,0,0,3.0632122,0
M01/E08,fidesz,19966,9678,46.455502,36.688717,17.836672
M01/E08,jobbik,5848,14285,10.201351,10.746049,26.327429
M01/E08,lmp,5329,6003,14.555817,9.7923555,11.063602
