oevk,partnev,ujpart,csoport,szavazat2014,becsult_szavazat,arany_szavazat2014,arany_becsult_szavazat
M01/E01,dk,1,baloldal,,6222,,13.058808
M01/E01,egyeb,0,egyeb,1404,1633,2.946732,3.4273601
M01/E01,egyutt,1,baloldal,,1088,,2.2835076
M01/E01,fidesz,0,fidesz,21073,18915,44.228268,39.699032
M01/E01,jobbik,0,jobbik,3764,5718,7.8999286,12.001007
M01/E01,lmp,0,kispart,5438,3419,11.41334,7.1758385
M01/E01,momentum,1,kispart,,1059,,2.2226419
M01/E01,mszp,0,baloldal,15967,9248,33.511734,19.409815
M01/E02,dk,1,baloldal,,7262,,13.578908
M01/E02,egyeb,0,egyeb,1643,1889,3.0721765,3.5321615
M01/E02,egyutt,1,baloldal,,1269,,2.3728497
M01/E02,fidesz,0,fidesz,23136,20846,43.261032,38.979057
M01/E02,jobbik,0,jobbik,4251,6424,7.9487658,12.011967
M01/E02,lmp,0,kispart,5408,3518,10.112191,6.5781603
M01/E02,momentum,1,kispart,,1091,,2.040015
M01/E02,mszp,0,baloldal,19042,10786,35.605835,20.168287
M01/E03,dk,1,baloldal,,7038,,13.356359
M01/E03,egyeb,0,egyeb,1330,1589,2.5240066,3.0155237
M01/E03,egyutt,1,baloldal,,1227,,2.3285384
M01/E03,fidesz,0,fidesz,24243,21695,46.007137,41.171669
M01/E03,jobbik,0,jobbik,3230,5382,6.1297302,10.213687
M01/E03,lmp,0,kispart,5863,3749,11.126504,7.1146622
M01/E03,momentum,1,kispart,,1163,,2.2070825
M01/E03,mszp,0,baloldal,18028,10459,34.212624,19.84856
M01/E04,dk,1,baloldal,,7548,,13.890064
M01/E04,egyeb,0,egyeb,1442,1703,2.6536133,3.1339135
M01/E04,egyutt,1,baloldal,,1319,,2.4272649
M01/E04,fidesz,0,fidesz,23611,21342,43.449696,39.274212
M01/E04,jobbik,0,jobbik,3854,6030,7.0922508,11.096594
M01/E04,lmp,0,kispart,5639,3653,10.377064,6.7223644
M01/E04,momentum,1,kispart,,1138,,2.094183
M01/E04,mszp,0,baloldal,19795,11212,36.427376,20.632671
M01/E05,dk,1,baloldal,,6248,,13.987642
M01/E05,egyeb,0,egyeb,1513,1701,3.3872123,3.8080952
M01/E05,egyutt,1,baloldal,,1089,,2.4379869
M01/E05,fidesz,0,fidesz,16688,15523,37.360077,34.751949
M01/E05,jobbik,0,jobbik,4583,6340,10.260141,14.193606
M01/E05,lmp,0,kispart,5078,3154,11.368318,7.0609832
M01/E05,momentum,1,kispart,,978,,2.189487
M01/E05,mszp,0,baloldal,16806,9282,37.624249,20.779976
M01/E06,dk,1,baloldal,,5592,,13.366479
M01/E06,egyeb,0,egyeb,1639,1788,3.9176786,4.2738314
M01/E06,egyutt,1,baloldal,,967,,2.3114064
M01/E06,fidesz,0,fidesz,15960,14618,38.148964,34.9412
M01/E06,jobbik,0,jobbik,5366,6842,12.826274,16.354336
M01/E06,lmp,0,kispart,3867,2507,9.2432356,5.9924469
M01/E06,momentum,1,kispart,,767,,1.8333492
M01/E06,mszp,0,baloldal,15004,8314,35.86385,19.872837
M01/E07,dk,1,baloldal,,8643,,16.096771
M01/E07,egyeb,0,egyeb,1846,2073,3.4380004,3.8607666
M01/E07,egyutt,1,baloldal,,1507,,2.8066452
M01/E07,fidesz,0,fidesz,16806,16450,31.299587,30.63657
M01/E07,jobbik,0,jobbik,5243,7301,9.7645922,13.597423
M01/E07,lmp,0,kispart,5261,3412,9.7981148,6.3545275
M01/E07,momentum,1,kispart,,1051,,1.9573882
M01/E07,mszp,0,baloldal,24538,12829,45.699707,23.892799
M01/E08,dk,1,baloldal,,7807,,14.345829
M01/E08,egyeb,0,egyeb,1994,2213,3.664094,4.0665197
M01/E08,egyutt,1,baloldal,,1363,,2.5045938
M01/E08,fidesz,0,fidesz,19966,18602,36.688717,34.182285
M01/E08,jobbik,0,jobbik,5848,7924,10.746049,14.560823
M01/E08,lmp,0,kispart,5329,3445,9.7923555,6.3303933
M01/E08,momentum,1,kispart,,1060,,1.9478133
M01/E08,mszp,0,baloldal,21283,11590,39.108784,21.297318
M01/E09,dk,1,baloldal,,6971,,13.857745
M01/E09,egyeb,0,egyeb,2142,2305,4.2581105,4.5821404
M01/E09,egyutt,1,baloldal,,1214,,2.413327
M01/E09,fidesz,0,fidesz,17746,16498,35.277512,32.796597
M01/E09,jobbik,0,jobbik,7510,9100,14.929231,18.090014
M01/E09,lmp,0,kispart,3731,2574,7.4169054,5.1168895
M01/E09,momentum,1,kispart,,777,,1.5446088
M01/E09,mszp,0,baloldal,19175,10368,38.11824,20.610687
M01/E10,dk,1,baloldal,,7221,,14.028169
M01/E10,egyeb,0,egyeb,2115,2307,4.1087909,4.4817872
M01/E10,egyutt,1,baloldal,,1258,,2.4439049
M01/E10,fidesz,0,fidesz,18604,17298,36.141815,33.604664
M01/E10,jobbik,0,jobbik,6521,8335,12.668285,16.192326
M01/E10,lmp,0,kispart,4539,3006,8.817873,5.8397279
M01/E10,momentum,1,kispart,,924,,1.7950461
M01/E10,mszp,0,baloldal,19696,10721,38.263233,20.827587
M01/E11,dk,1,baloldal,,7344,,14.231179
M01/E11,egyeb,0,egyeb,2283,2470,4.4239898,4.7863579
M01/E11,egyutt,1,baloldal,,1282,,2.4842553
M01/E11,fidesz,0,fidesz,17676,16626,34.252495,32.217808
M01/E11,jobbik,0,jobbik,6895,8678,13.361109,16.8162
M01/E11,lmp,0,kispart,4474,2977,8.6697025,5.7688208
M01/E11,momentum,1,kispart,,909,,1.7614572
M01/E11,mszp,0,baloldal,20277,10913,39.292706,21.147175
M01/E12,dk,1,baloldal,,6781,,13.473078
M01/E12,egyeb,0,egyeb,2111,2287,4.1943173,4.5440097
M01/E12,egyutt,1,baloldal,,1180,,2.3445261
M01/E12,fidesz,0,fidesz,18468,16989,36.693821,33.755215
M01/E12,jobbik,0,jobbik,7673,9244,15.24538,18.366779
M01/E12,lmp,0,kispart,3669,2558,7.289887,5.0824556
M01/E12,momentum,1,kispart,,785,,1.559706
M01/E12,mszp,0,baloldal,18409,10085,36.576595,20.03775
M01/E13,dk,1,baloldal,,6883,,13.344837
M01/E13,egyeb,0,egyeb,1827,2035,3.542208,3.9454806
M01/E13,egyutt,1,baloldal,,1199,,2.3246346
M01/E13,fidesz,0,fidesz,20908,18896,40.536663,36.635777
M01/E13,jobbik,0,jobbik,6112,8041,11.850014,15.58998
M01/E13,lmp,0,kispart,4444,2982,8.6160765,5.7815347
M01/E13,momentum,1,kispart,,925,,1.7934003
M01/E13,mszp,0,baloldal,18287,10228,35.45504,19.83016
M01/E14,dk,1,baloldal,,6577,,12.619199
M01/E14,egyeb,0,egyeb,2231,2418,4.2805886,4.6393828
M01/E14,egyutt,1,baloldal,,1147,,2.2007329
M01/E14,fidesz,0,fidesz,20715,18651,39.745583,35.785416
M01/E14,jobbik,0,jobbik,7977,9624,15.305359,18.465435
M01/E14,lmp,0,kispart,3889,2698,7.4617701,5.1766152
M01/E14,momentum,1,kispart,,825,,1.582916
M01/E14,mszp,0,baloldal,17307,9768,33.206699,18.741726
M01/E15,dk,1,baloldal,,7279,,13.254789
M01/E15,egyeb,0,egyeb,2199,2393,4.0042973,4.3575644
M01/E15,egyutt,1,baloldal,,1273,,2.3180859
M01/E15,fidesz,0,fidesz,20306,18633,36.976475,33.93
M01/E15,jobbik,0,jobbik,8842,10482,16.100954,19.087334
M01/E15,lmp,0,kispart,3983,2789,7.2528954,5.0786657
M01/E15,momentum,1,kispart,,862,,1.5696701
